ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
1175509.79,20.0,1.39,218286.89,3.71
1175340.18,20.0,1.39,218296.08,3.71
1175173.14,20.0,1.39,218282.85,3.71
1175173.14,20.0,1.39,218262.3,3.71
1175446.31,20.01,1.39,218267.68,3.71
1175248.04,20.01,1.39,218321.65,3.72
1175055.45,20.01,1.39,218307.82,3.72
1174862.86,20.01,1.39,218693.82,3.72
1174660.2,20.01,1.39,218664.37,3.72
1174467.61,20.01,1.39,218629.24,3.72
1174715.9,20.01,1.4,218643.47,3.72
1174989.07,20.02,1.41,218648.79,3.73
1175423.6,20.03,1.41,218632.79,3.72
1175256.57,20.03,1.41,218560.11,3.72
1175097.02,20.03,1.41,218563.37,3.73
1175429.07,20.03,1.42,218533.59,3.72
1175445.59,20.03,1.42,218519.57,3.72
1175278.56,20.04,1.42,218442.43,3.72
1175119.01,20.04,1.42,218443.51,3.72
1175119.01,20.04,1.42,218374.57,3.72
1175119.01,20.04,1.42,218304.69,3.72
1175119.01,20.04,1.42,218279.09,3.72
1174951.98,20.04,1.42,218277.08,3.72
1174784.95,20.04,1.42,218272.76,3.72
1174784.95,20.04,1.42,218328.16,3.72
1174784.95,20.04,1.42,218298.16,3.72
1175056.22,20.04,1.43,218299.07,3.72
1174889.18,20.04,1.43,218221.58,3.72
1174722.15,20.04,1.43,218144.43,3.72
1174562.6,20.05,1.43,218141.31,3.72
1174392.99,20.05,1.43,218147.58,3.72
1174222.99,20.05,1.43,218212.57,3.73
1174055.96,20.05,1.43,218210.56,3.73
1173857.69,20.05,1.43,218163.26,3.73
1173862.87,20.05,1.44,217724.12,3.72
1173670.28,20.05,1.44,217686.94,3.72
1173510.73,20.05,1.44,217669.01,3.72
1173772.72,20.06,1.44,217764.35,3.72
1174364.12,20.07,1.45,217866.28,3.72
1174715.49,20.08,1.46,217943.76,3.72
1174715.49,20.08,1.46,218066.26,3.73
1174548.46,20.08,1.46,218057.32,3.73
1174815.95,20.08,1.47,218062.64,3.73
1174656.41,20.08,1.47,218052.72,3.73
1174656.41,20.08,1.47,218132.32,3.73
1174463.81,20.08,1.47,218105.35,3.73
1174304.27,20.08,1.47,218108.61,3.73
1174144.72,20.09,1.47,218103.94,3.73
1174161.25,20.09,1.47,218097.35,3.73
1173991.24,20.09,1.47,218162.34,3.73
1174236.37,20.09,1.48,217981.66,3.73
1174236.37,20.09,1.48,217981.61,3.73
1174043.78,20.09,1.48,217951.39,3.73
1174064.71,20.1,1.48,218048.72,3.73
1173897.68,20.1,1.48,218027.21,3.73
1174311.06,20.1,1.49,218008.16,3.73
1174151.51,20.11,1.49,218004.6,3.73
1174179.93,20.11,1.49,218015.24,3.73
1173997.15,20.11,1.49,217385.37,3.72
1173837.6,20.11,1.49,217386.46,3.72
1173837.6,20.11,1.49,217385.67,3.72
1173678.06,20.11,1.5,217391.85,3.72
1173678.06,20.11,1.5,217365.53,3.72
1174079.54,20.12,1.5,217331.8,3.72
1174698.49,20.13,1.52,217570.52,3.73
1174719.42,20.14,1.52,217493.81,3.73
1174559.88,20.14,1.52,217494.9,3.73
1174821.87,20.14,1.53,217590.24,3.73
1174854.91,20.14,1.53,217602.27,3.73
1175100.04,20.15,1.53,217410.47,3.73
1174940.49,20.15,1.54,217409.58,3.73
1174961.43,20.15,1.54,217506.9,3.73
1174982.36,20.16,1.54,217650.85,3.73
1174822.81,20.16,1.54,217647.73,3.73
1174655.78,20.16,1.54,217570.43,3.73
1174684.2,20.16,1.55,217581.07,3.73
1174517.17,20.16,1.55,217503.93,3.73
1174350.13,20.16,1.55,217424.31,3.73
1174183.1,20.16,1.55,217415.36,3.73
1174023.55,20.16,1.55,217416.45,3.73
1173864.01,20.17,1.55,217419.71,3.73
1173696.98,20.17,1.55,217322.62,3.73
1173537.43,20.17,1.55,217319.5,3.73
1174309.6,20.18,1.56,217860.51,3.74
1174106.94,20.18,1.56,217828.2,3.74
1174271.87,20.18,1.57,217827.99,3.74
1174623.24,20.19,1.57,218350.24,3.75
1174618.62,20.19,1.58,218328.69,3.75
1174639.55,20.2,1.58,218426.01,3.76
1174761.97,20.2,1.58,218149.85,3.75
1174569.38,20.2,1.58,218117.46,3.75
1174934.48,20.21,1.59,218114.32,3.75
1174962.89,20.21,1.59,218124.96,3.75
1174770.3,20.21,1.59,218089.92,3.75
1175032.29,20.22,1.6,218081.15,3.75
1174839.7,20.22,1.6,218073.93,3.75
