ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
248,562,417490,6212,417490
249,564,418490,6212,418490
249,564,418960,6212,418960
249,564,419430,6212,419430
250,566,420430,6212,420430
250,566,421430,6212,421430
251,568,422430,6212,422430
251,568,423430,6212,423430
251,568,423750,6212,423750
252,570,424750,6212,424750
252,570,425750,6212,425750
253,572,426750,6212,426750
253,572,426970,6212,426970
253,572,427970,6212,427970
253,572,428200,6212,428200
253,572,428520,6212,428520
254,574,429520,6212,429520
254,574,430520,6212,430520
255,576,431520,6212,431520
255,576,432520,6212,432520
256,578,433520,6212,433520
256,578,433570,6212,433570
256,578,433790,6212,433790
256,578,433790,6212,433790
256,578,434110,6212,434110
256,578,435110,6212,435110
257,580,436110,6212,436110
257,580,436110,6212,436110
257,580,436760,6212,436760
258,582,437230,6212,437230
258,582,438230,6212,438230
259,584,439230,6212,439230
259,584,439230,6212,439230
259,584,439700,6212,439700
259,584,439930,6212,439930
259,584,440250,6212,440250
259,584,441250,6212,441250
260,586,442250,6212,442250
260,586,443250,6212,443250
261,588,444250,6212,444250
261,588,445250,6212,445250
262,590,446250,6212,446250
262,590,447250,6212,447250
263,592,448060,6212,448060
263,592,448430,6212,448430
264,594,449430,6212,449430
265,598,449660,6212,449660
265,598,450470,6212,450470
266,600,451280,6212,451280
267,608,451500,6212,451500
267,608,452500,6212,452500
267,608,452970,6212,452970
268,610,453970,6212,453970
268,610,454970,6212,454970
269,612,455970,6212,455970
269,612,456780,6212,456780
270,614,457590,6212,457590
270,614,458590,6212,458590
271,616,459590,6212,459590
271,616,460590,6212,460590
272,618,461590,6212,461590
272,618,462590,6212,462590
273,620,463590,6212,463590
273,620,464590,6212,464590
274,622,465590,6212,465590
274,622,465810,6212,465810
274,622,466810,6212,466810
274,622,467810,6212,467810
274,622,468040,6212,468040
274,622,469040,6212,469040
274,622,470040,6212,470040
275,624,471040,6212,471040
275,624,471500,6212,471500
276,626,473500,6212,473500
276,626,473970,6212,473970
276,626,473970,6212,473970
277,628,474780,6212,474780
277,628,475780,6212,475780
277,628,476100,6212,476100
277,628,476100,6212,476100
278,630,476750,6212,476750
278,630,477560,6212,477560
279,632,478560,6212,478560
279,632,479370,6212,479370
279,632,479840,6212,479840
280,634,480840,6212,480840
280,634,481840,6212,481840
281,636,482840,6212,482840
281,636,483070,6212,483070
281,636,484070,6212,484070
281,636,484230,6212,484230
282,638,485230,6212,485230
282,638,485460,6212,485460
282,638,486460,6212,486460
283,640,487460,6212,487460
283,640,487930,6212,487930
283,640,488930,6212,488930
283,640,489150,6212,489150
283,640,490150,6212,490150
284,642,491150,6212,491150
284,642,491800,6212,491800
284,642,492350,6212,492350
285,644,493350,6212,493350
285,644,494160,6212,494160
286,646,494620,6212,494620
286,646,494620,6212,494620
287,650,495090,6212,495090
287,650,496090,6212,496090
287,650,496560,6212,496560
287,650,497560,6212,497560
287,650,498560,6212,498560
287,650,499560,6212,499560
288,652,500560,6212,500560
288,652,500720,6212,500720
288,652,501720,6212,501720
288,652,502190,6212,502190
