ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
474,2449,444020,6212,444020
475,2451,444830,6212,444830
476,2453,445830,6212,445830
477,2455,446830,6212,446830
477,2455,447640,6212,447640
478,2463,448110,6212,448110
479,2465,449110,6212,449110
480,2473,450110,6212,450110
481,2475,451110,6212,451110
482,2477,451580,6212,451580
482,2477,452580,6212,452580
483,2479,453050,6212,453050
483,2479,454050,6212,454050
484,2480,454210,6212,454210
484,2480,455210,6212,455210
484,2480,456210,6212,456210
485,2481,457020,6212,457020
485,2481,461020,6212,461020
486,2483,461570,6212,461570
487,2491,462010,6212,462010
487,2491,462010,6212,462010
488,2499,462820,6212,462820
489,2501,463140,6212,463140
490,2509,464140,6212,464140
491,2513,465140,6212,465140
492,2515,465610,6212,465610
493,2523,466610,6212,466610
494,2525,467420,6212,467420
494,2525,468420,6212,468420
495,2527,468530,6212,468530
495,2527,469530,6212,469530
496,2535,470530,6212,470530
497,2543,471530,6212,471530
497,2543,472340,6212,472340
498,2551,473340,6212,473340
499,2559,473340,6212,473340
500,2561,473990,6212,473990
500,2561,474990,6212,474990
501,2563,475220,6212,475220
502,2571,476220,6212,476220
503,2573,477220,6212,477220
504,2581,478220,6212,478220
505,2583,478690,6212,478690
505,2583,479690,6212,479690
506,2591,480500,6212,480500
506,2591,481500,6212,481500
506,2591,481970,6212,481970
507,2593,482970,6212,482970
507,2593,483020,6212,483020
508,2597,484020,6212,484020
509,2605,484830,6212,484830
510,2613,485290,6212,485290
510,2613,486290,6212,486290
511,2615,487100,6212,487100
511,2615,487100,6212,487100
511,2615,488100,6212,488100
511,2615,489100,6212,489100
512,2623,490100,6212,490100
513,2627,491100,6212,491100
514,2629,491910,6212,491910
515,2631,491910,6212,491910
516,2633,492910,6212,492910
517,2641,493910,6212,493910
517,2641,494560,6212,494560
517,2641,494930,6212,494930
517,2641,495740,6212,495740
518,2649,496740,6212,496740
