ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
843703.81,13.93,0.36,227332.34,3.75
843703.81,13.93,0.36,227332.34,3.75
843478.38,13.92,0.36,227405.52,3.75
843632.65,13.93,0.36,227449.76,3.75
843684.18,13.93,0.36,227792.05,3.76
843915.03,13.93,0.37,228752.26,3.78
844075.35,13.94,0.37,228723.5,3.78
843815.42,13.93,0.37,228390.98,3.77
843866.95,13.94,0.37,228565.94,3.78
844065.23,13.94,0.38,228640.25,3.78
844116.76,13.94,0.38,228800.72,3.78
844271.03,13.95,0.38,228802.71,3.78
844035.05,13.95,0.38,228727.65,3.78
844195.36,13.95,0.38,228726.19,3.78
844246.89,13.95,0.39,228379.88,3.77
844298.42,13.96,0.39,228159.79,3.77
844349.95,13.96,0.39,228157.82,3.77
844401.48,13.96,0.39,228157.82,3.77
844305.81,13.96,0.39,228050.19,3.77
844536.67,13.96,0.4,228270.22,3.77
844384.23,13.96,0.4,228165.64,3.77
844148.25,13.96,0.39,228081.59,3.77
844199.78,13.96,0.4,227945.61,3.77
844360.09,13.97,0.4,229139.47,3.79
844360.09,13.97,0.4,229139.47,3.79
844146.02,13.96,0.4,228875.85,3.79
844197.55,13.97,0.4,229317.43,3.79
844249.08,13.97,0.4,229316.44,3.79
844300.61,13.97,0.41,229316.0,3.79
844352.14,13.97,0.41,229316.0,3.8
844108.2,13.97,0.4,229180.62,3.79
843872.22,13.97,0.4,228962.69,3.79
844032.53,13.97,0.41,228962.69,3.79
843806.55,13.97,0.4,229065.88,3.79
843960.82,13.97,0.41,229075.22,3.79
843700.89,13.97,0.4,228631.58,3.79
843752.42,13.97,0.41,228733.06,3.79
843599.97,13.97,0.4,228871.47,3.79
843651.5,13.97,0.41,229163.57,3.8
843882.36,13.98,0.41,230341.27,3.82
843789.2,13.98,0.41,230249.88,3.81
843949.52,13.98,0.41,230221.12,3.81
843713.54,13.98,0.41,230077.36,3.81
843765.07,13.98,0.41,230319.9,3.82
843765.07,13.98,0.41,230273.34,3.82
843816.6,13.98,0.42,230272.35,3.82
843602.53,13.98,0.41,230009.22,3.81
843654.06,13.98,0.42,230008.78,3.81
843705.59,13.99,0.42,230008.78,3.81
843865.91,13.99,0.42,230008.78,3.81
843865.91,13.99,0.42,230055.86,3.81
843917.44,13.99,0.43,230234.36,3.82
843681.46,13.99,0.42,230161.13,3.82
843732.99,13.99,0.43,230313.2,3.82
843784.52,13.99,0.43,230692.37,3.83
844015.37,14.0,0.43,231593.59,3.84
844066.9,14.0,0.44,231247.28,3.84
