ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
93,405,330170,6212,330170
93,405,330720,6212,330720
93,405,331190,6212,331190
93,405,332000,6212,332000
93,405,332810,6212,332810
93,405,333130,6212,333130
93,405,333600,6212,333600
93,405,334410,6212,334410
94,407,334880,6212,334880
94,407,335200,6212,335200
94,407,335200,6212,335200
94,407,335200,6212,335200
94,407,335420,6212,335420
94,407,336070,6212,336070
95,409,336880,6212,336880
95,409,337690,6212,337690
95,409,337690,6212,337690
95,409,338150,6212,338150
96,413,338610,6212,338610
96,413,339420,6212,339420
96,413,340230,6212,340230
96,413,341040,6212,341040
97,421,341850,6212,341850
97,421,342660,6212,342660
97,421,343470,6212,343470
97,421,343790,6212,343790
97,421,344250,6212,344250
97,421,344720,6212,344720
97,421,345040,6212,345040
97,421,345850,6212,345850
97,421,346320,6212,346320
97,421,347130,6212,347130
97,421,347450,6212,347450
97,421,347920,6212,347920
97,421,348730,6212,348730
97,421,349200,6212,349200
98,423,349850,6212,349850
98,423,350320,6212,350320
99,431,351130,6212,351130
99,431,351600,6212,351600
99,431,352250,6212,352250
99,431,353060,6212,353060
99,431,353380,6212,353380
99,431,354030,6212,354030
99,431,354030,6212,354030
99,431,354840,6212,354840
99,431,355160,6212,355160
99,431,355480,6212,355480
99,431,355800,6212,355800
99,431,356170,6212,356170
99,431,356170,6212,356170
99,431,356980,6212,356980
99,431,357790,6212,357790
99,431,357950,6212,357950
99,431,358170,6212,358170
100,439,358980,6212,358980
100,439,359450,6212,359450
100,439,359910,6212,359910
100,439,360280,6212,360280
100,439,360930,6212,360930
100,439,361740,6212,361740
100,439,361740,6212,361740
100,439,362390,6212,362390
100,439,362620,6212,362620
100,439,362990,6212,362990
100,439,363360,6212,363360
100,439,363520,6212,363520
100,439,363840,6212,363840
100,439,364310,6212,364310
100,439,364780,6212,364780
100,439,365100,6212,365100
100,439,365100,6212,365100
101,441,365570,6212,365570
101,441,366040,6212,366040
101,441,366510,6212,366510
101,441,367320,6212,367320
