ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1183926.57,19.95,1.34,219509.77,3.7
1183947.5,19.96,1.34,219607.09,3.7
1183780.46,19.96,1.34,219546.97,3.7
1182272.78,19.96,1.34,219488.14,3.71
1182293.72,19.96,1.35,219632.09,3.71
1182126.68,19.96,1.35,219623.15,3.71
1182497.4,19.97,1.36,219212.2,3.7
1182337.86,19.97,1.36,219208.63,3.7
1182168.24,19.97,1.36,219217.81,3.7
1182441.41,19.98,1.36,219223.2,3.7
1182281.87,19.98,1.36,219220.25,3.7
1182310.29,19.98,1.37,219230.89,3.71
1182475.21,19.99,1.37,219230.69,3.71
1182308.18,19.99,1.37,219633.34,3.71
1182115.59,19.99,1.37,219551.62,3.71
1181956.04,19.99,1.37,219550.73,3.71
1181789.01,19.99,1.37,219529.22,3.71
1181629.47,19.99,1.37,219528.33,3.71
1181891.37,20.0,1.38,219307.51,3.71
1181708.59,20.0,1.38,218677.65,3.7
1181541.56,20.0,1.38,218668.7,3.7
1181814.73,20.01,1.39,218674.08,3.7
1181655.19,20.01,1.39,218665.83,3.7
1181655.19,20.01,1.39,218595.94,3.7
1181488.15,20.01,1.39,218578.17,3.7
1181488.15,20.01,1.39,218561.96,3.7
1181328.61,20.01,1.39,218558.39,3.7
1181161.58,20.01,1.39,218480.9,3.7
1181161.58,20.01,1.39,218453.57,3.7
1180994.54,20.01,1.39,218449.44,3.7
1181414.53,20.02,1.4,218508.3,3.7
1181254.98,20.02,1.4,218514.47,3.7
1181062.39,20.02,1.4,218477.14,3.7
1181062.39,20.02,1.4,218406.6,3.7
1181078.91,20.02,1.4,218400.0,3.7
1181338.05,20.02,1.41,218451.43,3.7
1181178.5,20.02,1.41,218437.78,3.7
1181206.92,20.03,1.41,218448.42,3.7
1181223.44,20.03,1.41,218434.39,3.7
1180645.09,20.02,1.4,217831.29,3.69
1181087.34,20.03,1.41,217823.04,3.69
