ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
879740.8,14.88,1.28,179808.56,3.04
879793.5,14.88,1.28,179808.56,3.04
879657.53,14.88,1.28,179808.25,3.04
879521.55,14.88,1.28,179808.25,3.04
879521.55,14.88,1.28,179808.25,3.04
879817.57,14.89,1.29,179918.44,3.04
880061.61,14.89,1.3,179918.12,3.04
880061.61,14.89,1.3,179918.12,3.04
880446.27,14.9,1.3,179917.75,3.04
880310.29,14.9,1.3,179917.91,3.05
880174.31,14.9,1.3,179917.91,3.05
880038.34,14.9,1.3,179917.91,3.05
879902.36,14.9,1.3,179895.22,3.05
879766.38,14.9,1.3,179885.32,3.05
880062.4,14.91,1.31,179885.01,3.05
879926.42,14.91,1.31,179884.7,3.05
879790.45,14.91,1.31,179884.39,3.05
879843.15,14.91,1.31,179995.47,3.05
879518.82,14.91,1.31,179342.17,3.04
878431.0,14.91,1.31,179341.86,3.04
878295.03,14.91,1.31,179512.29,3.05
878159.05,14.91,1.31,179511.82,3.05
878625.24,14.92,1.32,179209.67,3.04
878921.26,14.92,1.33,179315.57,3.04
878973.96,14.93,1.33,179315.57,3.05
878837.98,14.93,1.33,179351.99,3.05
878702.0,14.93,1.33,179352.14,3.05
878702.0,14.93,1.33,179352.14,3.05
878702.0,14.93,1.33,179282.73,3.05
878566.03,14.93,1.33,179203.42,3.04
878430.05,14.93,1.33,179202.95,3.05
878758.52,14.94,1.34,179485.83,3.05
878758.52,14.94,1.34,179429.21,3.05
878535.06,14.93,1.33,179466.41,3.05
878535.06,14.93,1.33,179466.1,3.05
878725.51,14.94,1.34,179466.31,3.05
879021.53,14.94,1.35,179466.0,3.05
879074.24,14.95,1.35,179466.06,3.05
878938.26,14.95,1.35,179386.75,3.05
879234.28,14.95,1.36,179496.94,3.05
879098.3,14.95,1.36,179694.46,3.06
878962.33,14.95,1.36,179694.62,3.06
879300.47,14.96,1.36,179514.48,3.05
879164.49,14.96,1.36,179514.17,3.06
879164.49,14.96,1.36,179434.86,3.05
880020.91,14.98,1.38,179781.19,3.06
879884.93,14.98,1.38,179760.57,3.06
879748.95,14.98,1.38,179750.67,3.06
879612.98,14.98,1.38,179750.36,3.06
879509.45,14.98,1.38,179789.6,3.06
879373.47,14.98,1.38,179789.22,3.06
879677.64,14.99,1.39,179797.54,3.06
879973.66,14.99,1.39,180071.93,3.07
880427.23,15.0,1.4,180073.08,3.07
880291.26,15.0,1.4,180072.77,3.07
880629.4,15.01,1.41,179880.53,3.07
881014.06,15.02,1.42,180413.58,3.08
881014.06,15.02,1.42,180413.58,3.08
880878.08,15.02,1.42,180413.27,3.08
880742.1,15.02,1.42,180412.96,3.08
880742.1,15.02,1.42,180437.45,3.08
880742.1,15.02,1.42,180437.14,3.08
880742.1,15.02,1.42,180436.83,3.08
880606.13,15.02,1.42,180443.06,3.08
880470.15,15.02,1.42,180442.74,3.08
880470.15,15.02,1.42,180591.61,3.08
880470.15,15.02,1.42,180591.32,3.08
880774.32,15.02,1.43,180590.85,3.08
880638.34,15.02,1.43,180590.54,3.08
880502.37,15.02,1.43,180590.23,3.08
880366.39,15.02,1.43,180589.92,3.08
880230.41,15.02,1.43,180580.02,3.08
880094.43,15.02,1.43,181039.2,3.09
881468.11,15.05,1.45,181662.22,3.1
881332.14,15.05,1.45,181662.38,3.1
881384.84,15.05,1.46,181662.38,3.1
881248.86,15.05,1.46,181662.06,3.1
881112.88,15.05,1.46,181667.22,3.1
881408.9,15.06,1.46,181666.85,3.1
881599.36,15.07,1.47,181734.48,3.11
881984.02,15.07,1.48,181728.94,3.11
881984.02,15.07,1.48,181649.63,3.1
882322.16,15.08,1.48,181457.4,3.1
882618.18,15.09,1.49,181457.08,3.1
882482.2,15.09,1.49,181457.08,3.1
882482.2,15.09,1.49,181540.1,3.1
882346.22,15.09,1.49,181539.79,3.1
882210.25,15.09,1.49,181539.48,3.1
882074.27,15.09,1.49,181460.17,3.1
882074.27,15.09,1.49,181460.17,3.1
881938.29,15.09,1.49,181460.33,3.1
