ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
554,2847,536030,6212,536030
555,2855,537030,6212,537030
555,2855,537030,6212,537030
555,2855,537030,6212,537030
555,2855,538030,6212,538030
555,2855,539030,6212,539030
556,2857,539500,6212,539500
556,2857,540500,6212,540500
557,2865,540500,6212,540500
558,2873,541150,6212,541150
559,2881,542150,6212,542150
559,2881,542620,6212,542620
560,2889,542620,6212,542620
560,2889,542730,6212,542730
561,2891,543200,6212,543200
561,2891,544200,6212,544200
562,2893,544200,6212,544200
562,2893,545200,6212,545200
562,2893,546200,6212,546200
563,2895,547200,6212,547200
564,2903,548200,6212,548200
565,2905,549200,6212,549200
566,2909,550200,6212,550200
567,2911,551200,6212,551200
568,2913,551430,6212,551430
568,2913,552430,6212,552430
568,2913,553430,6212,553430
568,2913,554240,6212,554240
568,2913,555240,6212,555240
569,2921,556240,6212,556240
570,2929,556700,6212,556700
570,2929,557700,6212,557700
571,2937,558160,6212,558160
571,2937,559160,6212,559160
571,2937,559970,6212,559970
571,2937,559970,6212,559970
572,2945,560970,6212,560970
572,2945,561970,6212,561970
573,2947,562970,6212,562970
573,2947,563780,6212,563780
574,2955,564370,6212,564370
575,2957,564840,6212,564840
575,2957,565840,6212,565840
576,2965,569840,6212,569840
577,2973,569840,6212,569840
578,2981,570310,6212,570310
578,2981,570310,6212,570310
579,2983,570630,6212,570630
580,2985,571440,6212,571440
580,2985,572440,6212,572440
580,2985,573440,6212,573440
581,2993,573440,6212,573440
581,2993,574440,6212,574440
582,3001,574670,6212,574670
583,3009,575670,6212,575670
584,3013,576670,6212,576670
584,3013,577670,6212,577670
584,3013,577670,6212,577670
585,3021,578670,6212,578670
586,3029,579140,6212,579140
587,3037,579790,6212,579790
587,3037,580790,6212,580790
588,3045,581790,6212,581790
588,3045,581790,6212,581790
589,3047,582790,6212,582790
590,3049,583260,6212,583260
591,3051,583580,6212,583580
591,3051,584390,6212,584390
591,3051,585200,6212,585200
591,3051,585670,6212,585670
592,3059,586670,6212,586670
592,3059,586670,6212,586670
593,3067,587670,6212,587670
594,3069,588670,6212,588670
595,3077,589670,6212,589670
596,3079,590670,6212,590670
597,3087,590890,6212,590890
598,3095,591890,6212,591890
598,3095,592890,6212,592890
598,3095,593890,6212,593890
599,3097,594700,6212,594700
600,3099,594700,6212,594700
600,3099,595160,6212,595160
600,3099,595380,6212,595380
600,3099,596380,6212,596380
600,3099,597380,6212,597380
600,3099,597850,6212,597850
601,3107,598850,6212,598850
602,3108,599850,6212,599850
602,3108,600850,6212,600850
603,3116,608850,6212,608850
604,3118,609170,6212,609170
605,3126,609720,6212,609720
606,3128,610720,6212,610720
606,3128,610720,6212,610720
606,3128,611720,6212,611720
606,3128,612530,6212,612530
607,3130,613000,6212,613000
608,3132,613810,6212,613810
608,3132,614810,6212,614810
609,3134,615030,6212,615030
610,3136,616030,6212,616030
610,3136,616500,6212,616500
610,3136,617310,6212,617310
611,3138,618310,6212,618310
611,3138,619120,6212,619120
612,3146,619440,6212,619440
613,3148,619440,6212,619440
614,3156,620250,6212,620250
614,3156,621060,6212,621060
614,3156,621060,6212,621060
615,3164,621060,6212,621060
616,3166,621870,6212,621870
617,3168,622870,6212,622870
618,3170,623680,6212,623680
618,3170,624000,6212,624000
618,3170,624810,6212,624810
619,3178,625810,6212,625810
620,3186,626620,6212,626620
620,3186,627620,6212,627620
620,3186,628620,6212,628620
620,3186,628940,6212,628940
620,3186,629940,6212,629940
621,3194,630400,6212,630400
621,3194,631400,6212,631400
621,3194,632210,6212,632210
621,3194,633210,6212,633210
622,3202,634210,6212,634210
622,3202,635210,6212,635210
622,3202,635210,6212,635210
623,3204,636020,6212,636020
623,3204,637020,6212,637020
624,3206,637020,6212,637020
625,3214,638020,6212,638020
626,3216,638830,6212,638830
627,3218,639830,6212,639830
628,3226,640830,6212,640830
629,3228,641830,6212,641830
629,3228,642640,6212,642640
629,3228,643450,6212,643450
630,3236,643670,6212,643670
630,3236,644670,6212,644670
631,3238,645130,6212,645130
631,3238,645940,6212,645940
631,3238,646940,6212,646940
631,3238,647940,6212,647940
632,3240,648940,6212,648940
632,3240,649940,6212,649940
633,3242,650940,6212,650940
634,3244,651940,6212,651940
