ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
309,746,659160,6212,659160
310,748,660160,6212,660160
310,748,660970,6212,660970
310,748,661780,6212,661780
311,750,662780,6212,662780
311,750,663010,6212,663010
311,750,664010,6212,664010
312,752,665010,6212,665010
313,754,665660,6212,665660
313,754,666660,6212,666660
314,756,667660,6212,667660
314,756,667660,6212,667660
314,756,668660,6212,668660
315,758,669660,6212,669660
315,758,669660,6212,669660
315,758,670470,6212,670470
315,758,671470,6212,671470
316,760,672120,6212,672120
316,760,672590,6212,672590
316,760,672750,6212,672750
317,762,673750,6212,673750
317,762,674300,6212,674300
317,762,674620,6212,674620
318,764,675620,6212,675620
318,764,675620,6212,675620
318,764,676620,6212,676620
318,764,677090,6212,677090
319,766,678090,6212,678090
319,766,678900,6212,678900
320,768,679900,6212,679900
320,768,680900,6212,680900
321,770,681900,6212,681900
321,770,682550,6212,682550
322,772,683550,6212,683550
322,772,684360,6212,684360
323,774,685360,6212,685360
323,774,685820,6212,685820
324,776,686820,6212,686820
324,776,687820,6212,687820
325,784,687820,6212,687820
326,786,688820,6212,688820
326,786,688820,6212,688820
326,786,689820,6212,689820
327,788,690630,6212,690630
327,788,691630,6212,691630
327,788,691630,6212,691630
327,788,692100,6212,692100
328,790,693100,6212,693100
329,794,697100,6212,697100
329,794,698100,6212,698100
329,794,698100,6212,698100
