ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
1158600.38,19.58,0.94,219358.93,3.71
1158433.34,19.58,0.94,219354.45,3.71
1158273.8,19.58,0.95,219351.51,3.71
1158273.8,19.58,0.95,219351.51,3.71
1158081.21,19.58,0.95,219324.15,3.71
1157696.03,19.58,0.95,219354.42,3.71
1157696.03,19.58,0.95,219354.42,3.71
1157691.4,19.58,0.95,219327.22,3.71
1157498.81,19.58,0.95,219304.67,3.71
1157306.22,19.58,0.95,219577.95,3.72
1157306.22,19.58,0.95,219577.95,3.72
1156935.54,19.58,0.94,219299.22,3.71
1157120.88,19.58,0.95,219485.25,3.71
1157120.88,19.58,0.95,219485.25,3.71
1156832.95,19.58,0.95,219289.78,3.71
1157078.08,19.59,0.95,219109.11,3.71
1156918.53,19.59,0.95,219112.37,3.71
1156725.94,19.59,0.95,219075.07,3.71
1156533.35,19.59,0.95,219148.17,3.71
1156340.76,19.59,0.95,219086.09,3.71
1156580.88,19.59,0.96,219064.86,3.71
1156388.29,19.59,0.96,219351.1,3.72
1156195.7,19.59,0.96,219293.15,3.72
1156191.08,19.59,0.96,219557.73,3.72
1155669.19,19.59,0.96,218993.37,3.71
1154161.51,19.59,0.96,218934.54,3.72
1153994.47,19.59,0.96,218925.6,3.72
1153282.59,19.58,0.95,218171.24,3.7
1153139.45,19.58,0.95,218138.47,3.7
1153401.44,19.59,0.95,218419.49,3.71
1153422.37,19.59,0.96,218516.82,3.71
