ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
480,2436,514210,6212,514210
481,2438,515020,6212,515020
482,2446,515670,6212,515670
482,2446,516670,6212,516670
483,2454,517480,6212,517480
484,2456,518480,6212,518480
485,2458,518940,6212,518940
486,2460,518940,6212,518940
487,2462,519940,6212,519940
488,2470,520490,6212,520490
488,2470,520490,6212,520490
489,2478,520490,6212,520490
490,2486,521300,6212,521300
491,2494,521770,6212,521770
491,2494,522770,6212,522770
491,2494,523580,6212,523580
492,2502,524050,6212,524050
492,2502,524050,6212,524050
493,2504,525050,6212,525050
494,2506,525860,6212,525860
494,2506,526330,6212,526330
495,2508,526800,6212,526800
495,2508,527120,6212,527120
495,2508,527440,6212,527440
495,2508,527440,6212,527440
495,2508,528440,6212,528440
495,2508,528760,6212,528760
495,2508,529570,6212,529570
496,2516,530570,6212,530570
496,2516,531040,6212,531040
496,2516,531040,6212,531040
497,2518,533040,6212,533040
498,2526,533590,6212,533590
499,2528,534240,6212,534240
500,2530,535240,6212,535240
501,2538,535710,6212,535710
501,2538,536710,6212,536710
502,2546,536710,6212,536710
503,2548,536710,6212,536710
504,2550,536710,6212,536710
505,2558,536940,6212,536940
506,2560,537260,6212,537260
507,2568,538260,6212,538260
508,2576,538260,6212,538260
