ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
905657.54,15.65,2.31,339772.73,5.87
906152.98,15.66,2.32,339788.28,5.87
906313.5,15.67,2.32,339826.09,5.87
906313.5,15.67,2.32,339826.09,5.87
906285.33,15.67,2.32,339851.66,5.88
906463.73,15.67,2.33,339890.61,5.88
906503.96,15.68,2.33,339809.05,5.88
906544.19,15.68,2.33,339889.16,5.88
905476.71,15.68,2.34,339671.38,5.88
905448.54,15.68,2.34,339658.01,5.88
905300.07,15.68,2.34,340052.19,5.89
905300.07,15.68,2.34,339968.22,5.89
905340.3,15.69,2.34,339892.55,5.89
905847.42,15.7,2.35,339819.43,5.89
906079.52,15.7,2.36,339712.48,5.89
906016.72,15.7,2.36,339545.93,5.89
905988.55,15.71,2.36,339563.5,5.89
906273.91,15.71,2.37,339650.79,5.89
906125.44,15.71,2.37,339538.92,5.89
906125.44,15.71,2.37,339504.98,5.89
906410.8,15.72,2.37,339415.19,5.89
906723.91,15.73,2.38,339202.28,5.88
906575.44,15.73,2.38,339090.42,5.88
906624.39,15.73,2.39,338654.75,5.88
906909.75,15.74,2.39,338810.69,5.88
907070.28,15.74,2.4,338848.5,5.88
907475.93,15.75,2.41,338871.85,5.88
907807.75,15.76,2.41,338657.7,5.88
908182.9,15.76,2.42,338739.37,5.88
908182.9,15.76,2.42,338669.59,5.88
908223.13,15.77,2.42,338113.75,5.87
908074.66,15.77,2.42,338033.21,5.87
908046.48,15.77,2.43,338025.96,5.87
908046.48,15.77,2.43,338025.96,5.87
908315.71,15.78,2.43,338403.96,5.88
908355.94,15.78,2.44,338331.79,5.88
908261.3,15.78,2.44,337485.81,5.86
908175.5,15.78,2.44,337401.11,5.86
908027.03,15.78,2.44,337512.56,5.87
907878.56,15.78,2.44,337465.34,5.87
907730.09,15.78,2.44,337330.85,5.86
907890.62,15.79,2.44,337368.66,5.87
907930.85,15.79,2.45,337293.24,5.87
907782.38,15.79,2.45,337180.31,5.86
907633.91,15.79,2.45,337124.61,5.87
907605.73,15.79,2.45,337150.18,5.87
907457.26,15.79,2.45,337123.64,5.87
907497.49,15.8,2.45,337203.76,5.87
907903.14,15.8,2.46,337227.1,5.87
907874.97,15.81,2.46,337252.09,5.87
907726.49,15.81,2.46,337225.56,5.87
907784.11,15.81,2.46,337197.74,5.87
911190.23,15.87,2.52,340127.12,5.92
