ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
880309.87,14.89,1.29,178998.17,3.03
880173.89,14.89,1.29,178975.48,3.03
880037.91,14.89,1.29,178965.58,3.03
879901.94,14.89,1.29,178942.89,3.03
879765.96,14.89,1.29,178955.03,3.03
879629.98,14.89,1.29,179579.24,3.04
879494.0,14.89,1.29,179578.94,3.04
880350.42,14.9,1.3,179925.27,3.05
880214.45,14.9,1.3,179925.27,3.05
880214.45,14.9,1.3,179924.95,3.05
880078.47,14.9,1.31,179924.95,3.05
880078.47,14.9,1.31,179924.64,3.05
879942.49,14.9,1.31,179924.33,3.05
879806.51,14.9,1.31,179923.86,3.05
879806.51,14.9,1.31,179956.62,3.05
879670.54,14.9,1.31,179781.11,3.05
880124.11,14.91,1.31,179792.07,3.05
879988.13,14.91,1.31,179792.23,3.05
879852.15,14.91,1.31,179791.92,3.05
879852.15,14.91,1.31,179712.61,3.05
879852.15,14.91,1.31,179740.9,3.05
880156.32,14.92,1.32,179749.53,3.05
880020.35,14.92,1.32,179749.22,3.05
880073.05,14.92,1.32,179842.65,3.05
880073.05,14.92,1.32,179652.26,3.05
879949.69,14.92,1.32,178946.45,3.03
879848.3,14.92,1.32,179163.35,3.04
879712.32,14.92,1.32,179163.04,3.04
879765.02,14.92,1.33,179163.04,3.04
879629.04,14.92,1.33,179162.73,3.04
879933.22,14.93,1.33,179162.42,3.04
879985.92,14.93,1.34,179273.5,3.04
880038.62,14.94,1.34,179273.56,3.04
880229.07,14.94,1.34,179410.48,3.05
880093.09,14.94,1.34,179410.17,3.05
879886.66,14.94,1.34,179478.68,3.05
879750.69,14.94,1.34,179399.37,3.05
879614.71,14.94,1.34,179399.37,3.05
880323.96,14.95,1.36,179716.22,3.05
880200.6,14.95,1.36,179100.35,3.04
880905.02,14.97,1.37,179286.68,3.05
881609.44,14.98,1.38,179473.01,3.05
881473.46,14.98,1.38,179472.69,3.05
881337.49,14.98,1.38,179472.32,3.05
881201.51,14.98,1.38,179402.91,3.05
881065.53,14.98,1.38,179402.91,3.05
881450.19,14.99,1.39,179397.45,3.05
881314.22,14.99,1.39,179397.14,3.05
881366.92,14.99,1.39,179502.85,3.05
881419.62,15.0,1.4,179502.85,3.05
881283.64,15.0,1.4,179502.85,3.05
881147.66,15.0,1.4,179502.54,3.05
