ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
2145931.13,36.59,1.22,193696.4,3.3
2145931.13,36.59,1.22,193653.74,3.3
2145686.3,36.6,1.22,193604.88,3.3
2145944.65,36.6,1.23,194095.33,3.31
2145562.87,36.6,1.23,194113.41,3.31
2145219.94,36.6,1.23,194112.28,3.31
2145219.94,36.6,1.23,194068.03,3.31
2145501.52,36.61,1.24,194529.02,3.32
2145256.68,36.61,1.24,194480.24,3.32
2144848.19,36.61,1.24,194365.0,3.32
2144848.19,36.61,1.24,194342.19,3.32
2144505.26,36.61,1.24,194344.17,3.32
2144260.42,36.61,1.24,194295.31,3.32
2144203.72,36.62,1.24,194283.18,3.32
2143860.8,36.62,1.24,194281.42,3.32
2143860.8,36.62,1.24,194238.76,3.32
2143615.96,36.62,1.24,194235.04,3.32
2143371.12,36.62,1.24,194241.83,3.32
2143126.28,36.62,1.24,194192.97,3.32
2143237.36,36.63,1.25,194197.51,3.32
2142992.52,36.63,1.25,194148.65,3.32
2142649.59,36.63,1.25,194152.39,3.32
2142495.22,36.63,1.25,194160.0,3.32
2142314.0,36.63,1.25,194140.07,3.32
2142069.16,36.64,1.25,194091.21,3.32
2142069.16,36.64,1.25,194047.87,3.32
2142096.01,36.64,1.25,194056.52,3.32
2141851.17,36.64,1.25,194063.31,3.32
2142140.6,36.65,1.26,194064.72,3.32
2141895.77,36.65,1.26,194015.62,3.32
2141650.93,36.65,1.26,194027.22,3.32
2141496.55,36.65,1.26,194034.83,3.32
2141576.33,36.66,1.27,194044.12,3.32
2141576.33,36.66,1.27,194022.84,3.32
2141331.49,36.66,1.27,193973.98,3.32
2141086.65,36.66,1.27,193980.77,3.32
2141284.1,36.67,1.27,194778.22,3.34
2141129.73,36.67,1.27,194785.83,3.34
2140759.96,36.67,1.27,194760.61,3.34
2140515.12,36.67,1.27,194757.25,3.34
2140756.21,36.68,1.29,195993.76,3.36
2140413.29,36.68,1.29,195987.54,3.36
2140258.91,36.69,1.29,195995.16,3.36
2140258.91,36.69,1.29,195951.82,3.36
2140014.08,36.69,1.29,195902.67,3.36
2139671.15,36.69,1.29,195903.63,3.36
2139328.22,36.69,1.29,195889.6,3.36
2139517.48,36.7,1.3,195946.52,3.36
2139147.71,36.7,1.3,196022.71,3.36
2138804.78,36.7,1.3,196023.67,3.36
2138804.78,36.7,1.3,196003.15,3.36
