ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1772977.44,29.8,1.2,203755.56,3.42
1772761.95,29.8,1.2,203692.04,3.42
1773109.47,29.8,1.2,203694.16,3.42
1772811.35,29.8,1.2,203663.78,3.42
1772595.85,29.81,1.2,203600.72,3.42
1772460.52,29.81,1.21,203579.2,3.42
1772380.58,29.81,1.21,203564.7,3.42
1772597.03,29.82,1.21,203635.66,3.43
1772298.9,29.82,1.21,203599.35,3.43
1772016.27,29.82,1.21,203581.95,3.43
1771800.77,29.82,1.21,203587.21,3.43
1771532.6,29.82,1.21,203584.13,3.43
1771532.6,29.82,1.21,203560.4,3.43
1771573.81,29.82,1.22,203696.55,3.43
1771750.44,29.83,1.22,203701.4,3.43
1771809.54,29.83,1.23,203702.75,3.43
1771824.0,29.83,1.23,203695.86,3.43
1771555.83,29.83,1.23,203698.19,3.43
1771257.7,29.83,1.23,203673.23,3.43
1771177.76,29.84,1.23,203682.18,3.43
1771354.39,29.84,1.24,203686.47,3.43
1771086.22,29.84,1.24,203683.5,3.43
1770870.72,29.84,1.24,203620.43,3.43
1770542.25,29.84,1.24,203503.09,3.43
1770514.72,29.85,1.24,203599.21,3.43
1770299.23,29.85,1.24,203535.77,3.43
1767944.16,29.85,1.24,203485.24,3.44
1767916.63,29.85,1.25,203581.37,3.44
1767648.46,29.85,1.25,203583.7,3.44
1767769.25,29.86,1.25,203634.66,3.44
1767553.75,29.86,1.25,203571.22,3.44
1767338.26,29.86,1.25,203576.48,3.44
1767514.89,29.86,1.26,203581.33,3.44
1767301.72,29.87,1.26,203563.38,3.44
1767196.34,29.87,1.26,203574.65,3.44
1767172.38,29.87,1.26,203637.25,3.44
1766904.21,29.87,1.26,203641.77,3.44
1766596.27,29.87,1.26,203610.34,3.44
1766687.94,29.88,1.27,203409.65,3.44
1766389.81,29.88,1.27,203376.2,3.44
1766081.87,29.88,1.27,203293.28,3.44
1765866.38,29.88,1.27,203230.22,3.44
1765598.21,29.88,1.27,203230.66,3.44
1765300.08,29.88,1.27,203205.93,3.44
1765476.71,29.89,1.28,203210.78,3.44
1765208.54,29.89,1.28,203203.36,3.44
1765208.54,29.89,1.28,203179.6,3.44
1764899.82,29.89,1.28,203139.37,3.44
1764899.82,29.89,1.28,203084.82,3.44
1764631.65,29.89,1.28,203082.4,3.44
1764333.52,29.89,1.28,203131.43,3.44
1764333.52,29.89,1.28,203074.83,3.44
1764065.35,29.89,1.28,203075.27,3.44
1764412.88,29.89,1.29,203077.39,3.44
1764114.75,29.89,1.29,203062.06,3.44
1763816.62,29.89,1.29,203036.96,3.44
1763816.62,29.89,1.29,202979.5,3.44
1764894.61,29.91,1.3,203754.65,3.45
1765079.63,29.92,1.31,203732.82,3.45
1764864.13,29.92,1.31,203669.32,3.45
1764390.35,29.92,1.31,203052.43,3.44
1764404.81,29.92,1.31,203039.9,3.44
1764187.77,29.92,1.31,203034.16,3.44
1764506.77,29.92,1.31,202503.49,3.43
1764291.27,29.92,1.31,202440.19,3.43
1764263.74,29.93,1.32,202536.32,3.44
1764046.7,29.93,1.32,202462.26,3.44
1764206.29,29.93,1.32,202465.45,3.44
1764178.76,29.94,1.32,202561.58,3.44
1764098.82,29.94,1.33,202570.53,3.44
1764521.06,29.95,1.34,202692.21,3.44
1764305.56,29.95,1.34,202797.9,3.44
1764682.11,29.96,1.35,202818.59,3.44
1764404.12,29.96,1.35,202816.17,3.44
1764188.63,29.96,1.35,202752.66,3.44
1763973.14,29.96,1.35,202757.91,3.44
1763704.96,29.96,1.35,202758.36,3.44
1763881.59,29.97,1.35,202762.65,3.45
1764098.04,29.98,1.36,202833.61,3.45
1763790.1,29.98,1.36,202882.28,3.45
1763573.05,29.98,1.36,202820.84,3.45
1763272.99,29.98,1.36,203041.65,3.45
1763057.5,29.98,1.36,202978.14,3.45
1763364.84,29.99,1.37,202918.23,3.45
1763096.67,29.99,1.37,202920.56,3.45
1762986.52,29.99,1.37,202907.98,3.45
1762906.58,29.99,1.37,202916.93,3.45
1762638.4,29.99,1.37,202897.72,3.45
1762338.47,29.99,1.37,203176.93,3.46
1762122.97,29.99,1.37,203182.19,3.46
1762095.44,30.0,1.37,203435.63,3.46
1762067.91,30.0,1.38,203531.76,3.47
1761799.74,30.0,1.38,203530.83,3.47
1762390.96,30.01,1.39,203841.38,3.47
1762122.79,30.01,1.39,203839.45,3.47
1762122.79,30.01,1.39,203823.23,3.47
1762122.79,30.01,1.39,203767.08,3.47
1761824.66,30.01,1.39,203741.99,3.47
1761832.54,30.01,1.39,203741.37,3.47
1761615.49,30.02,1.39,203735.63,3.47
1761645.45,30.02,1.39,203747.88,3.47
1761616.37,30.02,1.39,203927.06,3.48
1761323.41,30.02,1.4,203970.69,3.48
1761973.6,30.03,1.41,204071.82,3.48
1761688.52,30.03,1.41,203800.09,3.47
1761660.99,30.04,1.41,203896.22,3.48
1761581.05,30.04,1.41,203905.17,3.48
1761611.0,30.04,1.41,203917.42,3.48
1761393.96,30.04,1.41,203936.82,3.48
1761645.54,30.05,1.42,203965.09,3.48
1761428.49,30.05,1.42,203903.65,3.48
1761213.0,30.05,1.42,203840.39,3.48
1761213.0,30.05,1.42,203818.92,3.48
1761488.56,30.06,1.43,203803.41,3.48
1761190.43,30.06,1.43,203848.32,3.48
1760974.94,30.06,1.43,203784.81,3.48
1760974.94,30.06,1.43,204160.78,3.48
1760759.45,30.06,1.43,204153.42,3.49
1760491.27,30.06,1.43,204153.86,3.49
1760411.33,30.06,1.43,204162.81,3.49
1760113.21,30.06,1.43,204227.94,3.49
1760113.21,30.06,1.43,204172.91,3.49
1759897.71,30.06,1.43,204109.4,3.49
1759599.58,30.06,1.43,204090.93,3.49
1759384.09,30.07,1.43,204027.87,3.49
1759560.72,30.07,1.44,204032.72,3.49
1759292.55,30.07,1.44,204031.79,3.49
1758994.42,30.07,1.44,204007.98,3.49
1758966.89,30.08,1.44,204104.11,3.49
1758857.0,30.08,1.44,204084.56,3.49
1758588.82,30.08,1.44,204083.63,3.49
1758620.33,30.08,1.44,203960.92,3.49
1758620.33,30.08,1.44,203905.89,3.49
1758335.24,30.08,1.45,203957.49,3.49
1758646.38,30.09,1.45,203529.7,3.48
1758430.88,30.09,1.45,203466.26,3.48
1758215.39,30.09,1.45,203471.52,3.48
1758187.86,30.09,1.45,203567.65,3.48
1758296.97,30.1,1.46,203560.53,3.48
1758311.43,30.1,1.46,203548.0,3.48
1757735.83,30.09,1.46,202935.94,3.47
1757518.79,30.09,1.46,202932.45,3.47
1757381.68,30.09,1.46,202752.85,3.47
1757354.15,30.1,1.46,202848.98,3.47
1757138.66,30.1,1.46,202854.24,3.47
1756860.67,30.1,1.46,202858.76,3.48
1756645.18,30.1,1.46,202795.5,3.48
1756429.69,30.1,1.46,202731.99,3.47
1756400.61,30.11,1.46,202831.99,3.48
1756400.61,30.11,1.46,202807.65,3.48
1756185.11,30.11,1.46,202744.14,3.48
1755916.94,30.11,1.46,202744.58,3.48
1755648.77,30.11,1.46,202729.36,3.48
1755825.4,30.11,1.47,202734.21,3.48
1755609.9,30.12,1.47,202670.7,3.48
1755316.29,30.12,1.47,202673.85,3.48
