ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
250,594,410500,6212,411310
250,594,410500,6212,411310
250,594,410970,6212,411780
250,594,411970,6212,412780
251,596,412970,6212,413780
251,596,413970,6212,414780
252,600,414200,6212,415010
252,600,414200,6212,415010
253,602,415200,6212,416010
253,602,416200,6212,417010
254,604,417200,6212,418010
254,604,417660,6212,418470
255,606,418660,6212,419470
255,606,419470,6212,420280
255,606,420470,6212,421280
255,606,420700,6212,421510
255,606,421020,6212,421830
256,608,422020,6212,422830
256,608,423020,6212,423830
256,608,423490,6212,424300
256,608,424490,6212,425300
256,608,425490,6212,426300
256,608,426490,6212,427300
257,610,427490,6212,428300
257,610,428490,6212,429300
258,612,429300,6212,430110
258,612,429300,6212,430110
258,612,429770,6212,430580
258,612,430090,6212,430900
258,612,430550,6212,431360
258,612,430550,6212,431360
258,612,431360,6212,432170
259,614,432360,6212,433170
260,622,433360,6212,434170
260,622,433830,6212,434640
260,622,434150,6212,434960
261,624,435150,6212,435960
261,624,435150,6212,435960
261,624,435150,6212,436430
261,624,436150,6212,437430
261,624,436620,6212,437900
262,626,437620,6212,438900
262,626,438620,6212,439900
262,626,438620,6212,439900
263,628,439270,6212,440550
263,628,439270,6212,440550
263,628,440270,6212,441550
264,630,441270,6212,442550
264,630,442270,6212,443550
264,630,442740,6212,444020
264,630,443550,6212,444830
264,630,444550,6212,445830
264,630,445550,6212,446830
265,632,446360,6212,447640
266,636,446830,6212,448110
266,636,447830,6212,449110
266,636,448830,6212,450110
266,636,449830,6212,451110
266,636,450300,6212,451580
266,636,451300,6212,452580
267,640,451770,6212,453050
