ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
391087.42,6.61,1.44,173448.6,2.93
391540.8,6.62,1.45,173448.82,2.93
391919.48,6.63,1.46,173448.82,2.93
392290.2,6.64,1.46,173733.99,2.94
391876.41,6.64,1.47,173733.99,2.94
392238.56,6.64,1.47,173733.99,2.94
392186.84,6.64,1.47,173733.99,2.94
392323.66,6.65,1.48,173733.99,2.94
392271.94,6.65,1.48,173733.99,2.94
392806.02,6.66,1.49,173579.5,2.94
393176.73,6.66,1.49,173579.5,2.94
393547.45,6.67,1.5,173579.5,2.94
393684.28,6.67,1.5,173579.5,2.94
393632.55,6.67,1.5,173579.5,2.94
394003.27,6.68,1.51,173579.5,2.94
393951.55,6.68,1.51,173599.33,2.94
393899.82,6.68,1.51,173569.84,2.94
393848.1,6.68,1.51,173569.84,2.94
393796.38,6.68,1.51,173461.52,2.94
393888.38,6.69,1.51,173680.71,2.95
394025.2,6.69,1.52,173680.71,2.95
393647.05,6.68,1.51,173176.69,2.94
394017.77,6.69,1.52,173291.63,2.94
394486.39,6.7,1.53,173207.6,2.94
394486.39,6.7,1.53,173207.6,2.94
394434.67,6.7,1.53,173178.11,2.94
394020.87,6.7,1.53,173178.11,2.95
393969.15,6.7,1.53,173065.01,2.94
394339.87,6.71,1.54,173065.01,2.94
394288.14,6.71,1.54,172951.91,2.94
394424.97,6.71,1.54,172951.91,2.94
394373.25,6.71,1.54,172951.91,2.94
394779.58,6.72,1.55,173334.21,2.95
394741.7,6.72,1.55,172677.3,2.94
394689.98,6.72,1.55,172677.3,2.94
394638.25,6.72,1.55,172677.3,2.94
394586.53,6.72,1.55,172620.3,2.94
394957.25,6.73,1.56,172620.3,2.94
394905.52,6.73,1.56,172620.3,2.94
395230.89,6.73,1.56,172506.65,2.94
395179.16,6.73,1.56,172506.65,2.94
395127.44,6.73,1.56,172506.65,2.94
395264.27,6.74,1.57,172629.27,2.94
395212.54,6.74,1.57,172629.27,2.94
395174.67,6.74,1.57,172064.78,2.93
395545.39,6.75,1.57,172064.78,2.93
396014.01,6.75,1.58,171980.74,2.93
395600.22,6.76,1.58,171980.74,2.94
395548.49,6.76,1.58,171981.97,2.94
396015.72,6.77,1.59,171903.85,2.94
395964.0,6.77,1.59,172328.16,2.94
396236.4,6.77,1.6,172392.05,2.95
396236.4,6.77,1.6,172392.05,2.95
396184.68,6.77,1.6,172392.05,2.95
395685.87,6.76,1.59,171893.25,2.94
396056.59,6.77,1.6,172008.19,2.94
396427.31,6.78,1.61,172257.62,2.95
396916.85,6.79,1.61,172181.23,2.94
396865.12,6.79,1.62,172181.23,2.94
396813.4,6.79,1.62,172160.92,2.94
396813.4,6.79,1.62,172160.92,2.94
396761.68,6.79,1.62,172167.51,2.95
396709.95,6.79,1.62,172167.51,2.95
396658.23,6.79,1.62,172167.51,2.95
396606.5,6.79,1.62,172167.51,2.95
396554.78,6.79,1.62,172167.51,2.95
396503.06,6.79,1.62,172147.19,2.95
396873.77,6.8,1.62,172147.19,2.95
397167.16,6.8,1.63,173518.23,2.97
397115.44,6.8,1.63,173518.23,2.97
397568.81,6.81,1.64,173807.85,2.98
397939.53,6.82,1.64,173807.85,2.98
398076.35,6.82,1.65,173930.47,2.98
398024.63,6.82,1.65,173873.47,2.98
398024.63,6.82,1.65,173873.47,2.98
398024.63,6.82,1.65,173763.61,2.98
397972.91,6.82,1.65,173655.29,2.98
397921.18,6.82,1.65,173590.29,2.98
397869.46,6.82,1.65,173952.23,2.98
397817.73,6.82,1.65,173859.45,2.98
397766.01,6.82,1.65,173859.45,2.98
397714.28,6.82,1.65,173859.45,2.98
397662.56,6.82,1.65,173859.45,2.98
397662.56,6.82,1.65,173859.45,2.98
397987.93,6.83,1.66,173746.35,2.98
397936.2,6.83,1.66,173716.3,2.98
398389.58,6.84,1.66,173842.85,2.98
398337.85,6.84,1.66,173842.85,2.98
398474.68,6.84,1.67,173842.85,2.98
398422.95,6.84,1.67,173842.66,2.98
398371.23,6.84,1.67,173749.87,2.98
398319.51,6.84,1.67,173640.01,2.98
398319.51,6.84,1.67,173640.01,2.98
398319.51,6.84,1.67,173640.01,2.98
398267.78,6.84,1.67,173640.01,2.98
398216.06,6.84,1.67,173527.77,2.98
398164.33,6.84,1.67,173527.77,2.98
398691.99,6.85,1.68,173527.84,2.98
398828.81,6.85,1.68,173613.78,2.98
399199.53,6.86,1.69,173742.95,2.99
399336.36,6.87,1.69,173865.57,2.99
399284.63,6.87,1.69,173865.57,2.99
399284.63,6.87,1.69,173865.57,2.99
399232.91,6.87,1.69,173865.57,2.99
399181.18,6.87,1.69,173865.57,2.99
399634.56,6.87,1.7,173865.59,2.99
400005.28,6.88,1.71,173865.59,2.99
400525.5,6.89,1.72,173865.59,2.99
400850.87,6.9,1.72,173865.59,2.99
400987.69,6.9,1.73,173865.59,2.99
400935.97,6.9,1.73,173865.59,2.99
401086.64,6.9,1.73,173506.22,2.99
401457.36,6.91,1.74,173506.22,2.99
401828.08,6.92,1.75,173506.5,2.99
402198.8,6.92,1.75,173506.5,2.99
402147.07,6.92,1.75,173506.5,2.99
402283.9,6.93,1.76,173629.12,2.99
403045.63,6.94,1.77,174798.15,3.01
402993.91,6.94,1.77,174794.91,3.01
403521.56,6.95,1.78,174794.94,3.01
403469.84,6.95,1.78,174797.12,3.01
403742.25,6.96,1.78,175033.33,3.02
404186.5,6.96,1.79,175513.6,3.02
404557.22,6.97,1.8,175642.77,3.03
404505.49,6.97,1.8,175642.77,3.03
404453.77,6.97,1.8,175590.0,3.03
404815.92,6.98,1.81,175592.18,3.03
404952.75,6.98,1.81,175714.79,3.03
404901.02,6.98,1.81,175714.79,3.03
404849.3,6.98,1.81,175714.79,3.03
