ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
307,786,708120,6212,708120
307,786,709120,6212,709120
308,788,710120,6212,710120
308,788,710120,6212,710120
308,788,710930,6212,710930
309,790,711930,6212,711930
310,792,713930,6212,713930
311,794,714740,6212,714740
311,794,715740,6212,715740
312,802,715740,6212,715740
312,802,716740,6212,716740
313,804,717390,6212,717390
313,804,717390,6212,717390
313,804,717620,6212,717620
314,806,718430,6212,718430
314,806,719430,6212,719430
314,806,719890,6212,719890
314,806,720890,6212,720890
314,806,720890,6212,720890
315,808,721890,6212,721890
316,810,722890,6212,722890
316,810,722890,6212,722890
316,810,723700,6212,723700
316,810,724700,6212,724700
317,812,725020,6212,725020
317,812,726020,6212,726020
318,814,727020,6212,727020
318,814,728020,6212,728020
318,814,728340,6212,728340
319,816,729340,6212,729340
319,816,730340,6212,730340
320,818,731340,6212,731340
320,818,731340,6212,731340
320,818,731340,6212,731340
320,818,731340,6212,731340
321,820,732150,6212,732150
321,820,733150,6212,733150
321,820,733150,6212,733150
321,820,734150,6212,734150
322,822,735150,6212,735150
323,826,735960,6212,735960
323,826,736430,6212,736430
324,828,737430,6212,737430
324,828,738430,6212,738430
325,830,739430,6212,739430
325,830,740430,6212,740430
326,832,741430,6212,741430
326,832,742430,6212,742430
326,832,743430,6212,743430
326,832,743890,6212,743890
326,832,744890,6212,744890
327,840,752890,6212,752890
327,840,753890,6212,753890
328,842,754890,6212,754890
329,844,755890,6212,755890
329,844,756700,6212,756700
329,844,757700,6212,757700
330,846,758700,6212,758700
330,846,759170,6212,759170
330,846,759490,6212,759490
331,848,760490,6212,760490
331,848,761490,6212,761490
332,852,762490,6212,762490
333,854,763490,6212,763490
333,854,763490,6212,763490
333,854,764300,6212,764300
333,854,765300,6212,765300
333,854,765850,6212,765850
333,854,765850,6212,765850
334,856,766440,6212,766440
334,856,767440,6212,767440
335,858,768440,6212,768440
335,858,769440,6212,769440
335,858,769600,6212,769600
335,858,770070,6212,770070
335,858,770390,6212,770390
335,858,771390,6212,771390
336,860,772390,6212,772390
336,860,773390,6212,773390
337,862,774390,6212,774390
338,870,774390,6212,774390
339,872,774980,6212,774980
339,872,775980,6212,775980
339,872,776630,6212,776630
340,874,777630,6212,777630
340,874,777630,6212,777630
340,874,778440,6212,778440
341,876,779440,6212,779440
342,878,780250,6212,780250
342,878,780250,6212,780250
342,878,781250,6212,781250
342,878,782250,6212,782250
342,878,782250,6212,782250
343,882,783060,6212,783060
343,882,784060,6212,784060
343,882,784380,6212,784380
343,882,785190,6212,785190
343,882,786190,6212,786190
344,884,787190,6212,787190
344,884,787190,6212,787190
344,884,787190,6212,787190
344,884,788000,6212,788000
345,886,789000,6212,789000
345,886,789810,6212,789810
346,888,790810,6212,790810
346,888,791460,6212,791460
347,890,792460,6212,792460
348,894,793460,6212,793460
348,894,793460,6212,793460
348,894,794460,6212,794460
349,896,795460,6212,795460
349,896,795460,6212,795460
349,896,796460,6212,796460
349,896,796460,6212,796460
350,898,797460,6212,797460
350,898,798270,6212,798270
350,898,799270,6212,799270
351,902,799740,6212,799740
351,902,800060,6212,800060
352,903,801060,6212,801060
353,905,802060,6212,802060
353,905,802710,6212,802710
354,907,803710,6212,803710
355,911,807710,6212,807710
355,911,808710,6212,808710
356,913,809710,6212,809710
357,921,809710,6212,809710
357,921,810710,6212,810710
357,921,810710,6212,810710
357,921,811180,6212,811180
358,923,812180,6212,812180
358,923,812990,6212,812990
358,923,813220,6212,813220
358,923,814220,6212,814220
