ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
874822.03,14.51,0.94,244704.35,4.06
874873.56,14.51,0.94,244822.82,4.06
874925.09,14.51,0.94,244881.87,4.06
875155.94,14.52,0.95,244970.03,4.06
875207.47,14.52,0.95,245143.79,4.07
874971.49,14.52,0.95,244897.87,4.06
874864.3,14.51,0.95,244795.34,4.06
878016.41,14.57,1.0,250699.7,4.16
878067.94,14.57,1.0,250818.18,4.16
878233.84,14.57,1.01,250835.82,4.16
878233.84,14.57,1.01,250835.82,4.16
878285.37,14.58,1.01,250954.29,4.17
878053.81,14.57,1.01,250897.98,4.16
877907.06,14.57,1.01,250860.79,4.16
877670.54,14.57,1.0,250618.67,4.16
877722.07,14.57,1.01,250677.71,4.16
877722.07,14.57,1.01,250677.71,4.16
877773.6,14.57,1.01,250796.19,4.16
877825.13,14.58,1.01,250855.23,4.17
877876.66,14.58,1.01,250508.93,4.16
877928.19,14.58,1.02,250288.83,4.16
877691.66,14.58,1.01,250046.71,4.15
877857.57,14.58,1.02,249993.99,4.15
877909.1,14.59,1.02,250182.82,4.16
878141.9,14.59,1.03,249599.94,4.15
877910.33,14.59,1.02,249543.63,4.15
877780.59,14.59,1.02,249572.35,4.15
877780.59,14.59,1.02,249582.44,4.15
877940.91,14.59,1.03,249553.67,4.15
877940.91,14.59,1.03,249686.35,4.15
877992.44,14.6,1.03,249861.32,4.15
878043.97,14.6,1.03,249979.79,4.16
877807.99,14.6,1.03,249903.61,4.16
877859.52,14.6,1.03,249962.65,4.16
878019.84,14.6,1.04,249933.89,4.16
878218.12,14.61,1.04,250187.55,4.16
877982.14,14.6,1.04,250185.07,4.16
878212.99,14.61,1.04,250273.23,4.16
878059.24,14.61,1.04,250231.92,4.16
878213.5,14.61,1.05,250514.29,4.17
878265.03,14.61,1.05,250632.77,4.17
878419.3,14.62,1.05,250715.83,4.17
878827.45,14.63,1.06,250647.09,4.17
878987.76,14.63,1.06,250618.33,4.17
878987.76,14.63,1.06,250618.33,4.17
878987.76,14.63,1.06,256235.16,4.27
879142.03,14.63,1.07,256463.46,4.27
879524.2,14.64,1.08,256661.52,4.27
879230.26,14.64,1.07,256366.58,4.27
879461.12,14.64,1.08,256454.74,4.27
879291.19,14.64,1.08,256400.52,4.27
879342.72,14.64,1.08,256574.28,4.27
881883.32,14.69,1.12,258318.95,4.3
881647.34,14.68,1.12,258291.04,4.3
881647.34,14.68,1.12,258301.12,4.3
881698.87,14.69,1.12,257954.82,4.3
881999.35,14.69,1.13,257958.98,4.3
881999.35,14.69,1.13,257948.3,4.3
882159.67,14.7,1.13,257919.53,4.3
882211.2,14.7,1.13,258094.5,4.3
882262.73,14.7,1.14,258212.97,4.3
882002.8,14.7,1.13,258051.17,4.3
882054.33,14.7,1.14,258110.22,4.3
882105.86,14.7,1.14,258228.69,4.3
882260.13,14.71,1.14,258311.76,4.31
882000.2,14.7,1.14,258057.61,4.3
881764.22,14.7,1.14,257981.42,4.3
881551.46,14.7,1.13,257749.7,4.3
881705.72,14.7,1.14,257841.68,4.3
881866.04,14.71,1.14,257949.24,4.3
881917.57,14.71,1.14,258067.71,4.3
882071.83,14.71,1.15,258150.77,4.31
881835.85,14.71,1.15,258123.49,4.31
881835.85,14.71,1.15,263883.69,4.4
881887.38,14.71,1.15,264002.17,4.4
882047.7,14.72,1.15,264029.89,4.41
882099.23,14.72,1.15,264148.37,4.41
881839.3,14.72,1.15,263986.57,4.41
881579.37,14.71,1.15,263731.8,4.4
881630.9,14.72,1.15,263790.84,4.4
