ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
439,2286,313320,6212,313320
440,2294,314320,6212,314320
440,2294,315130,6212,315130
440,2294,316130,6212,316130
440,2294,316780,6212,316780
441,2296,317250,6212,317250
442,2304,317480,6212,317480
442,2304,317800,6212,317800
443,2312,318120,6212,318120
444,2320,318930,6212,318930
444,2320,319740,6212,319740
445,2322,320210,6212,320210
445,2322,320760,6212,320760
446,2330,321760,6212,321760
447,2338,322410,6212,322410
447,2338,322410,6212,322410
447,2338,323410,6212,323410
447,2338,324410,6212,324410
447,2338,325410,6212,325410
447,2338,325730,6212,325730
447,2338,326280,6212,326280
448,2346,326280,6212,326280
449,2348,327090,6212,327090
450,2350,327410,6212,327410
450,2350,327880,6212,327880
451,2358,328350,6212,328350
451,2358,329000,6212,329000
452,2366,330000,6212,330000
453,2368,331000,6212,331000
453,2368,332000,6212,332000
454,2376,332590,6212,332590
455,2384,333240,6212,333240
455,2384,333710,6212,333710
456,2386,334710,6212,334710
457,2394,335030,6212,335030
458,2402,335030,6212,335030
458,2402,336030,6212,336030
458,2402,336030,6212,336030
458,2402,336030,6212,336030
458,2402,337030,6212,337030
459,2404,338030,6212,338030
459,2404,339030,6212,339030
460,2406,339030,6212,339030
461,2408,339840,6212,339840
462,2410,340650,6212,340650
462,2410,341650,6212,341650
463,2414,342120,6212,342120
464,2418,342930,6212,342930
464,2418,343150,6212,343150
465,2420,343800,6212,343800
466,2421,343800,6212,343800
467,2429,344800,6212,344800
467,2429,345130,6212,345130
468,2431,345940,6212,345940
469,2439,346750,6212,346750
469,2439,347400,6212,347400
470,2441,347720,6212,347720
470,2441,348370,6212,348370
471,2443,349370,6212,349370
471,2443,349840,6212,349840
472,2447,350650,6212,350650
473,2449,350880,6212,350880
474,2457,351880,6212,351880
474,2457,351880,6212,351880
475,2465,352110,6212,352110
475,2465,352340,6212,352340
476,2467,352810,6212,352810
477,2475,352810,6212,352810
477,2475,353620,6212,353620
478,2483,354620,6212,354620
479,2485,355430,6212,355430
479,2485,356430,6212,356430
480,2489,357430,6212,357430
480,2489,358240,6212,358240
480,2489,358240,6212,358240
480,2489,358240,6212,358240
480,2489,358700,6212,358700
480,2489,358700,6212,358700
481,2491,358700,6212,358700
481,2491,359290,6212,359290
482,2499,367290,6212,367290
482,2499,367940,6212,367940
483,2507,368410,6212,368410
484,2515,369220,6212,369220
485,2523,370030,6212,370030
486,2531,370840,6212,370840
486,2531,371840,6212,371840
487,2539,372160,6212,372160
488,2541,373160,6212,373160
488,2541,373390,6212,373390
488,2541,374200,6212,374200
489,2543,374200,6212,374200
490,2551,375010,6212,375010
490,2551,375820,6212,375820
491,2559,376630,6212,376630
492,2567,377100,6212,377100
492,2567,377100,6212,377100
493,2569,377570,6212,377570
493,2569,378040,6212,378040
494,2571,379040,6212,379040
495,2573,379040,6212,379040
495,2573,379150,6212,379150
496,2575,379150,6212,379150
497,2583,380150,6212,380150
497,2583,380150,6212,380150
498,2591,381150,6212,381150
499,2599,381470,6212,381470
499,2599,381470,6212,381470
499,2599,381470,6212,381470
499,2599,382470,6212,382470
499,2599,383280,6212,383280
500,2603,383750,6212,383750
500,2603,383860,6212,383860
501,2605,384670,6212,384670
502,2607,385140,6212,385140
502,2607,385950,6212,385950
503,2615,386420,6212,386420
504,2623,386890,6212,386890
505,2631,387360,6212,387360
506,2633,387360,6212,387360
507,2641,387360,6212,387360
508,2649,388170,6212,388170
509,2657,388640,6212,388640
510,2665,389110,6212,389110
511,2673,389920,6212,389920
512,2674,390730,6212,390730
512,2674,390730,6212,390730
513,2682,391200,6212,391200
514,2690,391670,6212,391670
514,2690,392480,6212,392480
514,2690,393290,6212,393290
514,2690,394290,6212,394290
514,2690,395100,6212,395100
514,2690,396100,6212,396100
514,2690,397100,6212,397100
515,2698,397910,6212,397910
516,2706,398910,6212,398910
516,2706,399720,6212,399720
517,2708,400530,6212,400530
