ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
884426.98,14.62,1.0,191050.6,3.16
884290.77,14.62,1.0,191050.34,3.16
884342.7,14.63,1.01,191050.46,3.16
884146.31,14.63,1.0,191042.34,3.16
884318.12,14.63,1.01,191122.91,3.16
884645.71,14.64,1.02,191122.65,3.16
884697.64,14.64,1.02,191245.62,3.16
884697.64,14.64,1.02,191115.2,3.16
884697.64,14.64,1.02,190978.67,3.16
884561.44,14.64,1.02,190978.41,3.16
885128.62,14.65,1.03,191192.07,3.16
885180.55,14.65,1.03,191192.07,3.16
885180.55,14.65,1.03,191191.69,3.16
885352.37,14.66,1.04,191191.43,3.16
885620.49,14.66,1.04,191191.17,3.17
885841.81,14.67,1.05,191222.95,3.17
885893.75,14.67,1.05,191223.06,3.17
885945.68,14.67,1.05,191223.18,3.17
886217.68,14.68,1.06,191083.03,3.16
886217.68,14.68,1.06,191082.76,3.16
886081.47,14.68,1.06,191075.96,3.16
886253.28,14.68,1.06,191268.44,3.17
886790.84,14.69,1.07,191417.67,3.17
886842.78,14.69,1.07,191536.19,3.17
886894.71,14.7,1.08,191553.27,3.17
887162.84,14.7,1.08,191553.01,3.17
887430.96,14.71,1.09,191552.63,3.17
887294.76,14.71,1.09,191528.74,3.17
887522.83,14.71,1.09,191512.77,3.17
887790.95,14.72,1.1,191512.51,3.17
888012.28,14.72,1.1,191544.29,3.18
888064.21,14.73,1.1,191914.85,3.18
887928.0,14.73,1.11,192037.99,3.18
887791.8,14.73,1.11,192037.73,3.19
887843.73,14.73,1.11,192037.85,3.19
887707.52,14.73,1.11,192037.58,3.19
887759.46,14.73,1.11,192037.7,3.19
887815.26,14.73,1.11,191679.53,3.18
887679.05,14.73,1.11,191728.29,3.18
