ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
543,2789,478520,6212,478520
543,2789,479520,6212,479520
544,2791,480520,6212,480520
545,2799,481520,6212,481520
546,2807,481980,6212,481980
546,2807,482790,6212,482790
546,2807,483790,6212,483790
546,2807,484600,6212,484600
546,2807,484650,6212,484650
546,2807,485090,6212,485090
546,2807,485680,6212,485680
547,2815,486490,6212,486490
548,2817,487490,6212,487490
549,2825,487490,6212,487490
550,2833,488490,6212,488490
551,2841,488600,6212,488600
552,2843,488920,6212,488920
552,2843,489730,6212,489730
553,2851,490540,6212,490540
553,2851,491010,6212,491010
554,2859,492010,6212,492010
555,2867,493010,6212,493010
555,2867,493660,6212,493660
556,2869,493980,6212,493980
556,2869,494450,6212,494450
557,2871,495260,6212,495260
558,2879,495580,6212,495580
558,2879,496040,6212,496040
559,2887,497040,6212,497040
560,2895,498040,6212,498040
561,2897,498850,6212,498850
562,2905,499850,6212,499850
562,2905,500850,6212,500850
563,2907,500850,6212,500850
564,2915,501850,6212,501850
564,2915,502850,6212,502850
565,2923,503850,6212,503850
566,2931,504320,6212,504320
567,2933,504970,6212,504970
568,2941,505780,6212,505780
569,2943,506780,6212,506780
570,2951,507590,6212,507590
570,2951,508590,6212,508590
570,2951,509400,6212,509400
570,2951,510400,6212,510400
571,2959,510400,6212,510400
571,2959,510950,6212,510950
571,2959,511540,6212,511540
572,2967,512540,6212,512540
573,2969,513130,6212,513130
573,2969,513600,6212,513600
573,2969,513830,6212,513830
573,2969,514150,6212,514150
574,2977,514470,6212,514470
575,2979,515280,6212,515280
575,2979,515280,6212,515280
575,2979,515280,6212,515280
575,2979,515830,6212,515830
576,2987,516300,6212,516300
576,2987,517110,6212,517110
576,2987,518110,6212,518110
577,2989,519110,6212,519110
578,2993,519110,6212,519110
579,3001,519760,6212,519760
580,3009,519760,6212,519760
580,3009,520760,6212,520760
580,3009,520760,6212,520760
580,3009,521570,6212,521570
581,3011,522570,6212,522570
581,3011,523040,6212,523040
581,3011,524040,6212,524040
582,3019,524200,6212,524200
583,3027,524850,6212,524850
584,3035,525660,6212,525660
585,3043,526310,6212,526310
586,3051,526680,6212,526680
587,3059,527680,6212,527680
587,3059,528330,6212,528330
587,3059,529330,6212,529330
588,3061,529550,6212,529550
588,3061,530360,6212,530360
589,3063,531360,6212,531360
589,3063,532170,6212,532170
590,3071,532640,6212,532640
591,3079,532640,6212,532640
592,3081,533640,6212,533640
592,3081,534640,6212,534640
593,3089,535110,6212,535110
593,3089,536110,6212,536110
594,3097,536920,6212,536920
594,3097,537920,6212,537920
595,3099,538920,6212,538920
595,3099,538920,6212,538920
595,3099,539730,6212,539730
596,3107,540730,6212,540730
597,3115,541050,6212,541050
598,3123,542050,6212,542050
599,3131,542860,6212,542860
600,3139,543230,6212,543230
600,3139,544040,6212,544040
601,3141,544850,6212,544850
601,3141,546850,6212,546850
602,3149,546850,6212,546850
602,3149,547850,6212,547850
602,3149,548850,6212,548850
603,3151,549850,6212,549850
604,3153,550660,6212,550660
605,3161,551130,6212,551130
605,3161,551450,6212,551450
605,3161,552260,6212,552260
606,3163,552720,6212,552720
606,3163,553720,6212,553720
606,3163,554190,6212,554190
606,3163,554840,6212,554840
606,3163,554840,6212,554840
606,3163,555650,6212,555650
607,3171,556120,6212,556120
608,3173,556590,6212,556590
609,3181,557590,6212,557590
610,3189,558590,6212,558590
610,3189,558590,6212,558590
611,3191,558590,6212,558590
612,3193,559400,6212,559400
612,3193,560050,6212,560050
613,3201,561050,6212,561050
614,3203,562050,6212,562050
615,3205,562860,6212,562860
615,3205,563330,6212,563330
615,3205,564330,6212,564330
616,3207,565140,6212,565140
617,3215,566140,6212,566140
618,3217,567140,6212,567140
618,3217,568140,6212,568140
619,3219,568460,6212,568460
619,3219,569110,6212,569110
