ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
890525.51,14.72,1.13,196522.08,3.25
890148.46,14.72,1.13,195993.87,3.24
890198.91,14.72,1.13,195993.87,3.24
890444.37,14.73,1.13,195993.45,3.24
890444.37,14.73,1.13,195806.53,3.24
890624.07,14.73,1.14,195806.1,3.24
890624.07,14.73,1.14,195813.63,3.24
890783.75,14.73,1.14,195813.2,3.24
890963.46,14.74,1.15,195813.17,3.24
891013.9,14.74,1.15,195939.59,3.24
891210.47,14.74,1.15,195939.59,3.24
891370.15,14.75,1.16,196033.81,3.24
891370.15,14.75,1.16,196033.39,3.24
892471.82,14.77,1.18,196853.61,3.26
892522.27,14.77,1.18,196837.67,3.26
892718.84,14.77,1.18,196837.67,3.26
892890.36,14.78,1.19,197029.67,3.26
893086.92,14.78,1.19,197029.24,3.26
893137.37,14.79,1.19,197029.2,3.26
893297.05,14.79,1.2,197028.77,3.26
893120.83,14.79,1.2,196609.38,3.26
893361.4,14.79,1.2,196553.65,3.25
893225.49,14.79,1.2,196553.23,3.26
893422.06,14.8,1.21,196552.81,3.26
893472.51,14.8,1.21,196803.53,3.26
893522.96,14.8,1.21,197056.97,3.26
893522.96,14.8,1.21,197064.09,3.26
893708.62,14.81,1.22,197035.71,3.26
893888.32,14.81,1.22,197027.66,3.26
894068.03,14.82,1.23,197027.63,3.26
894068.03,14.82,1.23,197188.55,3.27
894118.48,14.82,1.23,197188.5,3.27
894168.93,14.82,1.23,197314.92,3.27
894219.38,14.82,1.23,197280.72,3.27
894269.83,14.83,1.24,197043.9,3.27
894449.53,14.83,1.24,197043.87,3.27
894623.28,14.84,1.24,197044.79,3.27
894863.85,14.84,1.25,197044.37,3.27
894914.3,14.84,1.25,197044.32,3.27
894778.39,14.84,1.25,197097.06,3.27
894778.39,14.84,1.25,196950.56,3.27
894974.96,14.85,1.26,197502.27,3.28
894974.96,14.85,1.26,197378.8,3.27
895134.64,14.85,1.26,197473.02,3.28
895331.2,14.86,1.26,197473.02,3.28
895381.65,14.86,1.27,197466.53,3.28
895561.36,14.86,1.27,197458.47,3.28
895561.36,14.86,1.27,197458.47,3.28
895721.04,14.87,1.28,197458.05,3.28
895771.49,14.87,1.28,197458.0,3.28
895951.19,14.87,1.28,197457.97,3.28
896136.85,14.88,1.29,197457.55,3.28
896179.43,14.88,1.29,197457.13,3.28
896043.52,14.88,1.29,197310.63,3.28
896270.37,14.88,1.29,197255.37,3.28
896160.73,14.88,1.29,197116.92,3.27
896211.18,14.89,1.3,197116.87,3.27
896426.84,14.89,1.3,197116.45,3.27
896477.29,14.89,1.3,197191.71,3.28
896656.99,14.9,1.31,197183.66,3.28
896707.44,14.9,1.31,197056.77,3.27
896757.89,14.9,1.31,197056.72,3.27
896937.6,14.91,1.32,197056.34,3.28
897117.3,14.91,1.32,197067.78,3.28
897117.3,14.91,1.32,196944.31,3.27
897313.87,14.92,1.32,196880.07,3.27
897499.53,14.92,1.33,196879.65,3.27
897549.98,14.92,1.33,197006.06,3.28
897709.66,14.93,1.34,197100.28,3.28
897869.34,14.93,1.34,197366.28,3.28
897919.79,14.93,1.34,197366.23,3.28
897919.79,14.93,1.34,197283.97,3.28
897919.79,14.93,1.34,197283.97,3.28
897674.17,14.93,1.34,197283.97,3.28
897724.62,14.93,1.34,197406.19,3.28
897724.62,14.93,1.34,197282.72,3.28
897775.07,14.94,1.35,197282.68,3.28
897954.78,14.94,1.35,197300.07,3.28
898134.48,14.94,1.35,197314.82,3.28
898379.94,14.95,1.36,197253.9,3.28
898427.3,14.95,1.36,196912.2,3.28
898586.98,14.96,1.37,196911.77,3.28
898766.68,14.96,1.37,196914.29,3.28
898766.68,14.96,1.37,197271.31,3.28
898814.05,14.96,1.37,196929.61,3.28
898864.49,14.97,1.38,196929.56,3.28
898864.49,14.97,1.38,196936.67,3.28
898728.59,14.97,1.38,196936.91,3.28
898914.25,14.97,1.38,196908.54,3.28
899093.95,14.98,1.38,196900.49,3.28
899136.53,14.98,1.39,196900.06,3.28
899322.19,14.98,1.39,196871.69,3.28
899560.88,14.99,1.4,197442.01,3.29
899740.58,14.99,1.4,197442.01,3.29
899604.68,14.99,1.4,197443.22,3.29
899655.13,14.99,1.4,197569.63,3.29
899851.69,15.0,1.41,197569.21,3.29
900063.19,15.0,1.41,198042.65,3.3
900222.87,15.01,1.42,198042.23,3.3
900438.53,15.01,1.42,197988.44,3.3
900485.89,15.01,1.42,197646.73,3.3
900691.28,15.02,1.43,197940.3,3.3
900691.28,15.02,1.43,197939.88,3.3
900870.98,15.02,1.43,197939.45,3.3
900921.43,15.03,1.43,198081.39,3.3
900971.88,15.03,1.44,198081.34,3.3
901022.33,15.03,1.44,198081.3,3.3
901022.33,15.03,1.44,198088.41,3.3
901072.78,15.03,1.44,198087.99,3.3
901252.48,15.04,1.45,198094.72,3.31
901692.9,15.05,1.45,198360.74,3.31
901933.47,15.05,1.46,198360.32,3.31
901757.25,15.05,1.46,198207.91,3.31
901953.81,15.05,1.46,198207.91,3.31
902004.26,15.06,1.47,198197.9,3.31
902054.71,15.06,1.47,198197.9,3.31
902270.37,15.06,1.47,198197.47,3.31
902430.05,15.07,1.48,198287.44,3.31
902668.74,15.07,1.48,198287.02,3.31
902848.44,15.08,1.49,198286.6,3.31
902898.89,15.08,1.49,198286.22,3.31
902887.54,15.08,1.49,197734.56,3.3
903067.24,15.09,1.5,197673.96,3.3
903226.92,15.09,1.5,197673.54,3.3
903091.01,15.09,1.5,197617.56,3.3
902955.11,15.09,1.5,197617.14,3.3
903151.67,15.09,1.5,197619.92,3.3
903202.12,15.1,1.51,197619.92,3.3
903202.12,15.1,1.51,197496.45,3.3
903252.57,15.1,1.51,197731.53,3.31
903432.28,15.1,1.51,197895.25,3.31
903432.28,15.1,1.51,197748.75,3.31
903672.85,15.11,1.52,197324.08,3.3
903723.3,15.11,1.52,197324.03,3.3
903773.75,15.12,1.52,197323.99,3.3
903947.5,15.12,1.53,197323.99,3.3
902860.24,15.12,1.53,197323.56,3.3
903056.8,15.13,1.53,197259.32,3.3
903099.38,15.13,1.54,197107.87,3.3
903295.95,15.13,1.54,197043.62,3.3
903346.4,15.13,1.54,197165.84,3.3
903526.1,15.14,1.55,197165.42,3.3
903722.67,15.14,1.55,197165.0,3.3
903722.67,15.14,1.55,197164.58,3.3
903773.12,15.14,1.55,197290.99,3.31
907229.49,15.2,1.61,200545.51,3.36
907415.15,15.21,1.62,200545.14,3.36
907574.83,15.21,1.62,200544.76,3.36
907625.28,15.21,1.62,200671.18,3.36
907625.28,15.21,1.62,200670.76,3.36
907675.73,15.22,1.63,200670.71,3.36
907861.39,15.22,1.63,200670.29,3.36
907861.39,15.22,1.63,200669.86,3.36
907725.48,15.22,1.63,200669.86,3.37
907922.05,15.23,1.64,200646.83,3.36
907972.49,15.23,1.64,200773.25,3.37
908388.02,15.24,1.65,200560.74,3.36
908567.72,15.24,1.65,200560.71,3.36
908567.72,15.24,1.65,200560.71,3.36
908747.43,15.25,1.65,200560.29,3.36
908747.43,15.25,1.65,200560.29,3.36
908611.52,15.25,1.66,200561.18,3.37
908661.97,15.25,1.66,200687.6,3.37
908520.65,15.25,1.66,200503.13,3.37
908571.1,15.25,1.66,200503.13,3.37
908809.79,15.26,1.67,200502.71,3.37
908860.24,15.26,1.67,200505.19,3.37
908910.69,15.26,1.67,201040.02,3.38
909104.17,15.27,1.68,200867.98,3.37
