ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
599,3185,570310,6212,570310
600,3189,570630,6212,570630
601,3191,571440,6212,571440
602,3199,572440,6212,572440
603,3207,573440,6212,573440
604,3209,573440,6212,573440
605,3213,574440,6212,574440
605,3213,574670,6212,574670
605,3213,575670,6212,575670
605,3213,576670,6212,576670
605,3213,577670,6212,577670
606,3215,577670,6212,577670
607,3223,578670,6212,578670
607,3223,579140,6212,579140
607,3223,579790,6212,579790
608,3225,580790,6212,580790
608,3225,581790,6212,581790
609,3233,581790,6212,581790
609,3233,582790,6212,582790
609,3233,583260,6212,583260
610,3235,583580,6212,583580
611,3237,584390,6212,584390
611,3237,585200,6212,585200
611,3237,585670,6212,585670
612,3239,586670,6212,586670
613,3241,586670,6212,586670
613,3241,587670,6212,587670
614,3249,588670,6212,588670
614,3249,589670,6212,589670
615,3253,590670,6212,590670
615,3253,590890,6212,590890
616,3255,591890,6212,591890
616,3255,592890,6212,592890
616,3255,593890,6212,593890
616,3255,594700,6212,594700
616,3255,594700,6212,594700
617,3263,595160,6212,595160
617,3263,595380,6212,595380
618,3265,596380,6212,596380
618,3265,597380,6212,597380
619,3273,597850,6212,597850
619,3273,598850,6212,598850
620,3281,599850,6212,599850
621,3289,600850,6212,600850
622,3297,608850,6212,608850
622,3297,609170,6212,609170
623,3299,609720,6212,609720
624,3301,610720,6212,610720
625,3309,610720,6212,610720
626,3317,611720,6212,611720
627,3319,612530,6212,612530
628,3321,613000,6212,613000
629,3329,613810,6212,613810
630,3337,614810,6212,614810
631,3345,615030,6212,615030
632,3353,616030,6212,616030
632,3353,616500,6212,616500
632,3353,617310,6212,617310
632,3353,618310,6212,618310
632,3353,619120,6212,619120
633,3355,619440,6212,619440
633,3355,619440,6212,619440
634,3363,620250,6212,620250
634,3363,621060,6212,621060
634,3363,621060,6212,621060
634,3363,621060,6212,621060
634,3363,621870,6212,621870
635,3365,622870,6212,622870
636,3367,623680,6212,623680
636,3367,624000,6212,624000
637,3369,624810,6212,624810
637,3369,625810,6212,625810
637,3369,626620,6212,626620
637,3369,627620,6212,627620
637,3369,628620,6212,628620
638,3371,628940,6212,628940
639,3379,629940,6212,629940
640,3387,630400,6212,630400
640,3387,631400,6212,631400
640,3387,632210,6212,632210
641,3395,633210,6212,633210
642,3399,634210,6212,634210
643,3401,635210,6212,635210
643,3401,635210,6212,635210
643,3401,636020,6212,636020
644,3409,637020,6212,637020
644,3409,637020,6212,637020
645,3411,638020,6212,638020
646,3413,638830,6212,638830
647,3415,639830,6212,639830
648,3423,640830,6212,640830
648,3423,641830,6212,641830
648,3423,642640,6212,642640
648,3423,643450,6212,643450
648,3423,643670,6212,643670
648,3423,644670,6212,644670
649,3427,645130,6212,645130
649,3427,645940,6212,645940
650,3435,646940,6212,646940
651,3437,647940,6212,647940
652,3445,648940,6212,648940
653,3453,649940,6212,649940
653,3453,650940,6212,650940
654,3455,651940,6212,651940
654,3455,651940,6212,651940
655,3463,651940,6212,651940
655,3463,652940,6212,652940
656,3471,653940,6212,653940
656,3471,654940,6212,654940
657,3479,655940,6212,655940
657,3479,656940,6212,656940
658,3481,656940,6212,656940
659,3489,656940,6212,656940
660,3497,657940,6212,657940
