order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
13,openb_pod_list_cpu050,03-GpuClustering,1.3,43,54,16000,1,1000,<none>
14,openb_pod_list_cpu050,03-GpuClustering,1.3,43,52,4000,1,230,<none>
15,openb_pod_list_cpu050,03-GpuClustering,1.3,43,51,4000,1,1000,<none>
16,openb_pod_list_cpu050,03-GpuClustering,1.3,43,50,15700,1,1000,<none>
17,openb_pod_list_cpu050,03-GpuClustering,1.3,43,42,6000,1,460,<none>
18,openb_pod_list_cpu050,03-GpuClustering,1.3,43,39,14200,1,1000,<none>
19,openb_pod_list_cpu050,03-GpuClustering,1.3,43,34,4150,1,550,<none>
20,openb_pod_list_cpu050,03-GpuClustering,1.3,43,30,24200,1,1000,<none>
21,openb_pod_list_cpu050,03-GpuClustering,1.3,43,27,11900,1,1000,<none>
22,openb_pod_list_cpu050,03-GpuClustering,1.3,43,25,8000,1,320,<none>
23,openb_pod_list_cpu050,03-GpuClustering,1.3,43,20,3150,1,590,<none>
24,openb_pod_list_cpu050,03-GpuClustering,1.3,43,14,8200,1,1000,<none>
25,openb_pod_list_cpu050,03-GpuClustering,1.3,43,14,4150,1,810,<none>
26,openb_pod_list_cpu050,03-GpuClustering,1.3,43,13,4150,1,370,<none>
27,openb_pod_list_cpu050,03-GpuClustering,1.3,43,11,15200,1,1000,<none>
28,openb_pod_list_cpu050,03-GpuClustering,1.3,43,10,64200,8,1000,<none>
29,openb_pod_list_cpu050,03-GpuClustering,1.3,43,10,4000,1,220,<none>
30,openb_pod_list_cpu050,03-GpuClustering,1.3,43,9,7000,1,1000,<none>
31,openb_pod_list_cpu050,03-GpuClustering,1.3,43,8,88000,8,1000,<none>
32,openb_pod_list_cpu050,03-GpuClustering,1.3,43,7,32200,4,1000,<none>
33,openb_pod_list_cpu050,03-GpuClustering,1.3,43,7,8000,1,230,<none>
34,openb_pod_list_cpu050,03-GpuClustering,1.3,43,7,8000,1,220,<none>
35,openb_pod_list_cpu050,03-GpuClustering,1.3,43,7,16400,1,1000,<none>
36,openb_pod_list_cpu050,03-GpuClustering,1.3,43,6,8000,1,650,<none>
37,openb_pod_list_cpu050,03-GpuClustering,1.3,43,4,15400,1,1000,<none>
38,openb_pod_list_cpu050,03-GpuClustering,1.3,43,4,4000,1,480,<none>
39,openb_pod_list_cpu050,03-GpuClustering,1.3,43,4,14900,1,1000,<none>
40,openb_pod_list_cpu050,03-GpuClustering,1.3,43,3,6000,1,1000,<none>
41,openb_pod_list_cpu050,03-GpuClustering,1.3,43,3,16200,2,1000,<none>
42,openb_pod_list_cpu050,03-GpuClustering,1.3,43,2,12000,1,460,<none>
43,openb_pod_list_cpu050,03-GpuClustering,1.3,43,2,4000,1,350,<none>
44,openb_pod_list_cpu050,03-GpuClustering,1.3,43,2,64000,8,1000,<none>
45,openb_pod_list_cpu050,03-GpuClustering,1.3,43,2,120200,8,1000,<none>
46,openb_pod_list_cpu050,03-GpuClustering,1.3,43,2,4150,1,270,<none>
47,openb_pod_list_cpu050,03-GpuClustering,1.3,43,2,4000,1,330,<none>
48,openb_pod_list_cpu050,03-GpuClustering,1.3,43,1,30200,2,1000,<none>
49,openb_pod_list_cpu050,03-GpuClustering,1.3,43,1,32000,4,1000,<none>
50,openb_pod_list_cpu050,03-GpuClustering,1.3,43,1,120000,8,1000,<none>
51,openb_pod_list_cpu050,03-GpuClustering,1.3,43,1,4000,1,650,<none>
52,openb_pod_list_cpu050,03-GpuClustering,1.3,43,1,6000,2,1000,<none>
53,openb_pod_list_cpu050,03-GpuClustering,1.3,43,1,9400,1,1000,<none>
0,openb_pod_list_cpu050,04-GpuPacking,1.3,42,431,3150,1,810,<none>
1,openb_pod_list_cpu050,04-GpuPacking,1.3,42,320,11300,1,1000,<none>
2,openb_pod_list_cpu050,04-GpuPacking,1.3,42,215,11400,1,1000,<none>
3,openb_pod_list_cpu050,04-GpuPacking,1.3,42,196,3150,1,1000,<none>
4,openb_pod_list_cpu050,04-GpuPacking,1.3,42,170,11910,1,470,<none>
5,openb_pod_list_cpu050,04-GpuPacking,1.3,42,130,8000,1,470,<none>
6,openb_pod_list_cpu050,04-GpuPacking,1.3,42,124,12000,1,1000,<none>
7,openb_pod_list_cpu050,04-GpuPacking,1.3,42,107,11910,1,650,<none>
8,openb_pod_list_cpu050,04-GpuPacking,1.3,42,105,18710,1,1000,<none>
9,openb_pod_list_cpu050,04-GpuPacking,1.3,42,86,4000,1,320,<none>
10,openb_pod_list_cpu050,04-GpuPacking,1.3,42,76,9810,1,1000,<none>
11,openb_pod_list_cpu050,04-GpuPacking,1.3,42,64,15700,1,1000,<none>
12,openb_pod_list_cpu050,04-GpuPacking,1.3,42,59,4000,1,1000,<none>
13,openb_pod_list_cpu050,04-GpuPacking,1.3,42,58,8000,1,1000,<none>
