ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_ratio
899206.49,15.44,1.85,155309.39,2.67
899070.51,15.44,1.85,155239.98,2.67
898934.54,15.45,1.85,155246.21,2.67
898798.56,15.45,1.85,155160.67,2.67
898798.56,15.45,1.85,155160.67,2.67
898662.58,15.45,1.85,155137.98,2.67
898853.03,15.45,1.85,155401.13,2.67
898556.6,15.45,1.85,155111.36,2.67
898609.31,15.45,1.85,155222.44,2.67
898662.01,15.45,1.85,155357.74,2.67
898365.58,15.45,1.85,155067.97,2.67
898229.6,15.45,1.85,155058.07,2.67
898614.26,15.46,1.86,155521.71,2.67
898666.96,15.46,1.86,155632.79,2.68
898530.99,15.46,1.86,155627.38,2.68
898218.89,15.46,1.86,155274.32,2.67
898082.91,15.46,1.86,155280.54,2.67
898082.91,15.46,1.86,155280.54,2.67
897946.93,15.46,1.86,155195.0,2.67
897949.58,15.46,1.86,155196.13,2.67
897813.6,15.46,1.86,155118.17,2.67
897677.62,15.46,1.86,155116.82,2.67
897541.64,15.46,1.86,155037.51,2.67
897405.67,15.46,1.86,155037.51,2.67
897269.69,15.46,1.86,155043.74,2.67
897133.71,15.46,1.86,154958.2,2.67
896997.73,15.46,1.86,154948.3,2.67
896861.76,15.46,1.86,154878.89,2.67
896725.78,15.46,1.86,154799.58,2.67
896725.78,15.46,1.86,154799.58,2.67
897021.8,15.47,1.87,155230.57,2.68
896885.82,15.47,1.87,155207.88,2.68
896749.85,15.47,1.87,155151.26,2.68
896613.87,15.47,1.87,155071.95,2.67
896473.41,15.46,1.87,154891.7,2.67
896473.41,15.46,1.87,154891.7,2.67
896337.43,15.46,1.87,154891.7,2.67
896201.46,15.47,1.87,154813.74,2.67
896065.48,15.47,1.87,154812.39,2.67
896369.65,15.47,1.87,154799.92,2.67
896233.67,15.47,1.87,155173.37,2.68
896286.37,15.48,1.88,155284.45,2.68
896150.4,15.48,1.88,155279.05,2.68
