ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1591103.14,26.69,1.11,207529.55,3.48
1591646.02,26.7,1.12,207607.85,3.48
1591646.02,26.7,1.12,207603.34,3.48
1591390.28,26.7,1.12,207559.57,3.48
1591390.28,26.7,1.12,207636.75,3.48
1591390.28,26.7,1.12,207632.24,3.48
1591134.54,26.7,1.12,207629.71,3.48
1591134.54,26.7,1.12,207625.2,3.48
1591134.54,26.7,1.12,207622.67,3.48
1590878.81,26.7,1.12,207617.8,3.48
1590623.07,26.7,1.13,207574.03,3.48
1590909.42,26.71,1.13,207566.63,3.48
1590842.54,26.71,1.13,207633.44,3.49
1590586.8,26.71,1.13,207647.03,3.49
1590331.06,26.71,1.13,207603.26,3.49
1590075.32,26.71,1.13,207600.37,3.49
1589819.58,26.71,1.13,207613.97,3.49
1589563.84,26.71,1.13,207613.97,3.49
1589563.84,26.71,1.13,207609.45,3.49
1589563.84,26.71,1.13,207565.68,3.49
1589753.29,26.71,1.14,207638.03,3.49
1589686.41,26.72,1.14,207632.92,3.49
1589458.75,26.72,1.14,207031.69,3.48
1589203.02,26.72,1.14,206947.11,3.48
1589276.88,26.72,1.15,206968.79,3.48
1589021.14,26.72,1.15,206968.79,3.48
1589021.14,26.72,1.15,207045.97,3.48
1589307.49,26.73,1.15,207038.57,3.48
1589051.75,26.73,1.15,206981.02,3.48
1589051.75,26.73,1.15,207058.21,3.48
1589180.06,26.73,1.16,207014.44,3.48
1588952.41,26.73,1.16,206852.57,3.48
1588696.67,26.73,1.16,206845.4,3.48
1588696.67,26.73,1.16,206882.74,3.48
1588696.67,26.73,1.16,206838.97,3.48
1588696.67,26.73,1.16,206838.97,3.48
1588440.93,26.73,1.16,206833.79,3.48
1588440.93,26.73,1.16,206829.28,3.48
1588185.19,26.73,1.16,206822.11,3.48
1586139.28,26.74,1.16,206814.71,3.49
1586328.73,26.74,1.17,206887.06,3.49
1586072.99,26.74,1.17,206879.66,3.49
1585817.25,26.74,1.17,206879.66,3.49
1586006.7,26.75,1.17,207167.42,3.49
1586006.7,26.75,1.17,209557.65,3.53
1585750.97,26.75,1.17,209552.78,3.53
1585495.23,26.75,1.17,209545.38,3.54
1585649.78,26.75,1.18,209231.21,3.53
1585138.31,26.75,1.18,209230.92,3.53
1585071.43,26.76,1.18,208996.98,3.53
1584815.69,26.76,1.18,208996.98,3.53
1584559.95,26.76,1.18,208879.96,3.53
1584493.07,26.76,1.19,208968.54,3.53
1584493.07,26.76,1.19,208924.77,3.53
1584237.33,26.76,1.19,208917.37,3.53
1583981.59,26.76,1.19,208917.37,3.53
1583981.59,26.76,1.19,208917.37,3.53
1583725.85,26.76,1.19,208912.5,3.53
1583658.97,26.76,1.19,208907.38,3.53
1583658.97,26.76,1.19,208900.11,3.53
1583658.97,26.76,1.19,208856.34,3.53
1583732.83,26.77,1.19,208878.02,3.53
1583665.95,26.77,1.2,208644.08,3.53
1583599.07,26.77,1.2,208526.89,3.53
1583788.52,26.78,1.2,208526.89,3.53
1583532.78,26.78,1.2,208522.01,3.53
1583532.78,26.78,1.2,208599.2,3.53
1583277.04,26.78,1.2,208599.2,3.53
1583021.3,26.78,1.2,208591.8,3.53
1583021.3,26.78,1.2,208588.87,3.53
1582765.56,26.78,1.2,208588.87,3.53
1582765.56,26.78,1.2,208588.87,3.53
1582509.82,26.78,1.2,208583.69,3.53
1582583.69,26.78,1.21,208605.37,3.53
1582327.95,26.78,1.21,208605.37,3.53
1582614.3,26.79,1.22,208872.4,3.54
1582614.3,26.79,1.22,208820.71,3.53
