ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
345,810,662440,6212,665660
346,812,663440,6212,666660
346,812,664440,6212,667660
346,812,664440,6212,667660
347,814,665440,6212,668660
347,814,666440,6212,669660
347,814,666440,6212,669660
348,816,667250,6212,670470
348,816,668250,6212,671470
349,818,668900,6212,672120
349,818,669370,6212,672590
349,818,669530,6212,672750
350,820,670530,6212,673750
350,820,671080,6212,674300
350,820,671400,6212,674620
351,822,672400,6212,675620
351,822,672400,6212,675620
351,822,673400,6212,676620
351,822,673870,6212,677090
352,824,674870,6212,678090
352,824,675680,6212,678900
353,826,676680,6212,679900
353,826,677680,6212,680900
354,828,678680,6212,681900
354,828,679330,6212,682550
355,830,680330,6212,683550
355,830,681140,6212,684360
356,832,682140,6212,685360
356,832,682600,6212,685820
357,834,683600,6212,686820
357,834,684600,6212,687820
357,834,684600,6212,687820
358,836,685600,6212,688820
358,836,685600,6212,688820
358,836,686600,6212,689820
359,838,687410,6212,690630
359,838,688410,6212,691630
359,838,688410,6212,691630
359,838,688880,6212,692100
360,840,689880,6212,693100
360,840,693880,6212,697100
360,840,694880,6212,698100
360,840,694880,6212,698100
