ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
1181980.47,20.19,1.62,182051.67,3.11
1181980.47,20.19,1.62,182051.67,3.11
1181782.2,20.19,1.62,182021.17,3.11
1181699.85,20.19,1.62,182800.69,3.12
1182027.75,20.19,1.63,183229.36,3.13
1182674.03,20.21,1.64,183389.57,3.13
1182861.69,20.21,1.64,183646.36,3.14
1182861.69,20.21,1.64,183646.36,3.14
1182663.42,20.21,1.64,183577.41,3.14
1182897.86,20.22,1.65,183516.79,3.14
1182790.98,20.22,1.65,184254.87,3.15
1182790.98,20.22,1.65,184254.87,3.15
1182597.1,20.22,1.65,183940.13,3.14
1182398.83,20.22,1.65,183871.18,3.14
1182200.56,20.22,1.65,183788.53,3.14
1182200.56,20.22,1.65,183788.53,3.14
1182093.68,20.22,1.65,184084.76,3.15
1181804.02,20.22,1.65,183705.4,3.14
1181804.02,20.22,1.65,183705.4,3.14
1181605.75,20.22,1.65,183649.82,3.14
1181626.68,20.22,1.66,183747.14,3.14
1180817.94,20.21,1.65,182953.19,3.13
1180709.49,20.21,1.64,182844.73,3.13
1180511.22,20.21,1.64,183132.83,3.14
1180089.65,20.21,1.64,182498.26,3.12
1179900.8,20.21,1.64,182174.21,3.12
1179693.11,20.21,1.64,182031.03,3.12
1179693.11,20.21,1.64,182031.03,3.12
1179526.08,20.21,1.64,182013.53,3.12
1179526.08,20.21,1.64,182013.53,3.12
1179306.49,20.2,1.64,181835.81,3.12
1179139.46,20.21,1.64,181833.8,3.12
1179160.39,20.21,1.64,181937.64,3.12
1178993.36,20.21,1.64,181916.14,3.12
1179255.35,20.22,1.65,182209.72,3.12
1179255.35,20.22,1.65,182209.72,3.12
1179088.32,20.22,1.65,182200.77,3.12
1178921.29,20.22,1.65,182128.09,3.12
1178942.22,20.22,1.65,182225.42,3.13
1178963.15,20.22,1.65,182369.37,3.13
1178796.12,20.22,1.65,182292.23,3.13
1178629.08,20.22,1.65,182287.75,3.13
1178650.02,20.23,1.66,182385.07,3.13
1178482.98,20.23,1.66,182389.58,3.13
1178315.95,20.23,1.66,182312.28,3.13
1178148.92,20.23,1.66,182307.95,3.13
1177981.89,20.23,1.66,182286.45,3.13
1177814.85,20.23,1.66,182226.33,3.13
1177647.82,20.23,1.66,182224.32,3.13
1177480.79,20.23,1.66,182144.7,3.13
1177480.79,20.23,1.66,182144.7,3.13
1177313.76,20.23,1.66,182067.56,3.13
1177470.61,20.24,1.66,182377.77,3.13
1177176.73,20.23,1.66,182093.08,3.13
1177197.66,20.24,1.66,182190.4,3.13
1177218.59,20.24,1.66,182334.36,3.13
1176997.32,20.24,1.66,182183.43,3.13
1176830.29,20.24,1.66,182161.93,3.13
1177181.66,20.24,1.67,182629.02,3.14
1177202.59,20.25,1.67,182726.35,3.14
