ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
913635.27,16.14,3.44,553421.42,9.77
913472.53,16.14,3.44,553155.17,9.77
913637.79,16.14,3.45,552896.54,9.77
913468.8,16.14,3.45,552789.35,9.77
913299.81,16.14,3.45,552596.99,9.77
913423.61,16.15,3.45,552817.77,9.77
913736.17,16.15,3.46,552917.99,9.77
913573.43,16.15,3.46,552659.43,9.77
914135.75,16.17,3.47,552732.26,9.77
914405.29,16.17,3.48,552758.03,9.78
914948.36,16.18,3.49,552733.39,9.78
914779.37,16.18,3.49,552538.71,9.77
914585.86,16.18,3.49,552687.91,9.78
914585.86,16.18,3.49,552466.56,9.77
915091.67,16.19,3.5,552474.26,9.78
914922.68,16.19,3.5,552367.08,9.78
914922.68,16.19,3.5,552178.99,9.77
915284.94,16.2,3.51,552583.79,9.78
915430.13,16.2,3.51,552540.02,9.78
915992.46,16.21,3.52,552627.87,9.78
916116.25,16.22,3.53,552700.87,9.78
916385.79,16.22,3.53,552726.64,9.79
916411.81,16.23,3.54,552561.65,9.78
916411.81,16.23,3.54,552463.7,9.78
916230.56,16.23,3.53,552372.37,9.78
916500.1,16.23,3.54,552398.14,9.78
916526.12,16.24,3.54,552177.13,9.78
916357.13,16.24,3.54,551982.08,9.78
916194.39,16.24,3.54,551682.72,9.78
916562.9,16.24,3.55,551427.98,9.77
916807.92,16.25,3.56,551677.28,9.78
915792.53,16.25,3.56,551193.81,9.78
915629.79,16.25,3.56,550997.6,9.78
915753.59,16.26,3.57,551070.6,9.78
916193.79,16.27,3.58,551335.97,9.79
916317.59,16.27,3.58,551321.36,9.79
916879.91,16.28,3.59,551385.26,9.79
916879.91,16.28,3.59,551292.58,9.79
916710.92,16.28,3.59,551169.18,9.79
917023.49,16.29,3.6,551269.4,9.79
916854.5,16.29,3.6,551162.21,9.79
916719.4,16.29,3.6,550813.8,9.79
917087.91,16.3,3.61,550973.3,9.79
916918.92,16.3,3.61,550775.69,9.79
916749.93,16.3,3.61,550578.84,9.79
917024.93,16.31,3.61,550297.04,9.79
916429.5,16.31,3.62,550008.12,9.79
916716.03,16.31,3.62,550139.51,9.79
916582.74,16.31,3.62,549804.81,9.79
915567.36,16.32,3.63,549321.34,9.79
915712.55,16.32,3.63,549277.58,9.79
915119.76,16.32,3.63,549603.62,9.8
915243.56,16.33,3.64,549651.32,9.81
915367.36,16.33,3.64,549724.33,9.81
