ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
351577.5,5.88,0.71,163506.17,2.74
351363.46,5.88,0.71,163262.33,2.73
351311.74,5.88,0.71,163152.47,2.73
351260.01,5.88,0.71,163122.98,2.73
351630.73,5.89,0.71,163434.4,2.74
352183.58,5.9,0.72,169463.44,2.84
352131.86,5.9,0.72,169351.2,2.84
352404.27,5.9,0.73,169675.63,2.84
352352.54,5.9,0.73,169655.31,2.84
351990.1,5.9,0.72,169320.28,2.84
352360.82,5.9,0.73,169622.52,2.84
352309.09,5.9,0.73,169619.28,2.84
352257.37,5.9,0.73,169509.42,2.84
352205.65,5.9,0.73,169396.32,2.84
352153.92,5.9,0.73,169396.32,2.84
352102.2,5.9,0.73,169393.08,2.84
352050.47,5.9,0.73,169283.22,2.84
351998.75,5.9,0.73,169279.98,2.84
351947.03,5.9,0.73,169170.12,2.84
351895.3,5.9,0.73,169166.87,2.84
351691.17,5.9,0.73,168961.58,2.83
356924.64,5.99,0.82,170162.12,2.85
356872.91,5.99,0.82,170052.26,2.85
356658.87,5.98,0.81,169864.99,2.85
356607.14,5.98,0.81,169835.5,2.85
356879.55,5.99,0.82,170077.18,2.85
356879.55,5.99,0.82,170077.18,2.85
356827.83,5.99,0.82,170073.94,2.85
356533.69,5.99,0.81,169778.65,2.85
356481.97,5.99,0.81,169668.79,2.85
357299.2,6.0,0.83,169896.74,2.85
356632.7,5.99,0.82,169203.18,2.84
356580.98,5.99,0.82,169138.18,2.84
356951.7,6.0,0.82,169531.45,2.85
356899.97,6.0,0.82,169418.35,2.85
356848.25,6.0,0.82,169418.35,2.85
357648.99,6.01,0.84,169602.74,2.85
357286.54,6.01,0.83,169221.37,2.84
358103.78,6.02,0.85,169449.32,2.85
358572.4,6.03,0.86,169365.29,2.85
358939.84,6.04,0.86,169112.99,2.84
358273.34,6.03,0.85,168419.43,2.83
358221.62,6.03,0.85,168399.11,2.83
357654.92,6.02,0.85,167835.8,2.82
358025.63,6.02,0.85,168138.05,2.83
357547.74,6.02,0.84,167596.47,2.82
357185.3,6.01,0.84,167261.44,2.81
357133.58,6.01,0.84,167241.13,2.82
357504.29,6.02,0.85,167543.37,2.82
357972.92,6.03,0.85,167459.34,2.82
357921.2,6.03,0.85,167346.23,2.82
357869.47,6.03,0.86,167346.23,2.82
357817.75,6.03,0.86,167342.99,2.82
357339.86,6.02,0.85,166801.42,2.81
357288.13,6.02,0.85,166691.56,2.81
357424.96,6.02,0.85,166814.17,2.81
357373.23,6.02,0.85,166757.18,2.81
357269.79,6.02,0.85,166643.52,2.81
356907.34,6.02,0.85,166308.49,2.8
357058.02,6.02,0.85,165949.13,2.8
357085.18,6.02,0.85,165866.07,2.8
357033.45,6.02,0.85,165862.82,2.8
357486.83,6.03,0.86,166222.89,2.8
357190.13,6.03,0.85,165960.72,2.8
357729.92,6.04,0.86,165601.67,2.79
357678.2,6.04,0.86,165536.67,2.79
357626.48,6.04,0.86,165488.56,2.79
357489.84,6.04,0.86,165648.86,2.8
357626.67,6.04,0.87,165771.47,2.8
357626.67,6.04,0.87,165771.47,2.8
357574.94,6.04,0.87,165721.93,2.8
357953.63,6.05,0.87,165739.05,2.8
357593.22,6.04,0.87,165800.83,2.8
357593.22,6.04,0.87,165800.83,2.8
357865.63,6.04,0.87,166005.71,2.8
358851.39,6.06,0.89,166447.8,2.81
358517.51,6.06,0.88,166098.89,2.81
358465.79,6.06,0.88,165985.79,2.8
358465.79,6.06,0.88,165985.79,2.8
358414.06,6.06,0.88,165985.79,2.81
358362.34,6.06,0.88,165872.69,2.8
358310.61,6.06,0.88,165872.69,2.8
359127.85,6.07,0.9,166100.64,2.81
359076.12,6.07,0.9,166097.4,2.81
359446.84,6.08,0.91,166382.57,2.81
358981.81,6.07,0.9,165844.87,2.81
359118.64,6.07,0.9,165731.77,2.8
358642.14,6.07,0.9,165228.21,2.8
358778.97,6.07,0.9,165605.72,2.8
359247.59,6.08,0.91,165521.69,2.8
359195.87,6.08,0.91,165501.22,2.8
359144.14,6.08,0.91,165408.03,2.8
358781.7,6.07,0.9,165073.0,2.79
358729.98,6.07,0.9,165052.69,2.79
358062.09,6.06,0.89,164321.11,2.78
358198.91,6.07,0.9,164407.05,2.78
357904.78,6.06,0.89,164110.16,2.78
358373.41,6.07,0.9,164026.13,2.78
358385.52,6.07,0.9,163974.55,2.78
358333.79,6.07,0.9,163861.45,2.78
358470.62,6.08,0.9,164047.62,2.78
358841.34,6.08,0.91,164176.8,2.78
358478.89,6.08,0.9,163934.52,2.78
358427.17,6.08,0.9,163994.52,2.78
358564.0,6.08,0.91,164117.14,2.78
358512.27,6.08,0.91,164060.14,2.78
358882.99,6.09,0.91,164175.08,2.78
358831.27,6.09,0.91,164388.41,2.79
358709.23,6.09,0.91,164231.41,2.79
366295.44,6.21,1.04,172231.41,2.92
366075.03,6.21,1.04,172027.04,2.92
366400.4,6.22,1.04,171913.94,2.92
366348.67,6.22,1.04,172296.94,2.92
366348.67,6.22,1.04,172296.94,2.92
366838.21,6.23,1.05,172170.13,2.92
366339.41,6.22,1.05,171671.33,2.91
366476.23,6.22,1.05,171793.94,2.92
366424.51,6.22,1.05,171736.95,2.92
366575.18,6.23,1.05,171377.58,2.91
366602.34,6.23,1.05,171294.52,2.91
366602.34,6.23,1.05,171294.52,2.91
366739.17,6.23,1.06,171417.14,2.91
366687.44,6.23,1.06,171360.14,2.91
367156.07,6.24,1.07,171276.11,2.91
366836.07,6.23,1.06,170956.11,2.91
366784.35,6.23,1.06,170926.62,2.91
366497.26,6.23,1.06,170633.62,2.9
366867.98,6.24,1.06,170945.04,2.91
366816.25,6.24,1.06,170924.72,2.91
366552.59,6.23,1.06,170686.47,2.9
366500.86,6.23,1.06,170593.69,2.9
366449.14,6.23,1.06,170573.37,2.9
366461.25,6.23,1.06,170521.79,2.9
366598.08,6.24,1.06,170607.73,2.9
366598.08,6.24,1.06,170607.73,2.9
367065.3,6.24,1.07,170529.6,2.9
367152.52,6.25,1.07,170506.22,2.9
367303.2,6.25,1.08,170146.86,2.9
367143.26,6.25,1.08,169880.61,2.89
367632.8,6.26,1.09,169804.22,2.89
366943.99,6.25,1.08,169065.0,2.88
366892.27,6.25,1.08,169035.51,2.88
366840.54,6.25,1.08,168951.9,2.88
366788.82,6.25,1.08,168931.59,2.88
366925.64,6.25,1.08,169017.52,2.88
366873.92,6.25,1.08,169014.28,2.88
366822.2,6.25,1.08,168904.42,2.88
366770.47,6.25,1.08,168796.1,2.88
366718.75,6.25,1.08,168791.32,2.88
367187.37,6.26,1.09,168707.29,2.88
367135.65,6.26,1.09,168726.24,2.88
366988.95,6.26,1.09,168632.77,2.88
367261.35,6.26,1.09,168806.75,2.88
366593.46,6.25,1.08,168075.17,2.87
366541.74,6.25,1.08,167962.07,2.87
366490.01,6.25,1.08,167962.07,2.87
366438.29,6.25,1.08,167941.75,2.87
366386.56,6.25,1.08,167848.97,2.87
366334.84,6.26,1.08,167845.72,2.87
366283.12,6.26,1.08,167735.86,2.86
366283.12,6.26,1.08,168867.76,2.88
366378.09,6.26,1.08,169630.63,2.9
366326.36,6.26,1.08,169522.31,2.9
366697.08,6.26,1.09,169958.89,2.9
366360.07,6.26,1.09,169608.26,2.9
366308.35,6.26,1.09,169578.77,2.9
366256.62,6.26,1.09,169495.16,2.9
366581.99,6.27,1.09,169382.06,2.89
366718.81,6.27,1.1,169953.58,2.91
366667.09,6.27,1.1,169924.09,2.9
366615.37,6.27,1.1,169840.48,2.9
366252.92,6.26,1.09,169459.11,2.9
366201.2,6.26,1.09,169478.05,2.9
365907.07,6.26,1.09,169202.03,2.89
365855.34,6.26,1.09,169069.98,2.89
365656.88,6.26,1.08,168846.5,2.89
365982.25,6.26,1.09,168733.39,2.89
366119.07,6.26,1.09,169304.91,2.9
366570.74,6.27,1.1,169140.24,2.89
366283.65,6.27,1.1,168832.1,2.89
366231.93,6.27,1.1,168828.86,2.89
366180.2,6.27,1.1,168719.0,2.89
366452.61,6.27,1.1,168972.42,2.89
365801.68,6.26,1.09,168321.49,2.88
366074.08,6.27,1.1,168567.02,2.89
366346.49,6.28,1.1,168820.44,2.89
366717.21,6.28,1.11,169147.71,2.9
366364.77,6.28,1.1,168850.8,2.89
366160.64,6.27,1.1,168685.29,2.89
366311.31,6.28,1.1,168325.93,2.88
366259.59,6.28,1.1,168212.83,2.88
366629.65,6.28,1.11,168476.58,2.89
367000.36,6.29,1.12,168917.96,2.9
366948.64,6.29,1.12,168804.31,2.89
367221.05,6.3,1.12,169129.93,2.9
367169.32,6.3,1.12,169016.83,2.9
366965.19,6.29,1.12,168810.28,2.9
366913.47,6.29,1.12,168810.28,2.9
366861.74,6.29,1.12,168789.97,2.9
366499.3,6.29,1.12,168408.59,2.89
366861.46,6.29,1.12,168739.06,2.9
366809.73,6.3,1.12,168709.57,2.9
366758.01,6.3,1.12,168625.96,2.89
366706.28,6.3,1.12,168596.46,2.89
367077.0,6.3,1.13,168907.88,2.9
367025.28,6.3,1.13,168878.39,2.9
366662.83,6.3,1.12,168543.36,2.89
366611.11,6.3,1.12,168459.75,2.89
367079.74,6.31,1.13,168375.72,2.89
367880.47,6.32,1.15,168560.11,2.9
367828.75,6.32,1.15,168530.62,2.9
368199.47,6.33,1.16,168842.04,2.9
368147.74,6.33,1.16,168821.72,2.9
367795.3,6.32,1.15,168496.69,2.9
368067.71,6.33,1.16,168729.2,2.9
368438.42,6.34,1.16,168858.37,2.9
368386.7,6.34,1.16,169057.47,2.91
368855.33,6.34,1.17,168973.43,2.91
368561.2,6.34,1.17,168676.55,2.9
368083.3,6.33,1.16,168134.97,2.89
367669.51,6.33,1.16,168134.97,2.9
367335.63,6.33,1.16,167791.71,2.89
367283.91,6.33,1.16,167762.22,2.89
367232.18,6.33,1.16,167678.61,2.89
367014.29,6.33,1.15,167397.04,2.89
366962.57,6.33,1.15,167376.72,2.89
367599.09,6.34,1.16,166518.94,2.87
367547.36,6.34,1.16,166426.16,2.87
367184.92,6.33,1.16,166044.79,2.86
