ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
843044.84,14.73,1.38,335517.15,5.86
842896.37,14.73,1.38,335502.11,5.86
843181.73,14.73,1.39,335937.92,5.87
843181.73,14.73,1.39,335937.92,5.87
843221.96,14.74,1.39,336018.03,5.87
842848.13,14.73,1.39,335795.86,5.87
843133.49,14.74,1.39,336080.88,5.87
843173.72,14.74,1.4,336160.99,5.88
842470.66,14.73,1.39,335400.99,5.86
842322.19,14.73,1.39,335289.13,5.86
842362.42,14.73,1.39,335407.57,5.87
842213.95,14.73,1.39,335391.29,5.87
841873.38,14.73,1.39,335026.45,5.86
841170.32,14.72,1.38,334266.45,5.85
840806.49,14.71,1.37,334026.53,5.85
841119.61,14.72,1.38,333825.49,5.84
840971.14,14.72,1.38,333782.83,5.84
840822.66,14.72,1.38,333697.34,5.84
840674.19,14.72,1.38,333624.89,5.84
840852.59,14.73,1.38,333663.84,5.84
840704.12,14.73,1.38,333608.14,5.84
840555.65,14.73,1.38,333535.69,5.84
840407.18,14.73,1.38,333480.0,5.84
840447.41,14.73,1.39,333745.16,5.85
840250.54,14.73,1.38,333554.44,5.85
840250.54,14.73,1.38,333554.44,5.85
