ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
350,1811,205700,6212,205700
351,1813,206170,6212,206170
352,1815,206280,6212,206280
353,1823,206750,6212,206750
353,1823,207560,6212,207560
354,1831,208370,6212,208370
355,1835,209180,6212,209180
355,1835,209990,6212,209990
355,1835,210800,6212,210800
356,1843,211610,6212,211610
357,1851,211610,6212,211610
358,1859,212080,6212,212080
359,1867,212890,6212,212890
359,1867,213360,6212,213360
359,1867,213830,6212,213830
360,1875,213830,6212,213830
360,1875,214310,6212,214310
360,1875,215120,6212,215120
361,1879,215120,6212,215120
362,1881,215440,6212,215440
363,1889,215760,6212,215760
364,1891,216410,6212,216410
364,1891,216880,6212,216880
365,1899,217350,6212,217350
366,1907,217820,6212,217820
366,1907,218170,6212,218170
366,1907,218650,6212,218650
367,1915,219120,6212,219120
367,1915,219930,6212,219930
368,1923,220740,6212,220740
369,1925,221060,6212,221060
370,1933,221710,6212,221710
371,1935,222520,6212,222520
371,1935,222840,6212,222840
372,1939,223070,6212,223070
372,1939,223880,6212,223880
373,1947,223880,6212,223880
374,1949,224040,6212,224040
375,1957,224510,6212,224510
375,1957,224510,6212,224510
375,1957,225320,6212,225320
375,1957,226130,6212,226130
376,1965,226940,6212,226940
377,1967,227170,6212,227170
377,1967,227490,6212,227490
378,1975,227960,6212,227960
379,1977,228510,6212,228510
380,1985,229160,6212,229160
381,1987,229480,6212,229480
381,1987,229710,6212,229710
381,1987,230180,6212,230180
382,1995,230180,6212,230180
383,1997,230500,6212,230500
383,1997,230500,6212,230500
383,1997,231310,6212,231310
383,1997,231780,6212,231780
384,2001,232590,6212,232590
384,2001,232590,6212,232590
385,2003,233400,6212,233400
386,2005,234210,6212,234210
386,2005,234210,6212,234210
387,2007,234530,6212,234530
388,2015,235340,6212,235340
388,2015,235660,6212,235660
389,2017,236310,6212,236310
390,2019,236780,6212,236780
390,2019,236780,6212,236780
391,2021,237250,6212,237250
392,2023,237250,6212,237250
392,2023,238060,6212,238060
392,2023,238380,6212,238380
393,2025,239190,6212,239190
394,2027,239660,6212,239660
395,2035,240130,6212,240130
396,2043,240600,6212,240600
396,2043,241250,6212,241250
397,2045,242060,6212,242060
398,2053,242870,6212,242870
399,2055,243190,6212,243190
400,2063,243510,6212,243510
401,2071,243830,6212,243830
402,2075,244060,6212,244060
403,2083,244060,6212,244060
404,2091,244870,6212,244870
405,2099,245190,6212,245190
405,2099,245780,6212,245780
405,2099,246250,6212,246250
406,2103,246470,6212,246470
407,2105,247280,6212,247280
408,2113,247280,6212,247280
408,2113,247750,6212,247750
409,2115,248220,6212,248220
409,2115,248590,6212,248590
409,2115,248590,6212,248590
410,2123,249400,6212,249400
411,2131,249400,6212,249400
412,2133,249870,6212,249870
413,2135,250680,6212,250680
413,2135,251150,6212,251150
414,2137,251370,6212,251370
415,2145,252180,6212,252180
415,2145,252650,6212,252650
416,2153,253460,6212,253460
417,2157,253460,6212,253460
418,2165,253460,6212,253460
418,2165,254270,6212,254270
419,2167,255080,6212,255080
420,2175,255550,6212,255550
420,2175,256360,6212,256360
420,2175,256680,6212,256680
421,2183,257330,6212,257330
422,2187,258140,6212,258140
423,2195,258950,6212,258950
424,2197,259180,6212,259180
424,2197,259550,6212,259550
424,2197,259550,6212,259550
425,2199,259870,6212,259870
426,2201,260520,6212,260520
427,2203,260990,6212,260990
428,2211,261460,6212,261460
429,2213,262270,6212,262270
430,2221,262740,6212,262740
430,2221,263200,6212,263200
430,2221,264010,6212,264010
430,2221,264330,6212,264330
431,2225,264790,6212,264790
432,2227,265250,6212,265250
432,2227,265710,6212,265710
433,2229,266360,6212,266360
433,2229,266590,6212,266590
434,2237,267400,6212,267400
434,2237,267400,6212,267400
435,2239,267630,6212,267630
436,2240,268100,6212,268100
437,2248,268570,6212,268570
437,2248,269380,6212,269380
438,2250,269970,6212,269970
438,2250,269970,6212,269970
439,2258,270340,6212,270340
439,2258,271150,6212,271150
440,2266,271960,6212,271960
440,2266,272770,6212,272770
441,2274,273580,6212,273580
441,2274,274390,6212,274390
442,2282,275200,6212,275200
442,2282,275430,6212,275430
443,2290,275900,6212,275900
444,2298,276130,6212,276130
445,2300,276450,6212,276450
445,2300,276770,6212,276770
446,2302,277090,6212,277090
447,2304,277090,6212,277090
447,2304,277740,6212,277740
448,2306,277740,6212,277740
448,2306,277740,6212,277740
449,2308,278010,6212,278010
450,2310,278820,6212,278820
451,2312,279290,6212,279290
451,2312,279290,6212,279290
452,2314,279520,6212,279520
453,2316,280330,6212,280330
454,2320,281140,6212,281140
455,2322,281950,6212,281950
456,2330,282760,6212,282760
457,2332,283080,6212,283080
457,2332,283540,6212,283540
458,2334,283540,6212,283540
459,2336,283700,6212,283700
460,2338,283860,6212,283860
461,2340,284180,6212,284180
461,2340,284650,6212,284650
461,2340,285460,6212,285460
461,2340,285930,6212,285930
462,2342,286150,6212,286150
463,2350,286960,6212,286960
463,2350,287280,6212,287280
463,2350,288090,6212,288090
464,2358,288900,6212,288900
465,2366,289220,6212,289220
466,2374,289220,6212,289220
467,2382,290030,6212,290030
468,2390,290350,6212,290350
469,2392,291160,6212,291160
469,2392,291160,6212,291160
470,2394,291970,6212,291970
471,2402,292780,6212,292780
472,2410,293590,6212,293590
472,2410,294140,6212,294140
472,2410,294610,6212,294610
472,2410,295080,6212,295080
473,2418,295080,6212,295080
473,2418,295080,6212,295080
473,2418,295730,6212,295730
473,2418,295730,6212,295730
474,2426,295730,6212,295730
474,2426,296540,6212,296540
474,2426,297130,6212,297130
475,2428,297180,6212,297180
476,2436,297530,6212,297530
477,2438,297850,6212,297850
477,2438,298660,6212,298660
478,2440,299470,6212,299470
479,2444,300280,6212,300280
480,2452,300330,6212,300330
481,2454,300490,6212,300490
481,2454,301140,6212,301140
482,2456,301790,6212,301790
483,2464,301790,6212,301790
484,2472,302600,6212,302600
485,2480,303250,6212,303250
485,2480,304060,6212,304060
486,2488,304530,6212,304530
487,2490,304530,6212,304530
488,2492,305340,6212,305340
489,2500,306150,6212,306150
490,2501,306960,6212,306960
491,2509,306960,6212,306960
491,2509,307770,6212,307770
492,2513,307770,6212,307770
493,2515,308240,6212,308240
493,2515,308240,6212,308240
493,2515,309050,6212,309050
494,2523,309520,6212,309520
495,2525,309520,6212,309520
496,2533,309520,6212,309520
497,2535,309840,6212,309840
498,2537,310650,6212,310650
498,2537,311120,6212,311120
499,2539,311590,6212,311590
499,2539,312400,6212,312400
499,2539,312870,6212,312870
499,2539,313680,6212,313680
500,2541,314490,6212,314490
501,2543,314860,6212,314860
502,2545,315330,6212,315330
502,2545,315330,6212,315330
503,2547,315330,6212,315330
504,2555,315790,6212,315790
505,2557,316110,6212,316110
506,2565,316270,6212,316270
507,2567,317080,6212,317080
508,2575,317550,6212,317550
508,2575,317550,6212,317550
509,2577,317710,6212,317710
509,2577,318520,6212,318520
509,2577,318840,6212,318840
509,2577,319160,6212,319160
509,2577,319630,6212,319630
509,2577,319950,6212,319950
509,2577,320600,6212,320600
509,2577,321250,6212,321250
510,2579,321570,6212,321570
511,2587,322380,6212,322380
512,2589,323190,6212,323190
513,2597,323740,6212,323740
513,2597,324550,6212,324550
513,2597,324770,6212,324770
514,2599,325090,6212,325090
515,2601,325560,6212,325560
516,2603,326020,6212,326020
517,2611,326250,6212,326250
517,2611,327060,6212,327060
518,2619,327060,6212,327060
519,2627,327530,6212,327530
520,2629,328340,6212,328340
520,2629,329150,6212,329150
520,2629,329960,6212,329960
521,2637,330770,6212,330770
521,2637,331580,6212,331580
521,2637,332390,6212,332390
522,2639,332860,6212,332860
523,2641,332860,6212,332860
524,2649,333330,6212,333330
525,2657,333800,6212,333800
525,2657,334030,6212,334030
526,2659,334030,6212,334030
527,2667,334250,6212,334250
528,2675,334250,6212,334250
528,2675,334570,6212,334570
529,2679,334570,6212,334570
529,2679,335030,6212,335030
530,2681,335510,6212,335510
531,2689,335980,6212,335980
531,2689,336450,6212,336450
531,2689,337260,6212,337260
532,2697,338070,6212,338070
532,2697,338070,6212,338070
533,2699,338540,6212,338540
533,2699,339010,6212,339010
534,2707,339660,6212,339660
535,2715,339980,6212,339980
535,2715,340450,6212,340450
536,2717,341260,6212,341260
537,2725,341730,6212,341730
538,2733,342200,6212,342200
538,2733,342670,6212,342670
539,2741,342670,6212,342670
539,2741,342670,6212,342670
540,2743,343140,6212,343140
541,2745,343730,6212,343730
542,2753,344540,6212,344540
543,2761,345010,6212,345010
544,2763,345820,6212,345820
544,2763,346630,6212,346630
544,2763,347440,6212,347440
544,2763,347710,6212,347710
545,2765,348300,6212,348300
546,2773,349110,6212,349110
546,2773,349340,6212,349340
546,2773,349810,6212,349810
547,2775,350620,6212,350620
548,2783,351430,6212,351430
549,2785,352080,6212,352080
550,2793,352310,6212,352310
550,2793,353120,6212,353120
551,2801,353120,6212,353120
552,2809,353340,6212,353340
553,2817,354150,6212,354150
553,2817,354260,6212,354260
554,2819,355070,6212,355070
554,2819,355880,6212,355880
555,2821,356690,6212,356690
556,2829,357160,6212,357160
556,2829,357480,6212,357480
556,2829,357800,6212,357800
557,2831,358610,6212,358610
