ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
887807.24,14.68,1.12,211072.77,3.49
887807.24,14.68,1.12,211021.81,3.49
888863.25,14.7,1.13,211812.78,3.5
888914.78,14.7,1.14,211871.83,3.5
888966.31,14.71,1.14,211871.83,3.51
889120.57,14.71,1.14,211871.23,3.51
889172.1,14.71,1.15,211989.7,3.51
889223.63,14.72,1.15,211989.48,3.51
889275.16,14.72,1.15,212107.95,3.51
889435.48,14.72,1.16,212079.19,3.51
889487.01,14.73,1.16,212078.96,3.51
889647.33,14.73,1.16,212050.2,3.51
889816.72,14.73,1.17,211956.47,3.51
889868.25,14.74,1.17,211956.25,3.51
890028.57,14.74,1.17,211956.04,3.51
890028.57,14.74,1.17,211965.65,3.51
890197.96,14.74,1.18,211971.36,3.51
890249.49,14.75,1.18,211971.14,3.51
890301.02,14.75,1.18,211970.91,3.51
890301.02,14.75,1.18,211952.86,3.51
890859.55,14.76,1.19,212050.63,3.51
890633.57,14.76,1.19,211693.84,3.51
890802.97,14.76,1.19,211693.24,3.51
890854.5,14.76,1.2,211520.72,3.51
890906.03,14.77,1.2,211695.69,3.51
890957.56,14.77,1.2,211695.46,3.51
891111.82,14.77,1.21,211787.43,3.51
891163.35,14.78,1.21,212264.92,3.52
891353.37,14.78,1.21,212264.33,3.52
891353.37,14.78,1.21,212120.57,3.52
891404.9,14.78,1.22,212120.34,3.52
891404.9,14.78,1.22,211977.83,3.52
891456.43,14.79,1.22,211977.83,3.52
891625.83,14.79,1.22,211977.45,3.52
891786.14,14.79,1.23,211977.25,3.52
891685.93,14.79,1.23,211769.26,3.51
891685.93,14.79,1.23,211779.34,3.51
891840.19,14.8,1.23,211778.75,3.51
891891.72,14.8,1.23,211778.52,3.51
892142.27,14.8,1.24,211804.76,3.51
892193.8,14.81,1.24,211804.53,3.52
892245.33,14.81,1.24,211804.31,3.52
892296.86,14.81,1.25,211804.31,3.52
892348.39,14.82,1.25,211804.31,3.52
892502.66,14.82,1.25,211896.28,3.52
892480.95,14.82,1.25,211895.68,3.52
892690.72,14.82,1.26,211895.09,3.52
892851.04,14.83,1.26,211895.09,3.52
892914.85,14.83,1.26,211546.08,3.51
893084.24,14.83,1.27,211527.35,3.51
893135.77,14.84,1.27,211527.35,3.51
893334.05,14.84,1.27,211526.75,3.51
893385.58,14.84,1.28,211180.45,3.51
893385.58,14.84,1.28,211078.75,3.51
893545.9,14.85,1.28,211078.54,3.51
893706.22,14.85,1.29,211106.27,3.51
893937.07,14.86,1.29,211105.67,3.51
894097.39,14.86,1.29,211076.91,3.51
894148.92,14.86,1.3,211251.87,3.51
894309.24,14.87,1.3,211252.48,3.51
894309.24,14.87,1.3,211262.09,3.51
894671.78,14.87,1.31,211458.58,3.52
894837.68,14.88,1.31,211457.98,3.52
894889.21,14.88,1.31,211576.45,3.52
895945.22,14.9,1.33,212367.43,3.53
896154.99,14.9,1.34,212371.05,3.53
896320.89,14.91,1.34,212318.34,3.53
896372.42,14.91,1.34,212247.05,3.53
896423.95,14.91,1.34,212365.52,3.53
896589.85,14.91,1.35,212373.08,3.53
896750.17,14.92,1.35,212372.7,3.53
896919.57,14.92,1.36,212278.98,3.53
897602.63,14.93,1.37,212695.52,3.54
897772.03,14.94,1.37,212695.52,3.54
898330.56,14.95,1.38,212793.29,3.54
898330.56,14.95,1.38,212650.78,3.54
899043.47,14.96,1.4,212949.55,3.54
899212.86,14.96,1.4,212948.96,3.54
899205.41,14.97,1.4,212869.01,3.54
899763.94,14.98,1.41,212966.79,3.54
899815.47,14.98,1.41,213085.26,3.55
899867.0,14.98,1.42,213084.87,3.55
900027.32,14.99,1.42,213056.11,3.55
900012.4,14.99,1.42,213191.57,3.55
900172.72,14.99,1.42,213191.36,3.55
900224.25,14.99,1.43,213076.13,3.55
900275.78,15.0,1.43,213075.9,3.55
900327.31,15.0,1.43,213122.74,3.55
900378.84,15.0,1.43,213122.37,3.55
900430.37,15.0,1.44,213181.42,3.55
900481.9,15.01,1.44,213181.19,3.55
900481.9,15.01,1.44,213180.59,3.55
900642.21,15.01,1.44,213180.59,3.55
900693.74,15.01,1.45,213180.37,3.55
900854.06,15.02,1.45,213208.09,3.55
901014.38,15.02,1.46,213208.09,3.55
901014.38,15.02,1.46,213218.18,3.55
901169.11,15.03,1.46,213220.23,3.56
901220.64,15.03,1.46,213219.85,3.56
901220.64,15.03,1.46,213073.72,3.55
901390.03,15.03,1.47,212984.2,3.55
901559.43,15.04,1.47,212983.61,3.55
901713.69,15.04,1.47,213075.58,3.55
901874.01,15.04,1.48,213088.49,3.55
902034.33,15.05,1.48,213088.28,3.55
902194.65,15.05,1.48,213088.07,3.55
