ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
252,558,304820,6212,304820
252,558,305140,6212,305140
252,558,305790,6212,305790
253,562,306260,6212,306260
254,564,307070,6212,307070
254,564,307880,6212,307880
255,566,308690,6212,308690
255,566,309010,6212,309010
255,566,309330,6212,309330
255,566,309490,6212,309490
255,566,309960,6212,309960
255,566,310770,6212,310770
255,566,311580,6212,311580
255,566,312050,6212,312050
256,568,312860,6212,312860
256,568,312860,6212,312860
256,568,313330,6212,313330
256,568,314140,6212,314140
257,570,314950,6212,314950
257,570,315760,6212,315760
258,572,316310,6212,316310
258,572,317120,6212,317120
259,574,317670,6212,317670
259,574,318140,6212,318140
259,574,318610,6212,318610
260,576,319420,6212,319420
260,576,319650,6212,319650
260,576,320120,6212,320120
261,578,320670,6212,320670
261,578,321480,6212,321480
261,578,321940,6212,321940
261,578,322160,6212,322160
261,578,322160,6212,322160
261,578,322160,6212,322160
262,580,322750,6212,322750
262,580,323560,6212,323560
263,582,324210,6212,324210
263,582,324860,6212,324860
264,584,325670,6212,325670
264,584,325830,6212,325830
264,584,326480,6212,326480
265,588,326950,6212,326950
266,590,327760,6212,327760
266,590,328230,6212,328230
266,590,329040,6212,329040
266,590,329850,6212,329850
266,590,330170,6212,330170
266,590,330720,6212,330720
266,590,331190,6212,331190
267,592,332000,6212,332000
267,592,332810,6212,332810
267,592,333130,6212,333130
267,592,333600,6212,333600
268,594,334410,6212,334410
268,594,334880,6212,334880
268,594,335200,6212,335200
268,594,335200,6212,335200
268,594,335200,6212,335200
269,602,335420,6212,335420
270,604,336070,6212,336070
270,604,336880,6212,336880
271,606,337690,6212,337690
271,606,337690,6212,337690
271,606,338150,6212,338150
271,606,338610,6212,338610
272,608,339420,6212,339420
272,608,340230,6212,340230
273,610,341040,6212,341040
273,610,341850,6212,341850
274,612,342660,6212,342660
274,612,343470,6212,343470
274,612,343790,6212,343790
274,612,344250,6212,344250
274,612,344720,6212,344720
274,612,345040,6212,345040
275,614,345850,6212,345850
275,614,346320,6212,346320
276,616,347130,6212,347130
276,616,347450,6212,347450
276,616,347920,6212,347920
276,616,348730,6212,348730
276,616,349200,6212,349200
276,616,349850,6212,349850
276,616,350320,6212,350320
277,618,351130,6212,351130
278,622,351600,6212,351600
278,622,352250,6212,352250
278,622,353060,6212,353060
278,622,353380,6212,353380
278,622,354030,6212,354030
278,622,354030,6212,354030
278,622,354840,6212,354840
278,622,355160,6212,355160
278,622,355480,6212,355480
278,622,355800,6212,355800
278,622,356170,6212,356170
278,622,356170,6212,356170
279,624,356980,6212,356980
279,624,357790,6212,357790
279,624,357950,6212,357950
279,624,358170,6212,358170
280,626,358980,6212,358980
280,626,359450,6212,359450
280,626,359910,6212,359910
281,628,360280,6212,360280
281,628,360930,6212,360930
282,630,361740,6212,361740
282,630,361740,6212,361740
282,630,362390,6212,362390
282,630,362620,6212,362620
282,630,362990,6212,362990
283,632,363360,6212,363360
283,632,363520,6212,363520
283,632,363840,6212,363840
284,636,364310,6212,364310
284,636,364780,6212,364780
284,636,365100,6212,365100
284,636,365100,6212,365100
284,636,365570,6212,365570
284,636,366040,6212,366040
284,636,366510,6212,366510
284,636,367320,6212,367320
284,636,367790,6212,367790
284,636,368600,6212,368600
285,638,369250,6212,369250
285,638,369480,6212,369480
285,638,370290,6212,370290
285,638,370750,6212,370750
286,640,371220,6212,371220
286,640,371540,6212,371540
286,640,371590,6212,371590
286,640,372060,6212,372060
286,640,372650,6212,372650
287,642,373120,6212,373120
287,642,373590,6212,373590
287,642,374060,6212,374060
287,642,374520,6212,374520
288,644,375330,6212,375330
288,644,375790,6212,375790
289,646,376600,6212,376600
290,654,376830,6212,376830
290,654,377300,6212,377300
290,654,377950,6212,377950
290,654,378270,6212,378270
290,654,378740,6212,378740
291,656,379550,6212,379550
291,656,379870,6212,379870
291,656,380330,6212,380330
291,656,380800,6212,380800
291,656,381270,6212,381270
292,658,381590,6212,381590
292,658,382060,6212,382060
292,658,382530,6212,382530
292,658,382850,6212,382850
292,658,383400,6212,383400
292,658,384210,6212,384210
293,660,385020,6212,385020
293,660,385830,6212,385830
294,662,386640,6212,386640
294,662,387450,6212,387450
295,664,387920,6212,387920
295,664,388730,6212,388730
295,664,388730,6212,388730
296,666,389540,6212,389540
296,666,389540,6212,389540
296,666,390010,6212,390010
296,666,390330,6212,390330
296,666,391140,6212,391140
297,668,391610,6212,391610
297,668,392420,6212,392420
298,670,393230,6212,393230
298,670,393550,6212,393550
298,670,394360,6212,394360
299,672,395170,6212,395170
299,672,395980,6212,395980
299,672,395980,6212,395980
300,676,396210,6212,396210
301,678,396800,6212,396800
301,678,397270,6212,397270
301,678,398080,6212,398080
301,678,398240,6212,398240
301,678,399050,6212,399050
301,678,399370,6212,399370
301,678,400180,6212,400180
301,678,400730,6212,400730
302,680,401380,6212,401380
302,680,401380,6212,401380
302,680,401970,6212,401970
302,680,401970,6212,401970
302,680,402290,6212,402290
302,680,402450,6212,402450
302,680,402680,6212,402680
303,682,403330,6212,403330
303,682,404140,6212,404140
304,684,404950,6212,404950
304,684,405270,6212,405270
304,684,405920,6212,405920
304,684,406240,6212,406240
304,684,406560,6212,406560
304,684,406560,6212,406560
304,684,406560,6212,406560
305,686,407030,6212,407030
305,686,407350,6212,407350
305,686,407820,6212,407820
305,686,408290,6212,408290
306,688,409100,6212,409100
306,688,409570,6212,409570
306,688,410380,6212,410380
307,690,410850,6212,410850
307,690,411320,6212,411320
307,690,412130,6212,412130
308,692,412780,6212,412780
308,692,413590,6212,413590
309,694,414240,6212,414240
309,694,414710,6212,414710
309,694,414930,6212,414930
310,696,415580,6212,415580
310,696,415580,6212,415580
310,696,416050,6212,416050
310,696,416370,6212,416370
310,696,416840,6212,416840
310,696,416840,6212,416840
311,698,417490,6212,417490
311,698,417490,6212,417490
311,698,417810,6212,417810
311,698,418400,6212,418400
312,700,419210,6212,419210
312,700,419670,6212,419670
312,700,420140,6212,420140
312,700,420360,6212,420360
312,700,420820,6212,420820
313,702,421290,6212,421290
313,702,421880,6212,421880
314,704,422530,6212,422530
314,704,423000,6212,423000
314,704,423320,6212,423320
314,704,424130,6212,424130
314,704,424130,6212,424130
314,704,424130,6212,424130
314,704,424130,6212,424130
315,706,424780,6212,424780
315,706,425250,6212,425250
315,706,425250,6212,425250
315,706,425710,6212,425710
315,706,425870,6212,425870
315,706,425870,6212,425870
316,708,426340,6212,426340
316,708,426990,6212,426990
317,710,427800,6212,427800
317,710,428610,6212,428610
318,712,429420,6212,429420
318,712,429890,6212,429890
318,712,430360,6212,430360
319,714,431170,6212,431170
319,714,431640,6212,431640
319,714,432450,6212,432450
319,714,432770,6212,432770
319,714,432770,6212,432770
319,714,433090,6212,433090
319,714,433090,6212,433090
319,714,433090,6212,433090
319,714,433410,6212,433410
320,718,433880,6212,433880
320,718,434530,6212,434530
320,718,435000,6212,435000
320,718,435320,6212,435320
320,718,435550,6212,435550
320,718,436360,6212,436360
320,718,436680,6212,436680
320,718,437490,6212,437490
321,720,437960,6212,437960
321,720,438770,6212,438770
321,720,438930,6212,438930
321,720,439400,6212,439400
321,720,439400,6212,439400
322,722,440210,6212,440210
322,722,440210,6212,440210
322,722,440680,6212,440680
322,722,441150,6212,441150
323,724,441960,6212,441960
323,724,442280,6212,442280
324,726,443090,6212,443090
324,726,443090,6212,443090
324,726,443090,6212,443090
324,726,443410,6212,443410
324,726,443880,6212,443880
324,726,443880,6212,443880
324,726,444350,6212,444350
325,728,445160,6212,445160
325,728,445160,6212,445160
325,728,445160,6212,445160
325,728,445480,6212,445480
325,728,445950,6212,445950
326,730,446760,6212,446760
326,730,446760,6212,446760
326,730,446760,6212,446760
