ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
900736.6,15.5,2.16,340118.41,5.85
900588.13,15.5,2.16,340006.83,5.85
900559.95,15.51,2.16,339989.85,5.85
900845.31,15.51,2.17,340407.43,5.86
900902.93,15.51,2.17,340379.61,5.86
900874.75,15.52,2.17,340366.33,5.86
900846.57,15.52,2.18,340337.19,5.86
900846.57,15.52,2.18,340144.76,5.86
900886.8,15.52,2.18,339588.92,5.85
900738.33,15.52,2.18,339477.06,5.85
900778.57,15.52,2.18,339405.36,5.85
900818.8,15.53,2.18,339485.47,5.85
900670.33,15.53,2.18,339372.36,5.85
900521.86,15.53,2.18,339345.83,5.85
900373.39,15.53,2.18,339232.72,5.85
900345.21,15.53,2.19,339243.83,5.85
899832.15,15.52,2.18,338685.7,5.84
899683.68,15.52,2.18,339096.01,5.85
899982.37,15.53,2.19,339184.38,5.85
899833.9,15.53,2.19,339101.26,5.85
899685.43,15.53,2.19,339181.75,5.85
899657.25,15.53,2.19,339145.76,5.86
899926.48,15.54,2.2,339039.41,5.85
899778.01,15.54,2.2,338977.82,5.85
899629.54,15.54,2.2,338825.04,5.85
900004.69,15.55,2.2,339179.6,5.86
900290.05,15.55,2.21,339081.86,5.86
900141.58,15.55,2.21,339039.2,5.86
900113.4,15.55,2.21,339002.54,5.86
903519.51,15.61,2.27,341931.92,5.91
904014.96,15.62,2.28,341947.47,5.91
904055.19,15.63,2.28,342027.59,5.91
904055.19,15.63,2.28,341929.92,5.91
904027.01,15.63,2.28,341955.49,5.91
904205.41,15.63,2.29,341845.57,5.91
904365.94,15.64,2.29,341883.38,5.91
904406.17,15.64,2.3,342001.82,5.91
903338.69,15.64,2.3,341794.09,5.92
903190.22,15.64,2.3,341683.51,5.92
903041.75,15.64,2.3,341656.98,5.92
903041.75,15.64,2.3,341558.62,5.92
903090.7,15.65,2.3,341122.95,5.91
903535.15,15.66,2.31,341448.55,5.92
903767.25,15.66,2.32,341554.92,5.92
903618.78,15.66,2.32,341453.31,5.92
903590.61,15.66,2.32,341460.84,5.92
904422.22,15.68,2.34,341766.29,5.93
904394.04,15.68,2.34,341759.04,5.93
904394.04,15.68,2.34,341566.61,5.92
904679.4,15.69,2.34,341653.9,5.92
904651.22,15.69,2.35,341668.85,5.93
904623.05,15.69,2.35,341661.6,5.93
904663.28,15.7,2.35,341586.17,5.93
904948.64,15.7,2.36,341673.46,5.93
904997.59,15.7,2.36,341237.79,5.92
905403.24,15.71,2.37,341261.13,5.92
905254.77,15.71,2.37,341188.68,5.92
905750.21,15.72,2.38,341204.23,5.92
905750.21,15.72,2.38,341120.5,5.92
905790.44,15.73,2.38,341200.62,5.92
905641.97,15.73,2.38,341160.35,5.92
905493.5,15.73,2.38,341034.73,5.92
905493.5,15.73,2.38,340946.8,5.92
905883.03,15.73,2.39,340928.68,5.92
905923.26,15.74,2.39,340988.69,5.92
905774.79,15.74,2.39,340972.41,5.92
905626.32,15.74,2.39,340859.3,5.92
905598.14,15.74,2.4,340834.66,5.92
905569.96,15.74,2.4,340849.62,5.93
905541.78,15.74,2.4,340832.63,5.93
905582.02,15.75,2.4,340912.75,5.93
905622.25,15.75,2.41,340987.85,5.93
905473.78,15.75,2.41,340826.59,5.93
905325.31,15.75,2.41,340754.14,5.93
905176.84,15.75,2.41,340727.61,5.93
905028.36,15.75,2.41,340712.57,5.93
905188.89,15.76,2.41,340760.08,5.93
905536.92,15.76,2.42,340714.99,5.93
905508.75,15.77,2.42,340729.94,5.93
905480.57,15.77,2.42,340755.51,5.93
905480.57,15.77,2.42,340673.45,5.93
905480.57,15.77,2.42,340585.56,5.93
