ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
551,2891,600250,6212,600250
551,2891,601250,6212,601250
552,2899,601250,6212,601250
552,2899,601720,6212,601720
553,2907,602530,6212,602530
553,2907,602760,6212,602760
554,2915,602760,6212,602760
555,2917,603570,6212,603570
556,2919,604380,6212,604380
557,2921,605380,6212,605380
558,2923,606380,6212,606380
558,2923,607380,6212,607380
558,2923,608380,6212,608380
559,2931,608840,6212,608840
559,2931,609840,6212,609840
560,2939,609840,6212,609840
561,2947,617840,6212,617840
561,2947,618300,6212,618300
562,2955,618760,6212,618760
562,2955,619230,6212,619230
562,2955,619460,6212,619460
562,2955,619460,6212,619460
563,2959,619460,6212,619460
563,2959,619830,6212,619830
564,2961,620830,6212,620830
565,2969,621480,6212,621480
566,2977,622480,6212,622480
566,2977,623480,6212,623480
566,2977,624480,6212,624480
566,2977,624950,6212,624950
567,2985,625950,6212,625950
567,2985,626420,6212,626420
568,2987,627420,6212,627420
569,2995,628230,6212,628230
570,2999,628550,6212,628550
570,2999,629550,6212,629550
570,2999,630550,6212,630550
570,2999,630550,6212,630550
570,2999,631200,6212,631200
571,3007,632200,6212,632200
571,3007,632670,6212,632670
572,3009,633670,6212,633670
572,3009,634670,6212,634670
573,3011,635670,6212,635670
574,3013,636670,6212,636670
575,3021,637670,6212,637670
576,3023,638480,6212,638480
577,3031,639480,6212,639480
577,3031,640290,6212,640290
578,3033,641290,6212,641290
579,3041,642100,6212,642100
579,3041,642100,6212,642100
579,3041,643100,6212,643100
579,3041,644100,6212,644100
579,3041,644570,6212,644570
580,3049,645040,6212,645040
581,3057,646040,6212,646040
581,3057,646360,6212,646360
581,3057,647170,6212,647170
581,3057,647170,6212,647170
581,3057,647980,6212,647980
581,3057,648980,6212,648980
582,3065,649980,6212,649980
582,3065,650980,6212,650980
582,3065,650980,6212,650980
582,3065,651570,6212,651570
582,3065,652380,6212,652380
583,3067,652850,6212,652850
583,3067,653320,6212,653320
584,3075,653320,6212,653320
584,3075,653790,6212,653790
585,3083,654790,6212,654790
586,3091,655790,6212,655790
586,3091,656790,6212,656790
586,3091,657600,6212,657600
586,3091,658070,6212,658070
586,3091,658070,6212,658070
587,3099,658620,6212,658620
588,3101,659090,6212,659090
588,3101,660090,6212,660090
588,3101,660410,6212,660410
589,3103,661410,6212,661410
589,3103,662410,6212,662410
589,3103,663410,6212,663410
589,3103,664220,6212,664220
589,3103,665220,6212,665220
590,3111,666220,6212,666220
590,3111,666220,6212,666220
591,3119,666540,6212,666540
592,3127,667540,6212,667540
592,3127,668130,6212,668130
592,3127,669130,6212,669130
593,3129,670130,6212,670130
594,3131,670450,6212,670450
595,3139,671450,6212,671450
595,3139,672450,6212,672450
595,3139,672920,6212,672920
596,3141,673920,6212,673920
596,3141,673920,6212,673920
597,3142,674730,6212,674730
597,3142,675200,6212,675200
597,3142,675200,6212,675200
598,3150,676200,6212,676200
598,3150,676670,6212,676670
599,3154,677130,6212,677130
600,3162,678130,6212,678130
601,3164,679130,6212,679130
602,3168,680130,6212,680130
603,3170,680130,6212,680130
