ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
1150952.73,19.69,1.03,219239.3,3.75
1150952.73,19.69,1.03,219239.3,3.75
1151197.85,19.7,1.04,219058.63,3.75
1151030.82,19.7,1.04,219054.5,3.75
1151030.82,19.7,1.04,219054.5,3.75
1150863.79,19.7,1.04,218977.2,3.75
1150884.72,19.7,1.04,219280.72,3.75
1150156.05,19.69,1.03,218566.51,3.74
1150048.09,19.69,1.03,218463.05,3.74
1149881.05,19.69,1.03,218458.73,3.74
1149901.99,19.69,1.03,218556.05,3.74
1149190.1,19.68,1.02,217801.69,3.73
1149023.07,19.68,1.02,217780.19,3.73
1149023.07,19.68,1.02,217780.19,3.73
1148856.03,19.69,1.02,217720.07,3.73
1148856.03,19.69,1.02,217720.07,3.73
1148636.45,19.68,1.02,217509.78,3.73
1148469.42,19.68,1.02,217507.77,3.73
1148490.35,19.69,1.02,217696.88,3.73
1148323.32,19.69,1.02,217617.26,3.73
1147954.3,19.68,1.02,217378.16,3.73
1147954.3,19.68,1.02,217378.16,3.73
1147787.26,19.68,1.02,217369.22,3.73
1147620.23,19.68,1.02,217296.54,3.73
1147641.16,19.69,1.02,217393.86,3.73
1147662.1,19.69,1.03,217537.82,3.73
1147495.06,19.69,1.03,217460.67,3.73
1147328.03,19.69,1.03,217456.19,3.73
1147333.21,19.69,1.03,217017.05,3.72
1147166.18,19.69,1.03,216939.9,3.72
1146999.15,19.69,1.03,216935.42,3.72
1146832.12,19.69,1.03,216926.48,3.73
1146665.08,19.69,1.03,216853.8,3.72
