ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
281,614,425870,6212,425870
281,614,425870,6212,425870
281,614,426340,6212,426340
282,616,426990,6212,426990
282,616,427800,6212,427800
283,618,428610,6212,428610
283,618,429420,6212,429420
284,620,429890,6212,429890
284,620,430360,6212,430360
284,620,431170,6212,431170
285,622,431640,6212,431640
285,622,432450,6212,432450
285,622,432770,6212,432770
285,622,432770,6212,432770
285,622,433090,6212,433090
285,622,433090,6212,433090
285,622,433090,6212,433090
285,622,433410,6212,433410
285,622,433880,6212,433880
286,624,434530,6212,434530
286,624,435000,6212,435000
286,624,435320,6212,435320
286,624,435550,6212,435550
287,626,436360,6212,436360
287,626,436680,6212,436680
287,626,437490,6212,437490
288,628,437960,6212,437960
288,628,438770,6212,438770
288,628,438930,6212,438930
288,628,439400,6212,439400
288,628,439400,6212,439400
289,630,440210,6212,440210
289,630,440210,6212,440210
289,630,440680,6212,440680
289,630,441150,6212,441150
290,632,441960,6212,441960
290,632,442280,6212,442280
291,634,443090,6212,443090
291,634,443090,6212,443090
291,634,443090,6212,443090
291,634,443410,6212,443410
291,634,443880,6212,443880
291,634,443880,6212,443880
291,634,444350,6212,444350
292,636,445160,6212,445160
292,636,445160,6212,445160
292,636,445160,6212,445160
292,636,445480,6212,445480
292,636,445950,6212,445950
293,638,446760,6212,446760
