ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
369,934,766440,6212,766440
369,934,767440,6212,767440
370,936,768440,6212,768440
370,936,769440,6212,769440
370,936,769600,6212,769600
371,940,770070,6212,770070
371,940,770390,6212,770390
372,942,771390,6212,771390
372,942,772390,6212,772390
372,942,773390,6212,773390
372,942,774390,6212,774390
372,942,774390,6212,774390
372,942,774980,6212,774980
373,944,775980,6212,775980
373,944,776630,6212,776630
374,946,777630,6212,777630
374,946,777630,6212,777630
374,946,778440,6212,778440
375,948,779440,6212,779440
375,948,780250,6212,780250
375,948,780250,6212,780250
376,950,781250,6212,781250
376,950,782250,6212,782250
376,950,782250,6212,782250
377,952,783060,6212,783060
377,952,784060,6212,784060
377,952,784380,6212,784380
378,954,785190,6212,785190
378,954,786190,6212,786190
379,956,787190,6212,787190
379,956,787190,6212,787190
379,956,787190,6212,787190
379,956,788000,6212,788000
380,958,789000,6212,789000
380,958,789810,6212,789810
381,960,790810,6212,790810
381,960,791460,6212,791460
382,962,792460,6212,792460
382,962,793460,6212,793460
382,962,793460,6212,793460
383,964,794460,6212,794460
383,964,795460,6212,795460
383,964,795460,6212,795460
384,966,796460,6212,796460
384,966,796460,6212,796460
384,966,797460,6212,797460
385,968,798270,6212,798270
385,968,799270,6212,799270
386,970,799740,6212,799740
386,970,800060,6212,800060
386,970,801060,6212,801060
387,972,802060,6212,802060
387,972,802710,6212,802710
388,974,803710,6212,803710
389,978,807710,6212,807710
389,978,808710,6212,808710
390,980,809710,6212,809710
390,980,809710,6212,809710
390,980,810710,6212,810710
390,980,810710,6212,810710
390,980,811180,6212,811180
391,982,812180,6212,812180
391,982,812990,6212,812990
391,982,813220,6212,813220
392,984,814220,6212,814220
392,984,814690,6212,814690
393,986,815690,6212,815690
393,986,816690,6212,816690
394,988,817500,6212,817500
394,988,818500,6212,818500
395,990,819500,6212,819500
395,990,820310,6212,820310
396,992,821310,6212,821310
