ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
590,2991,615680,6212,615680
591,2999,615680,6212,615680
592,3007,616680,6212,616680
592,3007,617680,6212,617680
592,3007,618680,6212,618680
592,3007,618680,6212,618680
592,3007,619490,6212,619490
592,3007,620490,6212,620490
592,3007,621490,6212,621490
592,3007,621720,6212,621720
592,3007,622720,6212,622720
593,3009,623530,6212,623530
594,3017,624530,6212,624530
595,3025,625180,6212,625180
595,3025,626180,6212,626180
596,3027,626550,6212,626550
596,3027,627360,6212,627360
597,3035,628360,6212,628360
598,3043,629360,6212,629360
599,3045,630170,6212,630170
599,3045,630980,6212,630980
599,3045,631980,6212,631980
599,3045,632980,6212,632980
599,3045,633210,6212,633210
600,3053,634210,6212,634210
601,3061,635210,6212,635210
602,3063,635680,6212,635680
603,3071,636150,6212,636150
603,3071,637150,6212,637150
603,3071,638150,6212,638150
603,3071,638470,6212,638470
604,3079,639280,6212,639280
605,3087,640280,6212,640280
605,3087,641280,6212,641280
605,3087,642280,6212,642280
605,3087,642750,6212,642750
605,3087,643750,6212,643750
605,3087,644220,6212,644220
606,3095,645220,6212,645220
606,3095,646030,6212,646030
606,3095,647030,6212,647030
607,3097,648030,6212,648030
608,3105,649030,6212,649030
609,3113,649030,6212,649030
610,3115,650030,6212,650030
610,3115,651030,6212,651030
611,3116,651350,6212,651350
611,3116,652350,6212,652350
611,3116,653350,6212,653350
611,3116,654350,6212,654350
611,3116,655160,6212,655160
611,3116,655530,6212,655530
612,3124,656340,6212,656340
613,3132,657340,6212,657340
614,3140,657800,6212,657800
615,3142,658120,6212,658120
615,3142,659120,6212,659120
615,3142,660120,6212,660120
615,3142,660930,6212,660930
616,3143,661930,6212,661930
616,3143,662400,6212,662400
616,3143,663210,6212,663210
617,3151,664210,6212,664210
617,3151,664580,6212,664580
618,3159,664900,6212,664900
619,3163,665900,6212,665900
619,3163,666900,6212,666900
620,3171,667710,6212,667710
620,3171,668710,6212,668710
620,3171,669710,6212,669710
621,3173,670710,6212,670710
621,3173,671710,6212,671710
622,3181,672710,6212,672710
622,3181,672870,6212,672870
622,3181,673870,6212,673870
623,3189,674870,6212,674870
623,3189,675340,6212,675340
623,3189,675500,6212,675500
623,3189,676500,6212,676500
624,3197,676500,6212,676500
625,3205,677500,6212,677500
626,3213,678500,6212,678500
627,3215,678500,6212,678500
628,3217,678720,6212,678720
628,3217,678950,6212,678950
