ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
847878.7,14.6,1.26,337190.41,5.81
848172.24,14.61,1.27,337547.56,5.81
848023.77,14.61,1.27,337504.9,5.82
847875.3,14.61,1.27,337419.42,5.81
847726.83,14.61,1.27,337306.31,5.81
847578.36,14.61,1.27,337291.27,5.81
847627.31,14.61,1.27,336855.6,5.81
847627.31,14.61,1.27,336855.6,5.81
847378.42,14.61,1.27,336520.23,5.8
846310.94,14.61,1.27,336312.5,5.81
846162.47,14.61,1.27,336235.94,5.81
846202.7,14.62,1.27,336341.86,5.81
846471.93,14.62,1.28,336235.52,5.81
846099.92,14.62,1.27,335862.88,5.8
845951.45,14.62,1.27,336257.06,5.81
846264.56,14.63,1.28,336044.15,5.81
846116.09,14.63,1.28,336017.62,5.81
845967.62,14.63,1.28,335916.01,5.81
846280.74,14.63,1.29,335703.1,5.8
846566.1,14.64,1.3,335790.38,5.81
846417.62,14.64,1.3,335938.06,5.81
846097.62,14.63,1.29,335618.06,5.8
845949.15,14.63,1.29,335504.95,5.8
845800.68,14.63,1.29,335489.92,5.8
845652.21,14.63,1.29,335459.27,5.81
845830.61,14.64,1.3,335636.1,5.81
845682.14,14.64,1.3,335524.23,5.81
845169.08,14.63,1.29,334966.1,5.8
845020.61,14.63,1.29,334949.82,5.8
844723.74,14.63,1.28,334699.65,5.8
844575.27,14.63,1.28,334587.79,5.79
844575.27,14.63,1.28,334587.79,5.79
844426.8,14.63,1.28,334571.51,5.8
844426.8,14.63,1.28,334571.51,5.8
844278.33,14.63,1.28,334458.4,5.79
844129.86,14.63,1.28,334443.36,5.8
843842.15,14.62,1.28,334157.37,5.79
843329.1,14.62,1.27,333599.24,5.78
843180.62,14.62,1.27,333486.83,5.78
843032.15,14.62,1.27,333471.1,5.78
843032.15,14.62,1.27,333471.1,5.78
843345.27,14.62,1.28,333258.19,5.78
843196.8,14.62,1.28,333215.53,5.78
842683.74,14.62,1.27,332657.4,5.77
842309.91,14.61,1.27,332354.29,5.77
842488.31,14.62,1.27,332589.32,5.77
842528.54,14.62,1.28,332669.43,5.77
842380.07,14.62,1.28,332624.52,5.77
842380.07,14.62,1.28,332624.52,5.77
842083.2,14.62,1.27,332334.01,5.77
842083.2,14.62,1.27,332334.01,5.77
842278.6,14.62,1.28,331817.15,5.76
842070.66,14.62,1.28,331751.87,5.76
841922.19,14.62,1.28,331638.94,5.76
841773.72,14.62,1.28,331623.72,5.76
841813.96,14.62,1.28,331513.47,5.76
841992.35,14.63,1.28,332001.39,5.77
842032.59,14.63,1.29,332081.5,5.77
841873.88,14.63,1.28,331948.15,5.77
842159.24,14.63,1.29,332233.18,5.77
842199.48,14.64,1.29,332313.29,5.78
841825.64,14.63,1.29,332063.62,5.77
841868.1,14.63,1.29,333311.04,5.79
842153.46,14.64,1.29,333596.06,5.8
842004.99,14.64,1.29,333569.52,5.8
841708.12,14.63,1.29,333252.85,5.79
841559.65,14.63,1.29,333151.24,5.79
841411.18,14.63,1.29,333124.7,5.79
841411.18,14.63,1.29,333124.7,5.79
841262.71,14.63,1.29,333023.09,5.79
841104.0,14.63,1.29,332910.77,5.79
841224.3,14.63,1.29,332949.1,5.79
841075.83,14.63,1.29,332876.65,5.79
840701.99,14.63,1.28,332626.98,5.79
840553.52,14.63,1.28,332571.28,5.79
842367.52,14.66,1.32,333707.47,5.81
842652.88,14.67,1.32,333794.76,5.81
842504.41,14.67,1.32,333942.44,5.81
842544.64,14.67,1.32,334022.55,5.82
842259.16,14.66,1.32,333747.68,5.81
842110.69,14.66,1.32,333702.77,5.81
842289.09,14.67,1.33,333741.72,5.81
842329.32,14.67,1.33,334006.88,5.82
842180.85,14.67,1.33,333895.02,5.82
842180.85,14.67,1.33,333895.02,5.82
