ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
309,754,669730,6212,669730
309,754,670200,6212,670200
309,754,671010,6212,671010
310,756,672010,6212,672010
310,756,673010,6212,673010
311,758,674010,6212,674010
311,758,675010,6212,675010
312,760,676010,6212,676010
312,760,676010,6212,676010
312,760,677010,6212,677010
313,762,677820,6212,677820
313,762,678630,6212,678630
314,764,678950,6212,678950
314,764,679950,6212,679950
315,766,680950,6212,680950
315,766,681950,6212,681950
316,768,682760,6212,682760
316,768,683410,6212,683410
316,768,684060,6212,684060
317,770,685060,6212,685060
317,770,686060,6212,686060
318,772,686870,6212,686870
318,772,687870,6212,687870
318,772,687870,6212,687870
319,774,688870,6212,688870
320,776,690870,6212,690870
321,784,698870,6212,698870
321,784,698870,6212,698870
321,784,699870,6212,699870
322,786,700100,6212,700100
322,786,700420,6212,700420
322,786,701420,6212,701420
323,788,702420,6212,702420
323,788,703420,6212,703420
324,790,704420,6212,704420
324,790,704650,6212,704650
325,798,704650,6212,704650
326,800,705120,6212,705120
327,802,706120,6212,706120
328,804,707120,6212,707120
328,804,708120,6212,708120
328,804,709120,6212,709120
329,806,710120,6212,710120
329,806,710120,6212,710120
329,806,710930,6212,710930
330,808,711930,6212,711930
