ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
249,658,535170,6212,535170
249,658,535170,6212,535170
249,658,535170,6212,535170
250,662,539170,6212,539170
251,664,539760,6212,539760
251,664,540760,6212,540760
252,666,541760,6212,541760
252,666,542760,6212,542760
253,674,550760,6212,550760
254,676,551760,6212,551760
254,676,552760,6212,552760
255,678,553760,6212,553760
256,686,561760,6212,561760
256,686,562760,6212,562760
257,688,563760,6212,563760
257,688,564570,6212,564570
258,690,565570,6212,565570
258,690,566380,6212,566380
259,692,567380,6212,567380
259,692,568380,6212,568380
260,694,569380,6212,569380
260,694,570380,6212,570380
261,696,571380,6212,571380
261,696,572380,6212,572380
262,698,573380,6212,573380
262,698,573850,6212,573850
262,698,574850,6212,574850
263,700,575850,6212,575850
263,700,576850,6212,576850
264,708,584850,6212,584850
265,710,585320,6212,585320
265,710,586320,6212,586320
265,710,586320,6212,586320
265,710,586690,6212,586690
266,712,587500,6212,587500
266,712,588310,6212,588310
267,714,589310,6212,589310
267,714,589770,6212,589770
267,714,589770,6212,589770
268,716,590770,6212,590770
268,716,591770,6212,591770
269,718,592770,6212,592770
269,718,593770,6212,593770
269,718,593770,6212,593770
270,720,594770,6212,594770
270,720,595000,6212,595000
270,720,595000,6212,595000
270,720,595000,6212,595000
270,720,595000,6212,595000
270,720,596000,6212,596000
271,722,596810,6212,596810
271,722,597620,6212,597620
271,722,597620,6212,597620
271,722,598090,6212,598090
271,722,598410,6212,598410
272,724,599410,6212,599410
272,724,600220,6212,600220
273,726,601220,6212,601220
273,726,602220,6212,602220
273,726,602220,6212,602220
274,728,603220,6212,603220
274,728,603770,6212,603770
275,730,604580,6212,604580
275,730,605580,6212,605580
276,732,606580,6212,606580
276,732,606900,6212,606900
276,732,607900,6212,607900
276,732,608130,6212,608130
277,734,609130,6212,609130
277,734,609130,6212,609130
277,734,609130,6212,609130
277,734,609940,6212,609940
278,736,610750,6212,610750
278,736,611750,6212,611750
278,736,612070,6212,612070
279,738,613070,6212,613070
279,738,614070,6212,614070
280,740,615070,6212,615070
280,740,616070,6212,616070
281,742,616880,6212,616880
281,742,617690,6212,617690
282,744,618690,6212,618690
282,744,619690,6212,619690
283,746,620160,6212,620160
283,746,620530,6212,620530
283,746,621340,6212,621340
283,746,621660,6212,621660
284,748,622660,6212,622660
284,748,622660,6212,622660
284,748,623660,6212,623660
285,750,624660,6212,624660
285,750,625660,6212,625660
286,752,626470,6212,626470
286,752,627470,6212,627470
287,754,628470,6212,628470
287,754,629280,6212,629280
287,754,629510,6212,629510
288,756,630510,6212,630510
288,756,631510,6212,631510
289,758,632510,6212,632510
289,758,633510,6212,633510
290,760,634510,6212,634510
290,760,634510,6212,634510
290,760,635510,6212,635510
291,762,636510,6212,636510
291,762,636740,6212,636740
291,762,636740,6212,636740
291,762,637740,6212,637740
292,764,638060,6212,638060
292,764,638060,6212,638060
292,764,638870,6212,638870
292,764,639190,6212,639190
292,764,639510,6212,639510
293,766,640510,6212,640510
293,766,641510,6212,641510
294,768,642060,6212,642060
294,768,643060,6212,643060
294,768,643060,6212,643060
295,770,645060,6212,645060
296,772,646060,6212,646060
296,772,646520,6212,646520
297,774,647520,6212,647520
297,774,647520,6212,647520
297,774,647520,6212,647520
297,774,647520,6212,647520
297,774,648520,6212,648520
297,774,648990,6212,648990
297,774,648990,6212,648990
298,776,649990,6212,649990
298,776,649990,6212,649990
298,776,650990,6212,650990
299,778,651990,6212,651990
299,778,652310,6212,652310
299,778,652780,6212,652780
299,778,652780,6212,652780
299,778,653250,6212,653250
300,780,653720,6212,653720
300,780,653720,6212,653720
300,780,654720,6212,654720
301,782,655720,6212,655720
301,782,656720,6212,656720
301,782,656880,6212,656880
302,784,657880,6212,657880
302,784,658530,6212,658530
303,786,659530,6212,659530
303,786,659690,6212,659690
303,786,660690,6212,660690
303,786,661130,6212,661130
304,788,662130,6212,662130
304,788,663130,6212,663130
305,790,663940,6212,663940
305,790,664940,6212,664940
306,792,665940,6212,665940
306,792,666410,6212,666410
306,792,666730,6212,666730
307,794,667730,6212,667730
307,794,668730,6212,668730
308,796,669730,6212,669730
308,796,670200,6212,670200
309,798,671010,6212,671010
309,798,672010,6212,672010
310,800,673010,6212,673010
310,800,674010,6212,674010
311,802,675010,6212,675010
311,802,676010,6212,676010
311,802,676010,6212,676010
312,804,677010,6212,677010
312,804,677820,6212,677820
313,806,678630,6212,678630
313,806,678950,6212,678950
313,806,679950,6212,679950
314,808,680950,6212,680950
314,808,681950,6212,681950
315,810,682760,6212,682760
315,810,683410,6212,683410
316,812,684060,6212,684060
316,812,685060,6212,685060
317,814,686060,6212,686060
317,814,686870,6212,686870
318,816,687870,6212,687870
318,816,687870,6212,687870
318,816,688870,6212,688870
319,818,690870,6212,690870
320,826,698870,6212,698870
320,826,698870,6212,698870
321,828,699870,6212,699870
321,828,700100,6212,700100
321,828,700420,6212,700420
321,828,701420,6212,701420
322,830,702420,6212,702420
322,830,703420,6212,703420
323,832,704420,6212,704420
323,832,704650,6212,704650
323,832,704650,6212,704650
323,832,705120,6212,705120
324,834,706120,6212,706120
324,834,707120,6212,707120
325,836,708120,6212,708120
325,836,709120,6212,709120
326,838,710120,6212,710120
326,838,710120,6212,710120
326,838,710930,6212,710930
327,840,711930,6212,711930
328,842,713930,6212,713930
328,842,714740,6212,714740
329,844,715740,6212,715740
329,844,715740,6212,715740
329,844,716740,6212,716740
330,846,717390,6212,717390
330,846,717390,6212,717390
330,846,717620,6212,717620
330,846,718430,6212,718430
331,848,719430,6212,719430
331,848,719890,6212,719890
332,850,720890,6212,720890
332,850,720890,6212,720890
332,850,721890,6212,721890
333,852,722890,6212,722890
333,852,722890,6212,722890
333,852,723700,6212,723700
334,854,724700,6212,724700
334,854,725020,6212,725020
334,854,726020,6212,726020
335,856,727020,6212,727020
335,856,728020,6212,728020
335,856,728340,6212,728340
336,858,729340,6212,729340
336,858,730340,6212,730340
337,860,731340,6212,731340
337,860,731340,6212,731340
337,860,731340,6212,731340
337,860,731340,6212,731340
337,860,732150,6212,732150
338,862,733150,6212,733150
338,862,733150,6212,733150
338,862,734150,6212,734150
339,864,735150,6212,735150
339,864,735960,6212,735960
340,866,736430,6212,736430
340,866,737430,6212,737430
341,868,738430,6212,738430
341,868,739430,6212,739430
342,870,740430,6212,740430
342,870,741430,6212,741430
343,872,742430,6212,742430
343,872,743430,6212,743430
343,872,743890,6212,743890
344,874,744890,6212,744890
345,882,752890,6212,752890
345,882,753890,6212,753890
346,884,754890,6212,754890
346,884,755890,6212,755890
347,886,756700,6212,756700
347,886,757700,6212,757700
348,888,758700,6212,758700
348,888,759170,6212,759170
348,888,759490,6212,759490
349,890,760490,6212,760490
349,890,761490,6212,761490
350,892,762490,6212,762490
350,892,763490,6212,763490
