ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
254,554,455210,6212,455210
254,554,456210,6212,456210
254,554,457020,6212,457020
255,558,461020,6212,461020
256,560,461570,6212,461570
256,560,462010,6212,462010
256,560,462010,6212,462010
256,560,462820,6212,462820
256,560,463140,6212,463140
256,560,464140,6212,464140
257,562,465140,6212,465140
258,564,465610,6212,465610
259,566,466610,6212,466610
259,566,467420,6212,467420
259,566,468420,6212,468420
259,566,468530,6212,468530
260,568,469530,6212,469530
260,568,470530,6212,470530
261,570,471530,6212,471530
262,572,472340,6212,472340
262,572,473340,6212,473340
262,572,473340,6212,473340
262,572,473990,6212,473990
263,574,474990,6212,474990
263,574,475220,6212,475220
263,574,476220,6212,476220
264,576,477220,6212,477220
264,576,478220,6212,478220
264,576,478690,6212,478690
265,578,479690,6212,479690
266,580,480500,6212,480500
266,580,481500,6212,481500
266,580,481970,6212,481970
267,582,482970,6212,482970
267,582,483020,6212,483020
267,582,484020,6212,484020
268,584,484830,6212,484830
268,584,485290,6212,485290
269,586,486290,6212,486290
269,586,487100,6212,487100
269,586,487100,6212,487100
269,586,488100,6212,488100
270,588,489100,6212,489100
270,588,490100,6212,490100
271,590,491100,6212,491100
272,592,491910,6212,491910
272,592,491910,6212,491910
272,592,492910,6212,492910
273,594,493910,6212,493910
273,594,494560,6212,494560
274,596,494930,6212,494930
274,596,495740,6212,495740
274,596,496740,6212,496740
274,596,497110,6212,497110
274,596,497430,6212,497430
274,596,497590,6212,497590
274,596,497820,6212,497820
275,598,498820,6212,498820
276,600,499630,6212,499630
276,600,499630,6212,499630
276,600,499860,6212,499860
276,600,500860,6212,500860
277,602,501860,6212,501860
277,602,502860,6212,502860
278,604,503860,6212,503860
278,604,504860,6212,504860
278,604,504860,6212,504860
279,612,504860,6212,504860
280,614,505860,6212,505860
280,614,506510,6212,506510
281,616,506980,6212,506980
281,616,507790,6212,507790
282,618,508790,6212,508790
282,618,509790,6212,509790
283,620,510600,6212,510600
283,620,511410,6212,511410
284,622,512410,6212,512410
284,622,512410,6212,512410
285,624,513220,6212,513220
285,624,514220,6212,514220
285,624,514690,6212,514690
286,626,515690,6212,515690
286,626,515920,6212,515920
287,628,516390,6212,516390
287,628,517390,6212,517390
288,630,518390,6212,518390
288,630,518710,6212,518710
288,630,519710,6212,519710
289,632,520710,6212,520710
289,632,521520,6212,521520
290,634,521990,6212,521990
291,636,522990,6212,522990
291,636,523800,6212,523800
291,636,524800,6212,524800
292,638,525800,6212,525800
292,638,526800,6212,526800
292,638,526800,6212,526800
293,640,527610,6212,527610
293,640,528080,6212,528080
293,640,528550,6212,528550
294,642,529550,6212,529550
295,644,530360,6212,530360
295,644,531170,6212,531170
296,646,532170,6212,532170
296,646,533170,6212,533170
297,648,533980,6212,533980
297,648,534300,6212,534300
297,648,534300,6212,534300
297,648,535110,6212,535110
297,648,536110,6212,536110
298,650,536760,6212,536760
299,652,537760,6212,537760
299,652,537760,6212,537760
299,652,537760,6212,537760
299,652,538760,6212,538760
299,652,539570,6212,539570
300,654,540570,6212,540570
301,656,541040,6212,541040
301,656,542040,6212,542040
301,656,543040,6212,543040
301,656,543630,6212,543630
302,658,544630,6212,544630
302,658,545100,6212,545100
302,658,546100,6212,546100
303,660,547100,6212,547100
304,662,547750,6212,547750
304,662,548750,6212,548750
304,662,549560,6212,549560
305,664,550370,6212,550370
306,666,551370,6212,551370
306,666,552370,6212,552370
307,668,553370,6212,553370
307,668,554370,6212,554370
307,668,554370,6212,554370
308,670,555370,6212,555370
308,670,556370,6212,556370
308,670,557180,6212,557180
309,672,557830,6212,557830
309,672,558640,6212,558640
310,674,559450,6212,559450
311,676,560450,6212,560450
311,676,561450,6212,561450
312,678,562450,6212,562450
312,678,563260,6212,563260
312,678,563260,6212,563260
312,678,564260,6212,564260
313,680,565260,6212,565260
313,680,565260,6212,565260
314,682,566260,6212,566260
314,682,566260,6212,566260
315,684,566730,6212,566730
315,684,567730,6212,567730
315,684,567730,6212,567730
315,684,567730,6212,567730
315,684,567730,6212,567730
316,686,568730,6212,568730
316,686,569730,6212,569730
317,688,570380,6212,570380
317,688,570380,6212,570380
317,688,571190,6212,571190
317,688,572000,6212,572000
318,690,573000,6212,573000
318,690,574000,6212,574000
318,690,574320,6212,574320
319,692,575320,6212,575320
319,692,575320,6212,575320
319,692,575550,6212,575550
319,692,576550,6212,576550
319,692,577550,6212,577550
320,694,578550,6212,578550
321,696,579020,6212,579020
321,696,580020,6212,580020
322,698,581020,6212,581020
322,698,581250,6212,581250
323,700,582250,6212,582250
323,700,582900,6212,582900
323,700,583900,6212,583900
324,708,583900,6212,583900
325,710,584710,6212,584710
326,712,585710,6212,585710
326,712,586710,6212,586710
327,714,587710,6212,587710
327,714,588710,6212,588710
327,714,589520,6212,589520
328,716,590520,6212,590520
329,724,598520,6212,598520
329,724,599520,6212,599520
330,726,600520,6212,600520
330,726,601520,6212,601520
330,726,601520,6212,601520
330,726,602520,6212,602520
331,728,603520,6212,603520
331,728,604520,6212,604520
332,730,605520,6212,605520
333,732,606330,6212,606330
333,732,607330,6212,607330
334,734,608330,6212,608330
334,734,608330,6212,608330
334,734,609330,6212,609330
335,736,610330,6212,610330
335,736,611140,6212,611140
335,736,611600,6212,611600
335,736,612600,6212,612600
336,738,613600,6212,613600
336,738,613600,6212,613600
337,740,614070,6212,614070
337,740,614880,6212,614880
338,742,615690,6212,615690
338,742,615690,6212,615690
338,742,616160,6212,616160
338,742,616970,6212,616970
338,742,616970,6212,616970
339,744,617620,6212,617620
339,744,618430,6212,618430
339,744,618660,6212,618660
339,744,618660,6212,618660
339,744,618890,6212,618890
339,744,619890,6212,619890
339,744,619890,6212,619890
340,746,620890,6212,620890
340,746,620890,6212,620890
341,748,621360,6212,621360
341,748,622360,6212,622360
342,750,623360,6212,623360
342,750,623820,6212,623820
342,750,624820,6212,624820
343,752,625820,6212,625820
343,752,626630,6212,626630
343,752,627630,6212,627630
344,760,627630,6212,627630
344,760,627630,6212,627630
345,762,628280,6212,628280
346,764,629280,6212,629280
346,764,629500,6212,629500
346,764,630310,6212,630310
346,764,630310,6212,630310
346,764,631310,6212,631310
347,766,632310,6212,632310
347,766,632470,6212,632470
347,766,632470,6212,632470
347,766,632470,6212,632470
348,768,633470,6212,633470
349,770,633940,6212,633940
349,770,634940,6212,634940
350,772,635940,6212,635940
350,772,636940,6212,636940
350,772,637410,6212,637410
350,772,638410,6212,638410
351,774,639410,6212,639410
351,774,639960,6212,639960
352,776,640960,6212,640960
352,776,641960,6212,641960
352,776,641960,6212,641960
352,776,642960,6212,642960
353,778,643960,6212,643960
354,780,644430,6212,644430
354,780,645430,6212,645430
355,782,646430,6212,646430
355,782,647430,6212,647430
355,782,647430,6212,647430
355,782,648240,6212,648240
356,784,649240,6212,649240
356,784,649240,6212,649240
356,784,649240,6212,649240
356,784,650240,6212,650240
357,786,650700,6212,650700
357,786,651160,6212,651160
358,794,659160,6212,659160
359,796,660160,6212,660160
359,796,660970,6212,660970
360,798,661780,6212,661780
360,798,662780,6212,662780
360,798,663010,6212,663010
361,800,664010,6212,664010
361,800,665010,6212,665010
361,800,665660,6212,665660
362,802,666660,6212,666660
362,802,667660,6212,667660
362,802,667660,6212,667660
363,804,668660,6212,668660
363,804,669660,6212,669660
363,804,669660,6212,669660
364,806,670470,6212,670470
365,808,671470,6212,671470
365,808,672120,6212,672120
366,810,672590,6212,672590
366,810,672750,6212,672750
366,810,673750,6212,673750
366,810,674300,6212,674300
366,810,674620,6212,674620
367,812,675620,6212,675620
367,812,675620,6212,675620
367,812,676620,6212,676620
367,812,677090,6212,677090
368,814,678090,6212,678090
369,816,678900,6212,678900
369,816,679900,6212,679900
370,818,680900,6212,680900
370,818,681900,6212,681900
370,818,682550,6212,682550
371,820,683550,6212,683550
372,822,684360,6212,684360
372,822,685360,6212,685360
372,822,685820,6212,685820
373,824,686820,6212,686820
373,824,687820,6212,687820
