ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
605,3194,708120,6212,708120
606,3196,709120,6212,709120
606,3196,710120,6212,710120
606,3196,710120,6212,710120
607,3198,710930,6212,710930
608,3200,711930,6212,711930
608,3200,713930,6212,713930
609,3208,714740,6212,714740
610,3216,715740,6212,715740
611,3224,715740,6212,715740
611,3224,716740,6212,716740
611,3224,717390,6212,717390
611,3224,717390,6212,717390
611,3224,717620,6212,717620
612,3226,718430,6212,718430
612,3226,719430,6212,719430
612,3226,719890,6212,719890
613,3234,720890,6212,720890
613,3234,720890,6212,720890
613,3234,721890,6212,721890
614,3236,722890,6212,722890
614,3236,722890,6212,722890
614,3236,723700,6212,723700
615,3244,724700,6212,724700
616,3246,725020,6212,725020
617,3248,726020,6212,726020
617,3248,727020,6212,727020
617,3248,728020,6212,728020
617,3248,728340,6212,728340
617,3248,729340,6212,729340
618,3250,730340,6212,730340
618,3250,731340,6212,731340
618,3250,731340,6212,731340
618,3250,731340,6212,731340
618,3250,731340,6212,731340
619,3258,732150,6212,732150
619,3258,733150,6212,733150
620,3266,733150,6212,733150
621,3268,734150,6212,734150
622,3272,735150,6212,735150
622,3272,735960,6212,735960
623,3280,736430,6212,736430
623,3280,737430,6212,737430
624,3282,738430,6212,738430
624,3282,739430,6212,739430
624,3282,740430,6212,740430
625,3290,741430,6212,741430
626,3298,742430,6212,742430
627,3306,743430,6212,743430
628,3314,743890,6212,743890
628,3314,744890,6212,744890
629,3322,752890,6212,752890
629,3322,753890,6212,753890
629,3322,754890,6212,754890
630,3330,755890,6212,755890
630,3330,756700,6212,756700
631,3338,757700,6212,757700
631,3338,758700,6212,758700
632,3346,759170,6212,759170
632,3346,759490,6212,759490
633,3348,760490,6212,760490
633,3348,761490,6212,761490
633,3348,762490,6212,762490
634,3350,763490,6212,763490
635,3352,763490,6212,763490
636,3360,764300,6212,764300
637,3362,765300,6212,765300
638,3364,765850,6212,765850
638,3364,765850,6212,765850
638,3364,766440,6212,766440
639,3372,767440,6212,767440
640,3376,768440,6212,768440
640,3376,769440,6212,769440
640,3376,769600,6212,769600
641,3384,770070,6212,770070
642,3386,770390,6212,770390
642,3386,771390,6212,771390
643,3388,772390,6212,772390
644,3390,773390,6212,773390
644,3390,774390,6212,774390
644,3390,774390,6212,774390
644,3390,774980,6212,774980
644,3390,775980,6212,775980
644,3390,776630,6212,776630
645,3398,777630,6212,777630
645,3398,777630,6212,777630
646,3400,778440,6212,778440
647,3408,779440,6212,779440
648,3410,780250,6212,780250
648,3410,780250,6212,780250
649,3418,781250,6212,781250
649,3418,782250,6212,782250
649,3418,782250,6212,782250
