ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
892594.11,15.15,1.81,340499.92,5.78
892999.76,15.16,1.82,340523.27,5.78
893374.91,15.17,1.82,340870.89,5.79
893346.73,15.17,1.83,340869.6,5.79
893507.26,15.17,1.83,340907.42,5.79
893479.08,15.18,1.83,340896.96,5.79
893330.61,15.18,1.83,341252.45,5.8
893330.61,15.18,1.83,341164.53,5.8
893302.43,15.18,1.84,341172.06,5.8
893587.79,15.18,1.84,341259.34,5.8
894005.98,15.19,1.85,341184.11,5.8
894411.63,15.2,1.86,341217.5,5.8
894976.37,15.21,1.87,341232.09,5.8
894948.2,15.21,1.87,341216.19,5.8
894920.02,15.22,1.87,341289.34,5.8
895492.46,15.23,1.88,341261.63,5.8
895492.46,15.23,1.88,341179.57,5.8
895464.28,15.23,1.88,341205.14,5.8
895315.81,15.23,1.88,341093.28,5.8
895287.64,15.23,1.89,341079.9,5.8
895662.78,15.24,1.89,341031.91,5.8
895662.78,15.24,1.89,340943.99,5.8
895634.61,15.24,1.9,341015.45,5.8
895634.61,15.24,1.9,341015.45,5.8
895606.43,15.24,1.9,341041.02,5.8
895891.79,15.25,1.9,341113.18,5.81
896387.23,15.26,1.91,341128.73,5.81
896882.67,15.27,1.92,341144.28,5.81
