ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
411811.67,7.03,1.86,159087.95,2.72
411759.95,7.03,1.86,158995.16,2.71
411708.22,7.03,1.86,158991.92,2.72
411711.12,7.03,1.86,159006.46,2.72
411712.57,7.03,1.86,159011.81,2.72
411660.85,7.03,1.86,158901.95,2.71
412031.57,7.04,1.87,159016.89,2.72
411767.9,7.03,1.86,159050.94,2.72
411716.18,7.03,1.86,158939.35,2.72
411664.45,7.03,1.86,158919.03,2.72
411989.82,7.04,1.87,159209.24,2.72
412126.64,7.04,1.87,159331.86,2.72
412074.92,7.04,1.87,159274.86,2.72
412023.2,7.05,1.87,159245.37,2.72
412393.91,7.05,1.88,159556.79,2.73
412342.19,7.05,1.88,159575.73,2.73
412048.06,7.05,1.88,159280.44,2.72
411996.34,7.05,1.88,159148.4,2.72
411775.62,7.04,1.87,158926.69,2.72
412100.99,7.05,1.88,158813.59,2.72
412237.81,7.05,1.88,159385.11,2.73
412186.09,7.05,1.88,159272.0,2.73
411899.0,7.05,1.88,158979.01,2.72
411847.27,7.05,1.88,158979.01,2.72
411795.55,7.05,1.88,158949.52,2.72
412067.96,7.06,1.88,159191.2,2.73
412016.23,7.06,1.88,159161.7,2.73
412288.64,7.06,1.89,159403.38,2.73
412561.05,7.07,1.89,159658.44,2.73
412198.6,7.06,1.89,159323.41,2.73
412577.29,7.07,1.9,159618.6,2.73
412373.16,7.07,1.89,159413.31,2.73
412509.99,7.07,1.9,159535.93,2.73
412458.26,7.07,1.9,159486.38,2.73
412097.85,7.06,1.89,159219.92,2.73
412468.57,7.07,1.9,159349.1,2.73
412416.84,7.07,1.9,159548.19,2.74
412689.25,7.08,1.9,159612.08,2.74
412637.53,7.08,1.9,159760.38,2.74
412433.4,7.07,1.9,159553.49,2.74
412381.67,7.07,1.9,159524.0,2.74
412329.95,7.07,1.9,159440.39,2.74
411967.51,7.07,1.9,159059.02,2.73
412329.66,7.08,1.9,158945.92,2.73
412277.94,7.08,1.9,159369.17,2.74
412226.21,7.08,1.9,159365.93,2.74
412174.49,7.08,1.9,159256.07,2.73
412545.2,7.08,1.91,159371.01,2.74
412493.48,7.08,1.91,159538.0,2.74
412131.04,7.08,1.91,159202.97,2.73
412079.31,7.08,1.91,159137.97,2.73
412027.59,7.08,1.91,159089.87,2.73
411975.87,7.08,1.91,158976.76,2.73
411924.14,7.08,1.91,158976.76,2.73
412294.86,7.09,1.91,159091.71,2.73
412243.14,7.09,1.91,159258.69,2.74
411890.69,7.08,1.91,158933.66,2.73
412163.1,7.09,1.91,158997.56,2.73
412533.82,7.09,1.92,159476.46,2.74
412482.09,7.09,1.92,159363.36,2.74
412430.37,7.09,1.92,159363.36,2.74
412136.24,7.09,1.92,159068.07,2.74
412273.07,7.09,1.92,159190.68,2.74
411859.27,7.1,1.92,159190.68,2.74
411595.61,7.09,1.92,159019.99,2.74
411543.88,7.09,1.92,158962.99,2.74
411492.16,7.09,1.92,158898.0,2.74
411854.31,7.1,1.93,159273.15,2.75
411802.59,7.1,1.93,159252.83,2.75
411802.59,7.1,1.93,159252.83,2.75
411750.87,7.1,1.93,159160.05,2.74
412121.58,7.11,1.93,159289.22,2.75
412069.86,7.11,1.93,159488.31,2.75
412018.14,7.11,1.93,159423.32,2.75
411804.09,7.1,1.93,159179.48,2.75
411752.37,7.1,1.93,159131.38,2.75
412077.73,7.11,1.94,159018.27,2.74
412448.45,7.12,1.94,159844.72,2.76
412086.01,7.11,1.94,159426.24,2.75
412034.28,7.11,1.94,159396.75,2.75
412405.0,7.12,1.95,159708.16,2.76
412042.56,7.11,1.94,159373.14,2.75
411990.84,7.11,1.94,159369.89,2.75
411939.11,7.11,1.94,159260.03,2.75
411887.39,7.11,1.94,159239.72,2.75
411835.66,7.11,1.94,159146.93,2.75
411541.53,7.11,1.94,158840.45,2.74
411489.81,7.11,1.94,158727.35,2.74
411438.08,7.11,1.94,158727.35,2.74
411386.36,7.11,1.94,158662.35,2.74
