ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
301,666,540350,6212,540350
302,668,541350,6212,541350
302,668,542350,6212,542350
303,670,543350,6212,543350
303,670,543820,6212,543820
303,670,544630,6212,544630
304,672,545630,6212,545630
304,672,546630,6212,546630
305,674,547100,6212,547100
305,674,547260,6212,547260
305,674,547720,6212,547720
305,674,548040,6212,548040
305,674,548510,6212,548510
306,676,549160,6212,549160
306,676,549970,6212,549970
307,678,550970,6212,550970
307,678,551970,6212,551970
308,680,552970,6212,552970
308,680,553290,6212,553290
308,680,553940,6212,553940
309,682,554940,6212,554940
309,682,555940,6212,555940
310,684,556940,6212,556940
310,684,557940,6212,557940
311,686,558410,6212,558410
311,686,559410,6212,559410
312,688,560060,6212,560060
312,688,560380,6212,560380
312,688,561030,6212,561030
312,688,561030,6212,561030
312,688,561350,6212,561350
313,690,562350,6212,562350
313,690,563350,6212,563350
314,692,564350,6212,564350
314,692,565350,6212,565350
315,694,566350,6212,566350
315,694,567350,6212,567350
316,696,568350,6212,568350
316,696,568670,6212,568670
316,696,569670,6212,569670
316,696,569670,6212,569670
317,698,570220,6212,570220
317,698,571220,6212,571220
318,700,572220,6212,572220
318,700,572690,6212,572690
318,700,573690,6212,573690
319,702,574690,6212,574690
319,702,575690,6212,575690
319,702,576010,6212,576010
319,702,576230,6212,576230
320,704,577040,6212,577040
320,704,578040,6212,578040
321,706,579040,6212,579040
321,706,580040,6212,580040
322,708,581040,6212,581040
322,708,582040,6212,582040
323,710,583040,6212,583040
323,710,584040,6212,584040
323,710,584040,6212,584040
324,712,585040,6212,585040
324,712,585850,6212,585850
325,714,586850,6212,586850
325,714,586850,6212,586850
325,714,587440,6212,587440
325,714,587600,6212,587600
326,716,588150,6212,588150
326,716,588620,6212,588620
327,718,589620,6212,589620
327,718,590430,6212,590430
328,720,591430,6212,591430
328,720,592430,6212,592430
329,722,593430,6212,593430
329,722,594430,6212,594430
329,722,594900,6212,594900
330,724,595900,6212,595900
330,724,596360,6212,596360
331,726,597360,6212,597360
331,726,597590,6212,597590
331,726,598590,6212,598590
332,728,599590,6212,599590
332,728,600590,6212,600590
333,730,601590,6212,601590
333,730,602400,6212,602400
334,732,603400,6212,603400
334,732,604400,6212,604400
335,734,605400,6212,605400
335,734,606210,6212,606210
336,736,607210,6212,607210
336,736,608210,6212,608210
336,736,608680,6212,608680
337,738,609680,6212,609680
338,742,613680,6212,613680
338,742,614680,6212,614680
339,744,615680,6212,615680
339,744,615680,6212,615680
339,744,616680,6212,616680
340,746,617680,6212,617680
340,746,618680,6212,618680
340,746,618680,6212,618680
341,748,619490,6212,619490
341,748,620490,6212,620490
342,750,621490,6212,621490
342,750,621720,6212,621720
342,750,622720,6212,622720
343,752,623530,6212,623530
343,752,624530,6212,624530
344,754,625180,6212,625180
344,754,626180,6212,626180
344,754,626550,6212,626550
345,756,627360,6212,627360
345,756,628360,6212,628360
346,758,629360,6212,629360
346,758,630170,6212,630170
347,760,630980,6212,630980
347,760,631980,6212,631980
348,762,632980,6212,632980
348,762,633210,6212,633210
348,762,634210,6212,634210
349,764,635210,6212,635210
349,764,635680,6212,635680
349,764,636150,6212,636150
350,766,637150,6212,637150
350,766,638150,6212,638150
350,766,638470,6212,638470
351,768,639280,6212,639280
351,768,640280,6212,640280
352,770,641280,6212,641280
352,770,642280,6212,642280
353,772,642750,6212,642750
353,772,643750,6212,643750
353,772,644220,6212,644220
354,774,645220,6212,645220
354,774,646030,6212,646030
355,776,647030,6212,647030
355,776,648030,6212,648030
356,778,649030,6212,649030
356,778,649030,6212,649030
356,778,650030,6212,650030
357,780,651030,6212,651030
357,780,651350,6212,651350
358,782,652350,6212,652350
358,782,653350,6212,653350
359,784,654350,6212,654350
359,784,655160,6212,655160
359,784,655530,6212,655530
360,786,656340,6212,656340
360,786,657340,6212,657340
361,788,657800,6212,657800
361,788,658120,6212,658120
361,788,659120,6212,659120
362,790,660120,6212,660120
362,790,660930,6212,660930
363,792,661930,6212,661930
363,792,662400,6212,662400
364,794,663210,6212,663210
364,794,664210,6212,664210
364,794,664580,6212,664580
365,796,664900,6212,664900
365,796,665900,6212,665900
366,798,666900,6212,666900
366,798,667710,6212,667710
367,800,668710,6212,668710
367,800,669710,6212,669710
368,802,670710,6212,670710
368,802,671710,6212,671710
369,804,672710,6212,672710
