ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
396731.25,6.76,1.59,180568.36,3.08
397056.62,6.77,1.59,180455.26,3.07
397004.89,6.77,1.59,180459.46,3.08
396953.17,6.77,1.59,180459.46,3.08
397089.99,6.77,1.6,180459.46,3.08
397038.27,6.77,1.6,180459.46,3.08
396986.54,6.77,1.6,180429.97,3.08
397357.26,6.78,1.6,180559.15,3.08
397305.54,6.78,1.6,180555.91,3.08
396891.75,6.78,1.61,180555.91,3.08
396840.02,6.78,1.61,180555.91,3.08
397307.25,6.79,1.62,180477.78,3.08
397255.52,6.79,1.62,180461.23,3.08
397527.93,6.79,1.62,180451.22,3.08
397527.93,6.79,1.62,180451.22,3.08
397476.2,6.79,1.62,180402.56,3.08
396977.4,6.79,1.61,179853.35,3.07
397348.11,6.79,1.62,179853.35,3.07
397718.83,6.8,1.63,179853.35,3.07
397667.11,6.8,1.63,179853.35,3.08
397615.38,6.8,1.63,179853.35,3.08
397563.66,6.8,1.63,179853.35,3.08
397563.66,6.8,1.63,179853.35,3.08
397511.94,6.8,1.63,179823.85,3.08
397460.21,6.8,1.63,179823.85,3.08
397408.49,6.8,1.63,179972.15,3.08
397356.76,6.8,1.63,179942.66,3.08
397305.04,6.8,1.63,179942.66,3.08
397253.32,6.8,1.63,179922.34,3.08
397624.03,6.81,1.64,179922.34,3.08
398135.83,6.82,1.65,180372.57,3.09
398587.49,6.83,1.65,180207.89,3.09
398374.06,6.82,1.65,179920.64,3.08
398744.78,6.83,1.66,179920.64,3.08
398881.61,6.83,1.66,179920.64,3.08
398829.88,6.83,1.66,179920.64,3.08
398829.88,6.83,1.66,180113.17,3.09
398829.88,6.83,1.66,180207.74,3.09
398778.16,6.83,1.66,180099.42,3.09
398726.44,6.83,1.66,180099.42,3.09
398674.71,6.83,1.66,180006.63,3.09
398622.99,6.84,1.66,180006.63,3.09
398571.26,6.84,1.66,179923.02,3.09
398519.54,6.84,1.66,179923.02,3.09
398467.82,6.84,1.66,179923.02,3.09
398659.45,6.84,1.67,179959.68,3.09
398998.66,6.85,1.67,179332.38,3.08
398946.94,6.85,1.67,179302.89,3.08
399400.31,6.85,1.68,179429.43,3.08
399348.59,6.85,1.68,179429.43,3.08
399485.42,6.86,1.69,179429.43,3.08
399433.69,6.86,1.69,179429.43,3.08
